asset_id,host,ip,role,owner,criticality,internet_facing,expected_admin_sources,note
AST-00001,ADMIN-WS-07,10.40.1.1,admin workstation,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00002,ADMIN-WS-11,10.40.1.2,user workstation,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00003,APP-API-02,10.40.1.3,application server,Security,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00004,WEB-EDGE-01,10.40.1.4,web server,Web Team,low,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00005,FILE-01,10.40.1.5,file server,IT Ops,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00006,DEPLOY-01,10.40.1.6,deployment server,App Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00007,VULN-SCAN-01,10.40.1.7,security scanner,Security,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00008,ADMIN-WS-07,10.40.1.8,admin workstation,Web Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00009,ADMIN-WS-11,10.40.1.9,user workstation,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00010,APP-API-02,10.40.1.10,application server,App Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00011,WEB-EDGE-01,10.40.1.11,web server,Security,medium,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00012,FILE-01,10.40.1.12,file server,Web Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00013,DEPLOY-01,10.40.1.13,deployment server,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00014,VULN-SCAN-01,10.40.1.14,security scanner,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00015,ADMIN-WS-07,10.40.1.15,admin workstation,Security,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00016,ADMIN-WS-11,10.40.1.16,user workstation,Web Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00017,APP-API-02,10.40.1.17,application server,IT Ops,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00018,WEB-EDGE-01,10.40.1.18,web server,App Team,high,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00019,FILE-01,10.40.1.19,file server,Security,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00020,DEPLOY-01,10.40.1.20,deployment server,Web Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00021,VULN-SCAN-01,10.40.1.21,security scanner,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00022,ADMIN-WS-07,10.40.1.22,admin workstation,App Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00023,ADMIN-WS-11,10.40.1.23,user workstation,Security,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00024,APP-API-02,10.40.1.24,application server,Web Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00025,WEB-EDGE-01,10.40.1.25,web server,IT Ops,low,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00026,FILE-01,10.40.1.26,file server,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00027,DEPLOY-01,10.40.1.27,deployment server,Security,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00028,VULN-SCAN-01,10.40.1.28,security scanner,Web Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00029,ADMIN-WS-07,10.40.1.29,admin workstation,IT Ops,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00030,ADMIN-WS-11,10.40.1.30,user workstation,App Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00031,APP-API-02,10.40.1.31,application server,Security,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00032,WEB-EDGE-01,10.40.1.32,web server,Web Team,medium,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00033,FILE-01,10.40.1.33,file server,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00034,DEPLOY-01,10.40.1.34,deployment server,App Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00035,VULN-SCAN-01,10.40.1.35,security scanner,Security,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00036,ADMIN-WS-07,10.40.1.36,admin workstation,Web Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00037,ADMIN-WS-11,10.40.1.37,user workstation,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00038,APP-API-02,10.40.1.38,application server,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00039,WEB-EDGE-01,10.40.1.39,web server,Security,high,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00040,FILE-01,10.40.1.40,file server,Web Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00041,DEPLOY-01,10.40.1.41,deployment server,IT Ops,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00042,VULN-SCAN-01,10.40.1.42,security scanner,App Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00043,ADMIN-WS-07,10.40.1.43,admin workstation,Security,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00044,ADMIN-WS-11,10.40.1.44,user workstation,Web Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00045,APP-API-02,10.40.1.45,application server,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00046,WEB-EDGE-01,10.40.1.46,web server,App Team,low,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00047,FILE-01,10.40.1.47,file server,Security,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00048,DEPLOY-01,10.40.1.48,deployment server,Web Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00049,VULN-SCAN-01,10.40.1.49,security scanner,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00050,ADMIN-WS-07,10.40.1.50,admin workstation,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00051,ADMIN-WS-11,10.40.1.51,user workstation,Security,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00052,APP-API-02,10.40.1.52,application server,Web Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00053,WEB-EDGE-01,10.40.1.53,web server,IT Ops,medium,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00054,FILE-01,10.40.1.54,file server,App Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00055,DEPLOY-01,10.40.1.55,deployment server,Security,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00056,VULN-SCAN-01,10.40.1.56,security scanner,Web Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00057,ADMIN-WS-07,10.40.1.57,admin workstation,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00058,ADMIN-WS-11,10.40.1.58,user workstation,App Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00059,APP-API-02,10.40.1.59,application server,Security,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00060,WEB-EDGE-01,10.40.1.60,web server,Web Team,high,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00061,FILE-01,10.40.1.61,file server,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00062,DEPLOY-01,10.40.1.62,deployment server,App Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00063,VULN-SCAN-01,10.40.1.63,security scanner,Security,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00064,ADMIN-WS-07,10.40.1.64,admin workstation,Web Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00065,ADMIN-WS-11,10.40.1.65,user workstation,IT Ops,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00066,APP-API-02,10.40.1.66,application server,App Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00067,WEB-EDGE-01,10.40.1.67,web server,Security,low,true,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00068,FILE-01,10.40.1.68,file server,Web Team,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00069,DEPLOY-01,10.40.1.69,deployment server,IT Ops,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00070,VULN-SCAN-01,10.40.1.70,security scanner,App Team,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00071,ADMIN-WS-07,10.40.1.71,admin workstation,Security,medium,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00072,ADMIN-WS-11,10.40.1.72,user workstation,Web Team,high,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
AST-00073,APP-API-02,10.40.1.73,application server,IT Ops,low,false,DEPLOY-01;MGMT-JUMP-01,synthetic asset context
