event_id,_time,host,user,process_name,process_id,query,answer,result,classification,note
DNS-00028,2026-08-04T12:07:50Z,ADMIN-WS-11,ACME\svc_backup,chrome.exe,13089,updates.vendor.example,198.51.100.202,success,benign,routine resolution
DNS-00575,2026-08-04T12:11:31Z,FILE-01,ACME\admin.rpatel,powershell.exe,10364,download.sysinternals.com,198.51.100.186,success,benign,routine resolution
DNS-00312,2026-08-04T12:15:24Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,8802,repo.internal,198.51.100.145,success,benign,routine resolution
DNS-00051,2026-08-04T12:29:35Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,powershell.exe,9855,download.sysinternals.com,198.51.100.102,success,benign,routine resolution
DNS-01057,2026-08-04T12:46:39Z,WEB-EDGE-01,ACME\svc_deploy,powershell.exe,4159,packages.microsoft.com,198.51.100.112,success,benign,routine resolution
DNS-01492,2026-08-04T13:04:50Z,ADMIN-WS-11,ACME\svc_deploy,chrome.exe,5328,download.sysinternals.com,198.51.100.142,success,benign,routine resolution
DNS-00215,2026-08-04T13:13:31Z,DEPLOY-01,ACME\svc_deploy,backup-agent.exe,9192,repo.internal,198.51.100.227,success,benign,routine resolution
DNS-00936,2026-08-04T13:14:09Z,FILE-01,ACME\svc_backup,backup-agent.exe,9786,repo.internal,198.51.100.218,success,benign,routine resolution
DNS-00987,2026-08-04T13:18:24Z,VULN-SCAN-01,ACME\admin.jlee,chrome.exe,5720,updates.vendor.example,198.51.100.188,success,benign,routine resolution
DNS-01375,2026-08-04T13:18:42Z,WEB-EDGE-01,ACME\admin.jlee,backup-agent.exe,10049,repo.internal,198.51.100.174,success,benign,routine resolution
DNS-01089,2026-08-04T13:24:28Z,VULN-SCAN-01,ACME\admin.jlee,powershell.exe,3317,packages.microsoft.com,198.51.100.109,success,benign,routine resolution
DNS-00218,2026-08-04T13:30:54Z,ADMIN-WS-11,ACME\svc_backup,backup-agent.exe,12516,backup.internal,198.51.100.162,success,benign,routine resolution
DNS-01488,2026-08-04T13:32:18Z,WEB-EDGE-01,ACME\svc_backup,backup-agent.exe,10942,updates.vendor.example,198.51.100.97,success,benign,routine resolution
DNS-01036,2026-08-04T13:32:26Z,APP-API-02,ACME\admin.rpatel,chrome.exe,10982,packages.microsoft.com,198.51.100.198,success,benign,routine resolution
