event_id,_time,host,user,action,file_path,sha256,source_process,source_process_id,signature_status,classification,note
FILE-00316,2026-08-04T12:15:38Z,ADMIN-WS-11,ACME\admin.jlee,modify,C:\Deploy\agent.msi,757678c351c830fab3677135af5f6cb1bef059d5127cf42d0424511141a36f2e,backup-agent.exe,1026,signed,benign,routine file activity
FILE-01249,2026-08-04T12:22:05Z,ADMIN-WS-11,ACME\svc_backup,read,C:\ProgramData\Backup\state.db,ad5b25512aa63e04ee84de14de01bfcaab1ad26aec60148b3342ca110be90d42,backup-agent.exe,5853,not_applicable,benign,routine file activity
FILE-01009,2026-08-04T12:26:26Z,ADMIN-WS-11,ACME\admin.rpatel,create,C:\Ops\logs.zip,f55527a8beb19afc1a3a9d904de539d4582c132df7756341955e42319d0f25a3,backup-agent.exe,1075,not_applicable,benign,routine file activity
FILE-00317,2026-08-04T12:30:31Z,DEPLOY-01,ACME\svc_backup,read,C:\Windows\Temp\agent.log,450458b9e6416854c3b3851a0e0f86259c59aeab88c04fa8ad249f99432d383f,backup-agent.exe,11924,not_applicable,benign,routine file activity
FILE-00206,2026-08-04T12:34:42Z,WEB-EDGE-01,ACME\svc_backup,create,C:\ProgramData\Backup\state.db,ae3e47ad8dcff41bb78e01da30f3420696414e305dbdd028794ab8a12c524dd8,powershell.exe,13124,not_applicable,benign,routine file activity
FILE-00350,2026-08-04T12:41:14Z,WEB-EDGE-01,ACME\svc_deploy,read,C:\Ops\logs.zip,dee1c435aeeb50285f5485c576087b8d556a6b87769f673a8de6c93023dfe331,msiexec.exe,5905,not_applicable,benign,routine file activity
FILE-00328,2026-08-04T12:43:36Z,VULN-SCAN-01,ACME\admin.rpatel,modify,C:\ProgramData\Backup\state.db,dc14e74d5c091ab711d178fb1833df2a8b5760ae86a826b13b80efa9fb2ff35e,powershell.exe,10300,not_applicable,benign,routine file activity
FILE-01044,2026-08-04T12:46:22Z,DEPLOY-01,NT AUTHORITY\SYSTEM,modify,C:\Windows\Temp\agent.log,a37e79181968d038b1c268587f60219d18f0292111b3ae2220d814231c6dff01,msiexec.exe,4086,not_applicable,benign,routine file activity
FILE-01005,2026-08-04T13:08:31Z,ADMIN-WS-07,ACME\admin.jlee,read,C:\Ops\logs.zip,ada69a5b6f883887e38e247b93a56ad670ec768897f9fe826a1afe71879cf193,msiexec.exe,4782,not_applicable,benign,routine file activity
FILE-01145,2026-08-04T13:09:58Z,ADMIN-WS-11,ACME\admin.jlee,read,C:\Windows\Temp\agent.log,fce07c94f7fd23b5d3657cd5e9f646f03443a0ebc36bba179f42c0901e70867f,backup-agent.exe,8515,not_applicable,benign,routine file activity
FILE-00999,2026-08-04T13:27:00Z,FILE-01,ACME\svc_deploy,create,C:\Windows\Temp\agent.log,f5a875db1ae674505aacaf6d59372c295bd98c291f4d42991c4586a5bbc38afa,powershell.exe,4425,not_applicable,benign,routine file activity
FILE-01448,2026-08-04T13:43:21Z,ADMIN-WS-07,ACME\svc_backup,read,C:\Ops\logs.zip,c54e3550bfa2c18cf83637e86384df560407f049f9b1b63aa54d8975b181513b,msiexec.exe,3747,not_applicable,benign,routine file activity
FILE-00840,2026-08-04T13:47:28Z,ADMIN-WS-07,ACME\admin.jlee,modify,C:\Windows\Temp\agent.log,c1d65a289f90ac67fa05ae9e67a2454bdab5da32ba5f1a901a53f9151a4145bf,powershell.exe,2426,not_applicable,benign,routine file activity
FILE-01047,2026-08-04T13:48:06Z,VULN-SCAN-01,ACME\svc_backup,modify,C:\ProgramData\Backup\state.db,9665cae4c4607788e09b5ad70bd29d3aaf0c77205e9effdbef76ddca6f5f817f,backup-agent.exe,9951,not_applicable,benign,routine file activity
