event_id,_time,host,user,action,target,tool,classification,note
RESP-01095,2026-08-04T12:05:57Z,ADMIN-WS-11,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00019,2026-08-04T12:25:09Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00023,2026-08-04T12:40:21Z,ADMIN-WS-11,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00445,2026-08-04T12:49:56Z,ADMIN-WS-11,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01185,2026-08-04T12:59:54Z,ADMIN-WS-11,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01153,2026-08-04T13:00:40Z,ADMIN-WS-11,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-01032,2026-08-04T13:04:54Z,DEPLOY-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00217,2026-08-04T13:15:35Z,VULN-SCAN-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00693,2026-08-04T13:24:07Z,FILE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01124,2026-08-04T13:28:48Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00657,2026-08-04T13:35:46Z,DEPLOY-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00960,2026-08-04T13:36:44Z,DEPLOY-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00616,2026-08-04T13:41:25Z,DEPLOY-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00136,2026-08-04T13:51:40Z,APP-API-02,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00557,2026-08-04T13:53:32Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00131,2026-08-04T14:05:39Z,VULN-SCAN-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00978,2026-08-04T14:07:19Z,ADMIN-WS-07,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00787,2026-08-04T14:11:29Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01400,2026-08-04T14:12:48Z,VULN-SCAN-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00446,2026-08-04T14:37:03Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00058,2026-08-04T14:37:15Z,VULN-SCAN-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00553,2026-08-04T14:45:24Z,FILE-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00073,2026-08-04T14:54:35Z,DEPLOY-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00362,2026-08-04T15:02:33Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01099,2026-08-04T15:03:42Z,DEPLOY-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00966,2026-08-04T15:08:26Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01356,2026-08-04T15:14:17Z,VULN-SCAN-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01246,2026-08-04T15:17:58Z,ADMIN-WS-11,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00559,2026-08-04T15:20:59Z,ADMIN-WS-11,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01451,2026-08-04T15:24:36Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-INC-001,2026-08-04T15:26:12Z,ADMIN-WS-07,SOC-AUTOMATION,isolate_host,ADMIN-WS-07,EDR/SOAR,authorized_response,Containment after escalation
RESP-INC-002,2026-08-04T15:27:12Z,ADMIN-WS-07,SOC-AUTOMATION,disable_account,ACME\admin.jlee,EDR/SOAR,authorized_response,Containment after escalation
RESP-INC-003,2026-08-04T15:28:12Z,ADMIN-WS-07,SOC-AUTOMATION,block_domain,cdn-tools.example,EDR/SOAR,authorized_response,Containment after escalation
RESP-INC-004,2026-08-04T15:29:12Z,ADMIN-WS-07,SOC-AUTOMATION,collect_evidence,lsass.dmp and telemetry.dll,EDR/SOAR,authorized_response,Containment after escalation
