event_id,_time,host,user,parent_process_name,parent_process_id,process_name,process_id,command_line,signature_status,classification,note
PROC-00699,2026-08-04T12:17:32Z,APP-API-02,ACME\admin.jlee,taskeng.exe,887,powershell.exe,6034,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01181,2026-08-04T12:19:13Z,ADMIN-WS-07,ACME\admin.rpatel,explorer.exe,6227,powershell.exe,8107,powershell.exe Get-Service,signed,benign,routine admin
PROC-00507,2026-08-04T12:28:41Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,services.exe,7781,backup-agent.exe,6921,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01102,2026-08-04T12:30:20Z,ADMIN-WS-07,ACME\svc_deploy,taskeng.exe,6231,powershell.exe,1491,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01010,2026-08-04T12:31:21Z,WEB-EDGE-01,ACME\svc_deploy,taskeng.exe,1289,powershell.exe,1038,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00353,2026-08-04T12:34:56Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,chrome.exe,496,msedgewebview2.exe,14996,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00118,2026-08-04T12:36:47Z,ADMIN-WS-07,ACME\admin.rpatel,chrome.exe,4614,msedgewebview2.exe,3748,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00418,2026-08-04T12:38:07Z,DEPLOY-01,NT AUTHORITY\SYSTEM,explorer.exe,7693,powershell.exe,5671,powershell.exe Get-Service,signed,benign,routine admin
PROC-00982,2026-08-04T12:46:22Z,DEPLOY-01,ACME\svc_deploy,services.exe,5850,backup-agent.exe,7509,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00988,2026-08-04T12:53:08Z,FILE-01,ACME\svc_backup,explorer.exe,5775,powershell.exe,1971,powershell.exe Get-Service,signed,benign,routine admin
PROC-00608,2026-08-04T12:58:09Z,ADMIN-WS-07,ACME\svc_deploy,taskeng.exe,1949,powershell.exe,8555,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01364,2026-08-04T12:59:06Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,explorer.exe,5215,powershell.exe,10391,powershell.exe Get-Service,signed,benign,routine admin
PROC-00534,2026-08-04T13:00:51Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,taskeng.exe,8024,powershell.exe,3283,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00837,2026-08-04T13:01:22Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,wsmprovhost.exe,4341,powershell.exe,7067,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00597,2026-08-04T13:02:00Z,DEPLOY-01,ACME\svc_backup,services.exe,6064,backup-agent.exe,13925,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00836,2026-08-04T13:08:49Z,DEPLOY-01,ACME\svc_backup,chrome.exe,2597,msedgewebview2.exe,9715,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00689,2026-08-04T13:11:28Z,DEPLOY-01,ACME\svc_deploy,services.exe,4649,backup-agent.exe,5053,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01246,2026-08-04T13:14:12Z,VULN-SCAN-01,ACME\admin.rpatel,services.exe,1606,backup-agent.exe,5181,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01202,2026-08-04T13:15:47Z,APP-API-02,ACME\svc_deploy,wsmprovhost.exe,7046,powershell.exe,1385,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00913,2026-08-04T13:21:19Z,DEPLOY-01,NT AUTHORITY\SYSTEM,taskeng.exe,4834,powershell.exe,8420,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01484,2026-08-04T13:22:47Z,ADMIN-WS-07,ACME\admin.jlee,wsmprovhost.exe,5551,powershell.exe,4636,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00914,2026-08-04T13:23:06Z,APP-API-02,ACME\admin.rpatel,services.exe,1550,backup-agent.exe,6598,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01304,2026-08-04T13:38:27Z,ADMIN-WS-11,ACME\svc_deploy,services.exe,1232,backup-agent.exe,5484,backup-agent.exe --run,signed,benign,scheduled backup
