event_id,_time,host,user,service_name,image_path,start_type,action,source_process,source_process_id,signature_status,classification,note
SVC-00802,2026-08-04T12:08:54Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,13495,signed,benign,approved service activity
SVC-00841,2026-08-04T12:15:42Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,10474,signed,benign,approved service activity
SVC-01113,2026-08-04T12:23:30Z,APP-API-02,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,3267,signed,benign,approved service activity
SVC-00739,2026-08-04T12:24:16Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,12567,signed,benign,approved service activity
SVC-01069,2026-08-04T12:35:56Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,services.exe,10435,signed,benign,approved service activity
SVC-01063,2026-08-04T12:37:08Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,start,services.exe,2417,signed,benign,approved service activity
SVC-00651,2026-08-04T12:50:05Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,14197,signed,benign,approved service activity
SVC-01110,2026-08-04T12:56:33Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,services.exe,2546,signed,benign,approved service activity
SVC-01263,2026-08-04T13:00:39Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,12134,signed,benign,approved service activity
SVC-00960,2026-08-04T13:02:36Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,9421,signed,benign,approved service activity
SVC-01204,2026-08-04T13:04:05Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,11212,signed,benign,approved service activity
SVC-01068,2026-08-04T13:05:27Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,3722,signed,benign,approved service activity
