event_id,_time,src_host,dest_host,user,protocol,result,source_ip,mfa,classification,note
AUTH-00546,2026-08-04T12:00:40Z,WEB-EDGE-01,FILE-01,ACME\admin.jlee,Kerberos,failure,10.40.42.100,not_applicable,benign,routine authentication
AUTH-01477,2026-08-04T12:05:58Z,ADMIN-WS-07,FILE-01,NT AUTHORITY\SYSTEM,WinRM,success,10.40.47.103,not_applicable,benign,routine authentication
AUTH-00589,2026-08-04T12:09:35Z,VULN-SCAN-01,WEB-EDGE-01,ACME\svc_backup,RDP,success,10.40.34.62,not_applicable,benign,routine authentication
AUTH-00117,2026-08-04T12:18:14Z,WEB-EDGE-01,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WinRM,success,10.40.50.197,not_applicable,benign,routine authentication
AUTH-00126,2026-08-04T12:22:37Z,ADMIN-WS-07,APP-API-02,ACME\svc_backup,WinRM,failure,10.40.46.40,not_applicable,benign,routine authentication
AUTH-00717,2026-08-04T12:25:25Z,VULN-SCAN-01,WEB-EDGE-01,NT AUTHORITY\SYSTEM,Kerberos,failure,10.40.10.197,not_applicable,benign,routine authentication
AUTH-00199,2026-08-04T12:33:06Z,ADMIN-WS-07,FILE-01,ACME\svc_deploy,Kerberos,success,10.40.33.137,not_applicable,benign,routine authentication
AUTH-00929,2026-08-04T12:34:54Z,FILE-01,WEB-EDGE-01,ACME\svc_deploy,NTLM,success,10.40.20.148,not_applicable,benign,routine authentication
AUTH-01059,2026-08-04T12:39:12Z,ADMIN-WS-07,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WinRM,success,10.40.36.119,not_applicable,benign,routine authentication
AUTH-00598,2026-08-04T12:41:06Z,ADMIN-WS-07,FILE-01,ACME\admin.rpatel,WinRM,failure,10.40.43.4,not_applicable,benign,routine authentication
AUTH-00193,2026-08-04T12:53:52Z,WEB-EDGE-01,ADMIN-WS-07,NT AUTHORITY\SYSTEM,RDP,success,10.40.34.49,not_applicable,benign,routine authentication
AUTH-01214,2026-08-04T12:55:55Z,APP-API-02,WEB-EDGE-01,ACME\admin.rpatel,WinRM,failure,10.40.60.29,not_applicable,benign,routine authentication
AUTH-01018,2026-08-04T12:57:07Z,ADMIN-WS-07,FILE-01,ACME\admin.rpatel,Kerberos,success,10.40.56.139,not_applicable,benign,routine authentication
AUTH-01339,2026-08-04T13:04:10Z,ADMIN-WS-07,ADMIN-WS-11,ACME\admin.jlee,RDP,success,10.40.9.100,not_applicable,benign,routine authentication
AUTH-01381,2026-08-04T13:20:48Z,FILE-01,DEPLOY-01,ACME\svc_backup,RDP,success,10.40.7.35,not_applicable,benign,routine authentication
AUTH-00029,2026-08-04T13:22:55Z,APP-API-02,APP-API-02,NT AUTHORITY\SYSTEM,WinRM,failure,10.40.25.35,not_applicable,benign,routine authentication
AUTH-01056,2026-08-04T13:26:25Z,FILE-01,ADMIN-WS-07,ACME\svc_deploy,NTLM,success,10.40.53.223,not_applicable,benign,routine authentication
AUTH-01166,2026-08-04T13:29:28Z,WEB-EDGE-01,VULN-SCAN-01,ACME\admin.jlee,RDP,success,10.40.32.232,not_applicable,benign,routine authentication
AUTH-01297,2026-08-04T13:32:09Z,ADMIN-WS-11,VULN-SCAN-01,ACME\admin.jlee,NTLM,success,10.40.2.67,not_applicable,benign,routine authentication
AUTH-00971,2026-08-04T13:37:27Z,WEB-EDGE-01,DEPLOY-01,ACME\admin.jlee,NTLM,success,10.40.58.36,not_applicable,benign,routine authentication
AUTH-00466,2026-08-04T13:39:56Z,ADMIN-WS-07,DEPLOY-01,ACME\admin.rpatel,WinRM,success,10.40.28.146,not_applicable,benign,routine authentication
AUTH-00151,2026-08-04T13:45:55Z,FILE-01,ADMIN-WS-07,ACME\svc_deploy,NTLM,success,10.40.33.154,not_applicable,benign,routine authentication
AUTH-01012,2026-08-04T13:50:55Z,FILE-01,FILE-01,ACME\svc_deploy,NTLM,success,10.40.60.5,not_applicable,benign,routine authentication
AUTH-00045,2026-08-04T13:57:13Z,DEPLOY-01,ADMIN-WS-07,ACME\admin.jlee,RDP,success,10.40.57.84,not_applicable,benign,routine authentication
AUTH-00125,2026-08-04T14:07:18Z,ADMIN-WS-11,VULN-SCAN-01,ACME\admin.jlee,NTLM,failure,10.40.29.197,not_applicable,benign,routine authentication
AUTH-00206,2026-08-04T14:10:26Z,APP-API-02,APP-API-02,ACME\svc_deploy,Kerberos,failure,10.40.36.93,not_applicable,benign,routine authentication
AUTH-00327,2026-08-04T14:17:34Z,ADMIN-WS-11,ADMIN-WS-07,ACME\admin.rpatel,WinRM,success,10.40.46.82,not_applicable,benign,routine authentication
AUTH-00833,2026-08-04T14:22:09Z,FILE-01,FILE-01,ACME\svc_backup,Kerberos,failure,10.40.52.199,not_applicable,benign,routine authentication
AUTH-00301,2026-08-04T14:35:13Z,APP-API-02,DEPLOY-01,ACME\svc_backup,RDP,success,10.40.46.84,not_applicable,benign,routine authentication
AUTH-00297,2026-08-04T14:47:12Z,WEB-EDGE-01,ADMIN-WS-07,ACME\svc_backup,Kerberos,success,10.40.16.178,not_applicable,benign,routine authentication
AUTH-00739,2026-08-04T14:55:27Z,ADMIN-WS-07,VULN-SCAN-01,NT AUTHORITY\SYSTEM,RDP,success,10.40.60.233,not_applicable,benign,routine authentication
AUTH-01226,2026-08-04T14:56:31Z,APP-API-02,WEB-EDGE-01,ACME\svc_backup,NTLM,success,10.40.2.214,not_applicable,benign,routine authentication
