event_id,_time,host,user,process_name,process_id,dest_domain,dest_ip,dest_port,action,bytes_out,bytes_in,classification,note
NET-00558,2026-08-04T12:04:17Z,DEPLOY-01,ACME\admin.jlee,powershell.exe,8947,download.sysinternals.com,198.51.100.12,443,allowed,8027,278890,benign,routine network activity
NET-01115,2026-08-04T12:13:47Z,ADMIN-WS-07,ACME\svc_deploy,backup-agent.exe,8442,updates.vendor.example,198.51.100.58,443,allowed,52696,1546446,benign,routine network activity
NET-01296,2026-08-04T12:13:48Z,APP-API-02,ACME\admin.rpatel,chrome.exe,1027,packages.microsoft.com,198.51.100.140,443,allowed,77824,1702553,benign,routine network activity
NET-01416,2026-08-04T12:14:11Z,APP-API-02,ACME\admin.jlee,powershell.exe,13226,repo.internal,198.51.100.188,5985,allowed,94586,1416389,benign,routine network activity
NET-00989,2026-08-04T12:18:55Z,ADMIN-WS-07,ACME\admin.jlee,backup-agent.exe,5626,backup.internal,198.51.100.231,5985,allowed,59023,1254500,benign,routine network activity
NET-01211,2026-08-04T12:19:08Z,WEB-EDGE-01,ACME\admin.jlee,powershell.exe,3796,packages.microsoft.com,198.51.100.24,5985,allowed,6307,962689,benign,routine network activity
NET-01370,2026-08-04T12:57:53Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,msiexec.exe,7112,backup.internal,198.51.100.198,443,allowed,99608,157824,benign,routine network activity
NET-01174,2026-08-04T13:06:36Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,msiexec.exe,9628,backup.internal,198.51.100.130,445,allowed,90218,30141,benign,routine network activity
NET-00606,2026-08-04T13:07:24Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,chrome.exe,12119,packages.microsoft.com,198.51.100.160,443,allowed,98818,427389,benign,routine network activity
NET-00970,2026-08-04T13:12:56Z,ADMIN-WS-07,ACME\admin.jlee,chrome.exe,9821,repo.internal,198.51.100.75,445,allowed,60470,921271,benign,routine network activity
NET-01385,2026-08-04T13:32:00Z,FILE-01,ACME\admin.jlee,chrome.exe,7668,backup.internal,198.51.100.210,443,allowed,95014,137990,benign,routine network activity
NET-00661,2026-08-04T13:58:39Z,ADMIN-WS-11,ACME\svc_deploy,chrome.exe,13428,backup.internal,198.51.100.233,445,allowed,80253,398519,benign,routine network activity
NET-00950,2026-08-04T14:00:01Z,WEB-EDGE-01,ACME\admin.jlee,backup-agent.exe,2532,backup.internal,198.51.100.129,5985,allowed,32528,1343300,benign,routine network activity
NET-00430,2026-08-04T14:09:21Z,DEPLOY-01,ACME\admin.jlee,msiexec.exe,3920,backup.internal,198.51.100.3,443,allowed,17431,972966,benign,routine network activity
NET-01068,2026-08-04T14:23:02Z,ADMIN-WS-07,ACME\admin.jlee,backup-agent.exe,4181,backup.internal,198.51.100.119,445,allowed,89918,1749607,benign,routine network activity
NET-00637,2026-08-04T14:27:42Z,ADMIN-WS-11,ACME\admin.jlee,backup-agent.exe,11404,download.sysinternals.com,198.51.100.131,445,allowed,96113,429283,benign,routine network activity
NET-01159,2026-08-04T14:30:31Z,APP-API-02,ACME\admin.jlee,msiexec.exe,7061,packages.microsoft.com,198.51.100.149,443,allowed,81071,152174,benign,routine network activity
NET-00202,2026-08-04T14:48:36Z,ADMIN-WS-07,ACME\svc_deploy,backup-agent.exe,9726,download.sysinternals.com,198.51.100.164,443,allowed,92549,819920,benign,routine network activity
NET-00623,2026-08-04T14:53:24Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,8194,download.sysinternals.com,198.51.100.218,5985,allowed,56080,752380,benign,routine network activity
NET-INC-001,2026-08-04T15:21:14Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,rundll32.exe,8620,cdn-tools.example,192.0.2.44,443,allowed,1450,310,malicious,Persistence callback
NET-INC-002,2026-08-04T15:24:12Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,8688,APP-API-02.internal,10.40.20.32,5985,blocked,870,0,scope,Failed lateral movement attempt
NET-01402,2026-08-04T15:26:56Z,WEB-EDGE-01,ACME\svc_backup,backup-agent.exe,10877,updates.vendor.example,198.51.100.112,443,allowed,67300,779901,benign,routine network activity
NET-01222,2026-08-04T15:28:54Z,VULN-SCAN-01,ACME\svc_deploy,backup-agent.exe,10891,backup.internal,198.51.100.205,445,allowed,24947,877640,benign,routine network activity
NET-00896,2026-08-04T15:29:01Z,FILE-01,ACME\svc_deploy,powershell.exe,7691,download.sysinternals.com,198.51.100.37,443,allowed,22739,1405577,benign,routine network activity
NET-00889,2026-08-04T15:29:23Z,VULN-SCAN-01,ACME\admin.rpatel,backup-agent.exe,13055,updates.vendor.example,198.51.100.146,445,allowed,88827,782158,benign,routine network activity
NET-00564,2026-08-04T15:31:11Z,ADMIN-WS-11,ACME\admin.rpatel,msiexec.exe,14950,updates.vendor.example,198.51.100.36,445,allowed,40318,1343322,benign,routine network activity
NET-00398,2026-08-04T15:35:39Z,ADMIN-WS-07,ACME\svc_deploy,backup-agent.exe,12687,packages.microsoft.com,198.51.100.70,5985,allowed,66788,1066633,benign,routine network activity
NET-00539,2026-08-04T15:38:10Z,WEB-EDGE-01,ACME\admin.rpatel,msiexec.exe,6698,download.sysinternals.com,198.51.100.84,445,allowed,59043,921514,benign,routine network activity
NET-00743,2026-08-04T15:50:30Z,APP-API-02,ACME\svc_backup,chrome.exe,5600,download.sysinternals.com,198.51.100.13,5985,allowed,70862,1124274,benign,routine network activity
NET-01170,2026-08-04T15:50:52Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,11888,packages.microsoft.com,198.51.100.227,443,allowed,22996,1982581,benign,routine network activity
NET-01311,2026-08-04T16:01:09Z,FILE-01,ACME\svc_deploy,backup-agent.exe,7108,download.sysinternals.com,198.51.100.81,5985,allowed,72900,413240,benign,routine network activity
NET-00014,2026-08-04T16:02:15Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,6686,packages.microsoft.com,198.51.100.139,443,allowed,6232,878144,benign,routine network activity
NET-00550,2026-08-04T16:04:27Z,WEB-EDGE-01,ACME\svc_backup,powershell.exe,11087,backup.internal,198.51.100.206,5985,allowed,92050,472923,benign,routine network activity
NET-00195,2026-08-04T16:07:39Z,FILE-01,ACME\svc_deploy,backup-agent.exe,1428,updates.vendor.example,198.51.100.178,443,allowed,78275,1370204,benign,routine network activity
NET-00525,2026-08-04T16:11:28Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,7024,packages.microsoft.com,198.51.100.156,5985,allowed,91020,166832,benign,routine network activity
NET-00412,2026-08-04T16:11:46Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,msiexec.exe,4034,repo.internal,198.51.100.23,443,allowed,17073,1695143,benign,routine network activity
