event_id,_time,host,src_ip,method,uri,status,user_agent,classification,note
WEB-00594,2026-08-04T12:05:50Z,APP-API-02,203.0.113.6,POST,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-00654,2026-08-04T12:16:52Z,WEB-EDGE-01,203.0.113.70,POST,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-00174,2026-08-04T12:26:51Z,APP-API-02,203.0.113.84,POST,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-01294,2026-08-04T12:28:30Z,APP-API-02,203.0.113.93,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-00897,2026-08-04T12:36:12Z,WEB-EDGE-01,203.0.113.90,POST,/,200,scanner/1.0,benign,background web activity
WEB-01444,2026-08-04T12:38:14Z,WEB-EDGE-01,203.0.113.123,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-01295,2026-08-04T12:40:06Z,WEB-EDGE-01,203.0.113.164,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-00142,2026-08-04T12:40:55Z,APP-API-02,203.0.113.22,GET,/health,200,scanner/1.0,benign,background web activity
WEB-01012,2026-08-04T12:42:47Z,APP-API-02,203.0.113.195,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-01097,2026-08-04T12:44:20Z,WEB-EDGE-01,203.0.113.160,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-01202,2026-08-04T12:51:39Z,WEB-EDGE-01,203.0.113.169,POST,/.env,404,Mozilla/5.0,benign,background web activity
WEB-00194,2026-08-04T12:52:20Z,WEB-EDGE-01,203.0.113.148,POST,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00376,2026-08-04T13:06:05Z,APP-API-02,203.0.113.41,GET,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-01219,2026-08-04T13:07:22Z,WEB-EDGE-01,203.0.113.64,GET,/health,200,scanner/1.0,benign,background web activity
WEB-00375,2026-08-04T13:16:11Z,APP-API-02,203.0.113.144,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-00460,2026-08-04T13:16:52Z,WEB-EDGE-01,203.0.113.195,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-01142,2026-08-04T13:19:38Z,WEB-EDGE-01,203.0.113.41,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-01380,2026-08-04T13:24:55Z,WEB-EDGE-01,203.0.113.56,POST,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-01284,2026-08-04T13:31:51Z,APP-API-02,203.0.113.239,GET,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-01382,2026-08-04T13:32:08Z,APP-API-02,203.0.113.140,GET,/api/status,404,scanner/1.0,benign,background web activity
WEB-01145,2026-08-04T13:37:06Z,APP-API-02,203.0.113.194,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-01165,2026-08-04T13:38:49Z,WEB-EDGE-01,203.0.113.230,POST,/,200,Mozilla/5.0,benign,background web activity
WEB-00002,2026-08-04T14:14:50Z,WEB-EDGE-01,203.0.113.108,POST,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-00463,2026-08-04T14:16:15Z,APP-API-02,203.0.113.102,POST,/health,200,scanner/1.0,benign,background web activity
WEB-00219,2026-08-04T14:19:23Z,APP-API-02,203.0.113.131,GET,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-00657,2026-08-04T14:19:37Z,WEB-EDGE-01,203.0.113.5,POST,/health,404,Mozilla/5.0,benign,background web activity
WEB-00704,2026-08-04T14:30:49Z,WEB-EDGE-01,203.0.113.79,GET,/,404,scanner/1.0,benign,background web activity
WEB-00436,2026-08-04T14:37:21Z,APP-API-02,203.0.113.76,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-00181,2026-08-04T14:39:19Z,WEB-EDGE-01,203.0.113.117,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00183,2026-08-04T14:48:03Z,APP-API-02,203.0.113.239,POST,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00116,2026-08-04T14:48:30Z,APP-API-02,203.0.113.186,GET,/health,200,scanner/1.0,benign,background web activity
WEB-00896,2026-08-04T15:08:05Z,WEB-EDGE-01,203.0.113.134,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-INC-001,2026-08-04T15:12:12Z,WEB-EDGE-01,203.0.113.90,GET,/downloads/admin-tool,200,Mozilla/5.0,context,Unrelated web request near incident window
