asset_id,host,role,owner,criticality,expected_admin_sources,note
AST-00001,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00002,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00003,APP-API-03,application server,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00004,JUMP-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00005,DEPLOY-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00006,FILE-02,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00007,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00008,APP-API-02,application server,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00009,APP-API-03,application server,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00010,JUMP-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00011,DEPLOY-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00012,FILE-02,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00013,FIN-WS-14,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00014,APP-API-02,application server,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00015,APP-API-03,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00016,JUMP-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00017,DEPLOY-01,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00018,FILE-02,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00019,FIN-WS-14,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00020,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00021,APP-API-03,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00022,JUMP-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00023,DEPLOY-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00024,FILE-02,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00025,FIN-WS-14,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00026,APP-API-02,application server,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00027,APP-API-03,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00028,JUMP-01,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00029,DEPLOY-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00030,FILE-02,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00031,FIN-WS-14,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00032,APP-API-02,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00033,APP-API-03,application server,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00034,JUMP-01,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00035,DEPLOY-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00036,FILE-02,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00037,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00038,APP-API-02,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00039,APP-API-03,application server,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00040,JUMP-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00041,DEPLOY-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00042,FILE-02,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00043,FIN-WS-14,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00044,APP-API-02,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00045,APP-API-03,application server,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00046,JUMP-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00047,DEPLOY-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00048,FILE-02,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00049,FIN-WS-14,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00050,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00051,APP-API-03,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00052,JUMP-01,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00053,DEPLOY-01,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00054,FILE-02,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00055,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00056,APP-API-02,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00057,APP-API-03,application server,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00058,JUMP-01,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00059,DEPLOY-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00060,FILE-02,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00061,FIN-WS-14,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00062,APP-API-02,application server,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00063,APP-API-03,application server,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00064,JUMP-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00065,DEPLOY-01,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00066,FILE-02,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00067,FIN-WS-14,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00068,APP-API-02,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00069,APP-API-03,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00070,JUMP-01,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00071,DEPLOY-01,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00072,FILE-02,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00073,FIN-WS-14,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00074,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00075,APP-API-03,application server,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00076,JUMP-01,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00077,DEPLOY-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00078,FILE-02,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00079,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00080,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00081,APP-API-03,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00082,JUMP-01,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00083,DEPLOY-01,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00084,FILE-02,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00085,FIN-WS-14,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00086,APP-API-02,application server,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00087,APP-API-03,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00088,JUMP-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00089,DEPLOY-01,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00090,FILE-02,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00091,FIN-WS-14,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00092,APP-API-02,application server,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00093,APP-API-03,application server,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00094,JUMP-01,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00095,DEPLOY-01,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00096,FILE-02,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
