finding_id,host,evidence,expected_decision,expected_confidence,analyst_decision,analyst_confidence,evidence_gap,note
F-00100,APP-API-03,routine context,context,high,,,,practice row
F-00101,APP-API-02,routine context,context,high,,,,practice row
F-00102,APP-API-02,routine context,context,high,,,,practice row
F-00103,FIN-WS-14,routine context,context,high,,,,practice row
F-00104,FIN-WS-14,routine context,context,high,,,,practice row
F-00105,FILE-02,routine context,context,high,,,,practice row
F-00106,DEPLOY-01,routine context,context,high,,,,practice row
F-00107,FIN-WS-14,routine context,context,high,,,,practice row
F-00108,FILE-02,routine context,context,high,,,,practice row
F-00109,APP-API-03,routine context,context,high,,,,practice row
F-00110,JUMP-01,routine context,context,high,,,,practice row
F-00111,APP-API-02,routine context,context,high,,,,practice row
F-00112,APP-API-03,routine context,context,high,,,,practice row
F-00113,JUMP-01,routine context,context,high,,,,practice row
F-00114,APP-API-03,routine context,context,high,,,,practice row
F-00115,APP-API-03,routine context,context,high,,,,practice row
F-00116,APP-API-02,routine context,context,high,,,,practice row
F-00117,APP-API-02,routine context,context,high,,,,practice row
F-00118,APP-API-03,routine context,context,high,,,,practice row
F-00119,APP-API-02,routine context,context,high,,,,practice row
F-00120,APP-API-02,routine context,context,high,,,,practice row
F-00121,FIN-WS-14,routine context,context,high,,,,practice row
F-00122,APP-API-02,routine context,context,high,,,,practice row
F-00123,APP-API-03,routine context,context,high,,,,practice row
F-00124,FIN-WS-14,routine context,context,high,,,,practice row
F-00125,APP-API-02,routine context,context,high,,,,practice row
F-00126,APP-API-03,routine context,context,high,,,,practice row
F-00127,FILE-02,routine context,context,high,,,,practice row
F-00128,JUMP-01,routine context,context,high,,,,practice row
F-00129,APP-API-02,routine context,context,high,,,,practice row
F-00130,DEPLOY-01,routine context,context,high,,,,practice row
F-00131,DEPLOY-01,routine context,context,high,,,,practice row
F-00132,FIN-WS-14,routine context,context,high,,,,practice row
F-00133,JUMP-01,routine context,context,high,,,,practice row
F-00134,APP-API-03,routine context,context,high,,,,practice row
F-00135,FILE-02,routine context,context,high,,,,practice row
F-00136,JUMP-01,routine context,context,high,,,,practice row
F-00137,APP-API-03,routine context,context,high,,,,practice row
F-00138,APP-API-02,routine context,context,high,,,,practice row
F-00139,FIN-WS-14,routine context,context,high,,,,practice row
F-00140,JUMP-01,routine context,context,high,,,,practice row
F-00141,JUMP-01,routine context,context,high,,,,practice row
F-00142,APP-API-02,routine context,context,high,,,,practice row
F-00143,APP-API-02,routine context,context,high,,,,practice row
F-00144,DEPLOY-01,routine context,context,high,,,,practice row
F-00145,FILE-02,routine context,context,high,,,,practice row
F-00146,FIN-WS-14,routine context,context,high,,,,practice row
F-00147,DEPLOY-01,routine context,context,high,,,,practice row
F-00148,APP-API-02,routine context,context,high,,,,practice row
F-00149,APP-API-03,routine context,context,high,,,,practice row
F-00150,APP-API-02,routine context,context,high,,,,practice row
F-00151,APP-API-02,routine context,context,high,,,,practice row
F-00152,FIN-WS-14,routine context,context,high,,,,practice row
F-00153,APP-API-03,routine context,context,high,,,,practice row
F-00154,APP-API-03,routine context,context,high,,,,practice row
F-00155,FILE-02,routine context,context,high,,,,practice row
F-00156,JUMP-01,routine context,context,high,,,,practice row
F-00157,APP-API-03,routine context,context,high,,,,practice row
F-00158,FIN-WS-14,routine context,context,high,,,,practice row
F-00159,JUMP-01,routine context,context,high,,,,practice row
F-00160,FIN-WS-14,routine context,context,high,,,,practice row
F-00161,DEPLOY-01,routine context,context,high,,,,practice row
F-00162,APP-API-03,routine context,context,high,,,,practice row
F-00163,APP-API-02,routine context,context,high,,,,practice row
F-00164,DEPLOY-01,routine context,context,high,,,,practice row
F-00165,APP-API-03,routine context,context,high,,,,practice row
F-00166,FIN-WS-14,routine context,context,high,,,,practice row
F-00167,DEPLOY-01,routine context,context,high,,,,practice row
F-00168,APP-API-03,routine context,context,high,,,,practice row
F-00169,JUMP-01,routine context,context,high,,,,practice row
F-00170,FILE-02,routine context,context,high,,,,practice row
F-00171,FIN-WS-14,routine context,context,high,,,,practice row
F-00172,APP-API-02,routine context,context,high,,,,practice row
F-00173,DEPLOY-01,routine context,context,high,,,,practice row
F-00174,FILE-02,routine context,context,high,,,,practice row
F-00175,APP-API-03,routine context,context,high,,,,practice row
F-00176,DEPLOY-01,routine context,context,high,,,,practice row
F-00177,APP-API-03,routine context,context,high,,,,practice row
F-00178,FIN-WS-14,routine context,context,high,,,,practice row
F-00179,APP-API-03,routine context,context,high,,,,practice row
F-00180,APP-API-03,routine context,context,high,,,,practice row
F-00181,FIN-WS-14,routine context,context,high,,,,practice row
F-00182,DEPLOY-01,routine context,context,high,,,,practice row
F-00183,APP-API-02,routine context,context,high,,,,practice row
F-00184,FILE-02,routine context,context,high,,,,practice row
F-00185,DEPLOY-01,routine context,context,high,,,,practice row
F-00186,JUMP-01,routine context,context,high,,,,practice row
F-00187,APP-API-02,routine context,context,high,,,,practice row
F-00188,JUMP-01,routine context,context,high,,,,practice row
F-00189,FIN-WS-14,routine context,context,high,,,,practice row
F-00190,APP-API-02,routine context,context,high,,,,practice row
F-00191,APP-API-03,routine context,context,high,,,,practice row
F-00192,FIN-WS-14,routine context,context,high,,,,practice row
F-00193,DEPLOY-01,routine context,context,high,,,,practice row
F-00194,FILE-02,routine context,context,high,,,,practice row
F-00195,DEPLOY-01,routine context,context,high,,,,practice row
F-00196,APP-API-03,routine context,context,high,,,,practice row
F-00197,JUMP-01,routine context,context,high,,,,practice row
F-00198,DEPLOY-01,routine context,context,high,,,,practice row
F-00199,FILE-02,routine context,context,high,,,,practice row
F-00200,APP-API-02,routine context,context,high,,,,practice row
F-00201,FILE-02,routine context,context,high,,,,practice row
F-00202,FILE-02,routine context,context,high,,,,practice row
F-00203,FILE-02,routine context,context,high,,,,practice row
F-00204,DEPLOY-01,routine context,context,high,,,,practice row
F-00205,APP-API-03,routine context,context,high,,,,practice row
F-00206,DEPLOY-01,routine context,context,high,,,,practice row
F-00207,DEPLOY-01,routine context,context,high,,,,practice row
F-00208,FIN-WS-14,routine context,context,high,,,,practice row
F-00209,JUMP-01,routine context,context,high,,,,practice row
F-00210,APP-API-03,routine context,context,high,,,,practice row
F-00211,APP-API-02,routine context,context,high,,,,practice row
F-00212,FIN-WS-14,routine context,context,high,,,,practice row
F-00213,APP-API-02,routine context,context,high,,,,practice row
F-00214,FILE-02,routine context,context,high,,,,practice row
F-00215,APP-API-02,routine context,context,high,,,,practice row
F-00216,FIN-WS-14,routine context,context,high,,,,practice row
F-00217,APP-API-03,routine context,context,high,,,,practice row
F-00218,APP-API-02,routine context,context,high,,,,practice row
F-00219,DEPLOY-01,routine context,context,high,,,,practice row
F-00220,JUMP-01,routine context,context,high,,,,practice row
F-00221,APP-API-02,routine context,context,high,,,,practice row
F-00222,APP-API-02,routine context,context,high,,,,practice row
F-00223,FILE-02,routine context,context,high,,,,practice row
F-00224,APP-API-03,routine context,context,high,,,,practice row
F-00225,JUMP-01,routine context,context,high,,,,practice row
F-00226,FIN-WS-14,routine context,context,high,,,,practice row
F-00227,DEPLOY-01,routine context,context,high,,,,practice row
F-00228,APP-API-02,routine context,context,high,,,,practice row
F-00229,FILE-02,routine context,context,high,,,,practice row
F-00230,APP-API-03,routine context,context,high,,,,practice row
F-00231,FIN-WS-14,routine context,context,high,,,,practice row
F-00232,APP-API-03,routine context,context,high,,,,practice row
F-00233,APP-API-02,routine context,context,high,,,,practice row
F-00234,APP-API-02,routine context,context,high,,,,practice row
F-00235,APP-API-02,routine context,context,high,,,,practice row
F-00236,FILE-02,routine context,context,high,,,,practice row
F-00237,FILE-02,routine context,context,high,,,,practice row
F-00238,JUMP-01,routine context,context,high,,,,practice row
F-00239,APP-API-02,routine context,context,high,,,,practice row
F-00240,APP-API-02,routine context,context,high,,,,practice row
F-00241,JUMP-01,routine context,context,high,,,,practice row
F-00242,FIN-WS-14,routine context,context,high,,,,practice row
F-00243,APP-API-02,routine context,context,high,,,,practice row
F-00244,APP-API-02,routine context,context,high,,,,practice row
F-00245,APP-API-02,routine context,context,high,,,,practice row
F-00246,DEPLOY-01,routine context,context,high,,,,practice row
F-00247,DEPLOY-01,routine context,context,high,,,,practice row
F-00248,FIN-WS-14,routine context,context,high,,,,practice row
F-00249,FILE-02,routine context,context,high,,,,practice row
F-00250,FILE-02,routine context,context,high,,,,practice row
