event_id,_time,host,user,action,file_path,source_process,classification,note
FILE-00924,2026-08-11T13:06:18Z,JUMP-01,ACME\jsmith,create,C:\Backup\state.db,backup-agent.exe,benign,routine file
FILE-00132,2026-08-11T13:16:28Z,JUMP-01,ACME\jsmith,create,C:\Backup\state.db,powershell.exe,benign,routine file
FILE-00212,2026-08-11T13:17:44Z,JUMP-01,ACME\mrivera,read,C:\Windows\Temp\app.log,powershell.exe,benign,routine file
FILE-00386,2026-08-11T13:20:52Z,APP-API-02,ACME\jsmith,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file
FILE-00931,2026-08-11T13:21:56Z,JUMP-01,ACME\jsmith,read,C:\Deploy\agent.msi,powershell.exe,benign,routine file
FILE-00600,2026-08-11T13:33:24Z,APP-API-02,ACME\svc_backup,read,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-00481,2026-08-11T13:35:56Z,FILE-02,ACME\svc_backup,modify,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file
FILE-00727,2026-08-11T13:47:17Z,DEPLOY-01,ACME\svc_deploy,read,C:\Windows\Temp\app.log,powershell.exe,benign,routine file
FILE-00306,2026-08-11T13:52:41Z,DEPLOY-01,ACME\jsmith,read,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-01289,2026-08-11T13:57:42Z,JUMP-01,ACME\mrivera,modify,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-01060,2026-08-11T13:58:49Z,FILE-02,ACME\svc_backup,modify,C:\Deploy\agent.msi,powershell.exe,benign,routine file
FILE-00293,2026-08-11T14:03:28Z,DEPLOY-01,ACME\jsmith,create,C:\Deploy\agent.msi,powershell.exe,benign,routine file
FILE-00932,2026-08-11T14:06:18Z,FILE-02,ACME\svc_deploy,create,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file
FILE-01230,2026-08-11T14:07:00Z,FILE-02,ACME\mrivera,read,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-01299,2026-08-11T14:13:38Z,APP-API-02,ACME\svc_backup,create,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-00189,2026-08-11T14:14:17Z,APP-API-02,ACME\jsmith,create,C:\Deploy\agent.msi,backup-agent.exe,benign,routine file
FILE-00587,2026-08-11T14:26:51Z,FIN-WS-14,ACME\svc_deploy,read,C:\Backup\state.db,backup-agent.exe,benign,routine file
FILE-00703,2026-08-11T14:29:21Z,FILE-02,ACME\jsmith,modify,C:\Backup\state.db,msiexec.exe,benign,routine file
FILE-00541,2026-08-11T14:36:18Z,JUMP-01,ACME\svc_deploy,create,C:\Backup\state.db,backup-agent.exe,benign,routine file
