event_id,_time,host,user,parent_process_name,process_name,process_id,command_line,classification,note
PROC-00627,2026-08-11T13:03:14Z,APP-API-03,ACME\mrivera,explorer.exe,msiexec.exe,7447,routine process,benign,routine process
PROC-00390,2026-08-11T13:04:02Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,msiexec.exe,13151,routine process,benign,routine process
PROC-00634,2026-08-11T13:06:21Z,APP-API-02,ACME\svc_backup,services.exe,w3wp.exe,3609,routine process,benign,routine process
PROC-01098,2026-08-11T13:12:15Z,FIN-WS-14,ACME\mrivera,services.exe,powershell.exe,12617,routine process,benign,routine process
PROC-00217,2026-08-11T13:23:10Z,FILE-02,ACME\svc_deploy,wsmprovhost.exe,w3wp.exe,7400,routine process,benign,routine process
PROC-00372,2026-08-11T13:23:12Z,JUMP-01,ACME\svc_deploy,taskeng.exe,msiexec.exe,11438,routine process,benign,routine process
PROC-01288,2026-08-11T13:23:12Z,FILE-02,ACME\mrivera,services.exe,w3wp.exe,7410,routine process,benign,routine process
PROC-00340,2026-08-11T13:40:56Z,APP-API-03,ACME\mrivera,explorer.exe,powershell.exe,3416,routine process,benign,routine process
PROC-00951,2026-08-11T13:44:38Z,JUMP-01,ACME\jsmith,services.exe,backup-agent.exe,5940,routine process,benign,routine process
PROC-00744,2026-08-11T13:53:43Z,DEPLOY-01,ACME\mrivera,wsmprovhost.exe,powershell.exe,12397,routine process,benign,routine process
PROC-00417,2026-08-11T14:01:50Z,JUMP-01,ACME\mrivera,taskeng.exe,msiexec.exe,12093,routine process,benign,routine process
PROC-00789,2026-08-11T14:09:49Z,DEPLOY-01,ACME\svc_backup,taskeng.exe,powershell.exe,4232,routine process,benign,routine process
PROC-00596,2026-08-11T14:22:40Z,FILE-02,ACME\jsmith,taskeng.exe,w3wp.exe,13232,routine process,benign,routine process
PROC-00818,2026-08-11T14:35:19Z,APP-API-02,ACME\svc_backup,wsmprovhost.exe,w3wp.exe,14517,routine process,benign,routine process
PROC-00320,2026-08-11T14:35:32Z,FILE-02,ACME\jsmith,wsmprovhost.exe,w3wp.exe,6446,routine process,benign,routine process
PROC-01370,2026-08-11T14:36:23Z,APP-API-02,ACME\svc_deploy,taskeng.exe,msiexec.exe,9499,routine process,benign,routine process
PROC-00785,2026-08-11T14:48:37Z,DEPLOY-01,ACME\mrivera,services.exe,w3wp.exe,2728,routine process,benign,routine process
