event_id,_time,src_host,dest_host,user,protocol,result,source_ip,classification,note
AUTH-00557,2026-08-11T13:01:59Z,APP-API-03,FILE-02,ACME\mrivera,RDP,success,10.50.36.47,benign,routine authentication
AUTH-00830,2026-08-11T13:06:19Z,APP-API-02,JUMP-01,NT AUTHORITY\SYSTEM,NTLM,success,10.50.26.162,benign,routine authentication
AUTH-00277,2026-08-11T13:08:02Z,FILE-02,APP-API-02,ACME\svc_backup,NTLM,success,10.50.32.187,benign,routine authentication
AUTH-01375,2026-08-11T13:28:31Z,APP-API-02,JUMP-01,ACME\mrivera,NTLM,success,10.50.13.3,benign,routine authentication
AUTH-00157,2026-08-11T13:35:42Z,FIN-WS-14,FIN-WS-14,NT AUTHORITY\SYSTEM,NTLM,failure,10.50.18.47,benign,routine authentication
AUTH-00808,2026-08-11T13:40:08Z,APP-API-02,FILE-02,ACME\svc_deploy,WinRM,success,10.50.18.237,benign,routine authentication
AUTH-00147,2026-08-11T13:45:29Z,DEPLOY-01,DEPLOY-01,ACME\svc_deploy,RDP,success,10.50.23.98,benign,routine authentication
AUTH-00858,2026-08-11T13:55:39Z,APP-API-02,FIN-WS-14,ACME\mrivera,NTLM,success,10.50.22.35,benign,routine authentication
AUTH-01193,2026-08-11T14:04:20Z,APP-API-03,FILE-02,ACME\svc_deploy,NTLM,success,10.50.23.75,benign,routine authentication
AUTH-00697,2026-08-11T14:06:08Z,FIN-WS-14,DEPLOY-01,ACME\svc_deploy,WinRM,success,10.50.9.26,benign,routine authentication
AUTH-01380,2026-08-11T14:12:20Z,FIN-WS-14,APP-API-03,ACME\jsmith,NTLM,success,10.50.13.236,benign,routine authentication
AUTH-01423,2026-08-11T14:13:37Z,FIN-WS-14,FIN-WS-14,ACME\mrivera,RDP,success,10.50.21.33,benign,routine authentication
AUTH-01140,2026-08-11T14:21:45Z,DEPLOY-01,JUMP-01,ACME\jsmith,NTLM,success,10.50.34.27,benign,routine authentication
AUTH-00210,2026-08-11T14:36:40Z,FIN-WS-14,FIN-WS-14,ACME\svc_deploy,Kerberos,failure,10.50.13.153,benign,routine authentication
AUTH-01152,2026-08-11T14:47:14Z,FILE-02,APP-API-02,ACME\svc_deploy,RDP,failure,10.50.40.97,benign,routine authentication
AUTH-00339,2026-08-11T15:06:20Z,FIN-WS-14,APP-API-03,ACME\svc_deploy,Kerberos,success,10.50.38.72,benign,routine authentication
AUTH-01467,2026-08-11T15:22:04Z,FILE-02,DEPLOY-01,ACME\svc_backup,RDP,success,10.50.37.24,benign,routine authentication
AUTH-INC-001,2026-08-11T15:23:00Z,FIN-WS-14,APP-API-02,ACME\mrivera,WinRM,failure,10.50.20.14,scope,failed movement attempt
AUTH-INC-002,2026-08-11T15:23:18Z,FIN-WS-14,APP-API-03,ACME\mrivera,WinRM,failure,10.50.20.14,scope,second failed movement attempt
AUTH-00558,2026-08-11T15:24:10Z,FIN-WS-14,FIN-WS-14,ACME\svc_backup,Kerberos,failure,10.50.1.43,benign,routine authentication
AUTH-00819,2026-08-11T15:24:28Z,FIN-WS-14,JUMP-01,ACME\svc_backup,NTLM,success,10.50.22.82,benign,routine authentication
AUTH-CTX-001,2026-08-11T15:25:00Z,DEPLOY-01,APP-API-02,ACME\svc_deploy,WinRM,success,10.50.10.25,benign,approved deployment
AUTH-01131,2026-08-11T15:30:32Z,DEPLOY-01,APP-API-03,ACME\mrivera,RDP,success,10.50.37.152,benign,routine authentication
AUTH-00915,2026-08-11T15:33:25Z,FIN-WS-14,JUMP-01,NT AUTHORITY\SYSTEM,WinRM,success,10.50.1.62,benign,routine authentication
AUTH-RESP-001,2026-08-11T15:35:00Z,JUMP-01,APP-API-02,ACME\jsmith,RDP,success,10.50.10.8,response,authorized responder validation
