event_id,_time,src_host,dest_host,user,process_name,dest_port,action,bytes_out,classification,note
NET-00742,2026-08-11T13:00:56Z,APP-API-02,FILE-02,ACME\jsmith,powershell.exe,5985,allowed,61333,benign,routine network
NET-00273,2026-08-11T13:06:29Z,FILE-02,DEPLOY-01,NT AUTHORITY\SYSTEM,w3wp.exe,445,allowed,44165,benign,routine network
NET-00865,2026-08-11T13:11:00Z,APP-API-02,APP-API-02,ACME\jsmith,powershell.exe,443,allowed,43825,benign,routine network
NET-00176,2026-08-11T13:11:33Z,APP-API-02,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,445,allowed,65361,benign,routine network
NET-00342,2026-08-11T13:13:56Z,APP-API-03,FIN-WS-14,NT AUTHORITY\SYSTEM,powershell.exe,443,allowed,69715,benign,routine network
NET-00620,2026-08-11T13:17:42Z,DEPLOY-01,JUMP-01,ACME\jsmith,backup-agent.exe,443,allowed,22092,benign,routine network
NET-01106,2026-08-11T13:18:01Z,JUMP-01,DEPLOY-01,NT AUTHORITY\SYSTEM,backup-agent.exe,5985,allowed,28026,benign,routine network
NET-01312,2026-08-11T13:18:30Z,FILE-02,FILE-02,ACME\svc_backup,w3wp.exe,5985,allowed,47927,benign,routine network
NET-01243,2026-08-11T13:19:43Z,FILE-02,JUMP-01,ACME\jsmith,w3wp.exe,443,allowed,65431,benign,routine network
NET-00944,2026-08-11T13:24:56Z,DEPLOY-01,JUMP-01,ACME\mrivera,backup-agent.exe,443,allowed,59271,benign,routine network
NET-01484,2026-08-11T13:29:16Z,DEPLOY-01,DEPLOY-01,ACME\svc_deploy,powershell.exe,445,allowed,68736,benign,routine network
NET-00692,2026-08-11T13:29:42Z,APP-API-03,JUMP-01,ACME\mrivera,w3wp.exe,445,allowed,64011,benign,routine network
NET-00469,2026-08-11T13:37:01Z,APP-API-02,FILE-02,NT AUTHORITY\SYSTEM,powershell.exe,443,allowed,20208,benign,routine network
NET-00328,2026-08-11T13:39:28Z,DEPLOY-01,JUMP-01,NT AUTHORITY\SYSTEM,w3wp.exe,5985,allowed,64507,benign,routine network
NET-00136,2026-08-11T13:44:10Z,APP-API-02,FIN-WS-14,ACME\jsmith,powershell.exe,445,allowed,19195,benign,routine network
NET-00158,2026-08-11T13:45:08Z,DEPLOY-01,DEPLOY-01,ACME\mrivera,backup-agent.exe,5985,allowed,2120,benign,routine network
NET-00591,2026-08-11T13:53:34Z,FIN-WS-14,FIN-WS-14,ACME\mrivera,w3wp.exe,443,allowed,87485,benign,routine network
NET-00931,2026-08-11T13:57:43Z,FIN-WS-14,JUMP-01,ACME\svc_deploy,powershell.exe,443,allowed,49517,benign,routine network
NET-00905,2026-08-11T14:03:56Z,APP-API-02,JUMP-01,ACME\jsmith,powershell.exe,5985,allowed,55400,benign,routine network
NET-00292,2026-08-11T14:04:25Z,FIN-WS-14,JUMP-01,NT AUTHORITY\SYSTEM,backup-agent.exe,443,allowed,38198,benign,routine network
NET-00318,2026-08-11T14:13:52Z,DEPLOY-01,FIN-WS-14,NT AUTHORITY\SYSTEM,backup-agent.exe,445,allowed,85577,benign,routine network
NET-01049,2026-08-11T14:16:15Z,DEPLOY-01,FILE-02,ACME\mrivera,w3wp.exe,445,allowed,77812,benign,routine network
NET-00116,2026-08-11T14:23:26Z,APP-API-03,FILE-02,ACME\mrivera,powershell.exe,5985,allowed,26092,benign,routine network
NET-01473,2026-08-11T14:25:57Z,APP-API-03,APP-API-02,ACME\mrivera,w3wp.exe,445,allowed,36851,benign,routine network
NET-00113,2026-08-11T14:26:49Z,DEPLOY-01,DEPLOY-01,NT AUTHORITY\SYSTEM,powershell.exe,5985,allowed,75997,benign,routine network
NET-00675,2026-08-11T14:31:25Z,APP-API-02,APP-API-03,ACME\mrivera,powershell.exe,443,allowed,48003,benign,routine network
NET-00982,2026-08-11T14:37:00Z,JUMP-01,FIN-WS-14,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,66026,benign,routine network
