event_id,_time,host,user,action,classification,note
RESP-00850,2026-08-11T13:00:45Z,APP-API-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00207,2026-08-11T13:08:09Z,APP-API-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00788,2026-08-11T13:22:00Z,APP-API-03,SOC-AUTOMATION,query_process,response,routine response
RESP-01245,2026-08-11T13:27:15Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-00120,2026-08-11T13:33:17Z,APP-API-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01399,2026-08-11T13:34:32Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00638,2026-08-11T13:40:29Z,APP-API-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00173,2026-08-11T13:42:20Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01207,2026-08-11T13:49:13Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-01164,2026-08-11T13:49:59Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01303,2026-08-11T13:54:38Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00299,2026-08-11T14:05:10Z,APP-API-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00196,2026-08-11T14:06:32Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00456,2026-08-11T14:39:23Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01381,2026-08-11T14:40:29Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00644,2026-08-11T14:46:31Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00488,2026-08-11T14:47:33Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01022,2026-08-11T14:47:46Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00954,2026-08-11T14:57:40Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01095,2026-08-11T15:02:47Z,DEPLOY-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00426,2026-08-11T15:11:09Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01495,2026-08-11T15:18:35Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00334,2026-08-11T15:24:52Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01401,2026-08-11T15:25:18Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00114,2026-08-11T15:28:48Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-INC-001,2026-08-11T15:31:00Z,FIN-WS-14,SOC-AUTOMATION,isolate_host,response,confirmed source isolated
RESP-INC-002,2026-08-11T15:33:00Z,APP-API-02,ACME\jsmith,scope_destination,response,review without isolating
RESP-INC-003,2026-08-11T15:33:00Z,APP-API-03,ACME\jsmith,scope_destination,response,review without isolating
RESP-01041,2026-08-11T15:42:19Z,FIN-WS-14,SOC-AUTOMATION,query_process,response,routine response
RESP-01153,2026-08-11T15:51:58Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00650,2026-08-11T15:59:38Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01296,2026-08-11T16:44:05Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01298,2026-08-11T16:48:28Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00154,2026-08-11T16:49:39Z,APP-API-03,SOC-AUTOMATION,query_process,response,routine response
RESP-00619,2026-08-11T16:53:16Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01196,2026-08-11T17:16:58Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-01437,2026-08-11T17:19:57Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00397,2026-08-11T17:21:47Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00507,2026-08-11T17:27:05Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-01456,2026-08-11T17:39:50Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00608,2026-08-11T17:50:07Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01398,2026-08-11T17:54:33Z,DEPLOY-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00171,2026-08-11T17:57:56Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-00454,2026-08-11T18:04:55Z,APP-API-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00094,2026-08-11T18:11:47Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01272,2026-08-11T18:19:54Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00027,2026-08-11T18:22:25Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00661,2026-08-11T18:37:53Z,FIN-WS-14,SOC-AUTOMATION,query_process,response,routine response
RESP-00249,2026-08-11T18:43:01Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00492,2026-08-11T18:43:30Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00015,2026-08-11T18:49:08Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-01115,2026-08-11T18:50:00Z,DEPLOY-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00366,2026-08-11T18:57:45Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01377,2026-08-11T19:04:48Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01133,2026-08-11T19:26:31Z,FIN-WS-14,SOC-AUTOMATION,query_process,response,routine response
RESP-00547,2026-08-11T19:26:57Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00158,2026-08-11T19:52:15Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00941,2026-08-11T20:05:31Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01189,2026-08-11T20:06:47Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00414,2026-08-11T20:08:15Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-00225,2026-08-11T20:13:03Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00061,2026-08-11T20:25:03Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-00008,2026-08-11T20:28:26Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-01274,2026-08-11T20:30:32Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00122,2026-08-11T20:36:39Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00097,2026-08-11T20:38:02Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00881,2026-08-11T20:43:59Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01048,2026-08-11T20:44:40Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00037,2026-08-11T20:53:17Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00075,2026-08-11T21:14:17Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-00383,2026-08-11T21:15:19Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01286,2026-08-11T21:29:22Z,APP-API-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00645,2026-08-11T21:31:36Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01038,2026-08-11T21:37:50Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01082,2026-08-11T21:42:39Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00270,2026-08-11T21:50:52Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00131,2026-08-11T21:53:36Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01466,2026-08-11T21:55:09Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-01344,2026-08-11T22:00:02Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00201,2026-08-11T22:00:50Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-00304,2026-08-11T22:07:43Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00807,2026-08-11T22:08:39Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00717,2026-08-11T22:15:25Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01306,2026-08-11T22:16:01Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00315,2026-08-11T22:19:32Z,APP-API-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-00615,2026-08-11T22:22:16Z,APP-API-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01384,2026-08-11T22:25:13Z,APP-API-03,SOC-AUTOMATION,query_process,response,routine response
RESP-00194,2026-08-11T22:27:16Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00033,2026-08-11T22:28:32Z,FILE-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00475,2026-08-11T22:34:51Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00512,2026-08-11T22:41:16Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-00992,2026-08-11T22:43:51Z,DEPLOY-01,SOC-AUTOMATION,query_process,response,routine response
RESP-01071,2026-08-11T22:48:07Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00701,2026-08-11T23:03:16Z,DEPLOY-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00484,2026-08-11T23:07:50Z,APP-API-03,SOC-AUTOMATION,query_process,response,routine response
RESP-00618,2026-08-11T23:11:08Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01175,2026-08-11T23:25:01Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01081,2026-08-11T23:28:37Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01363,2026-08-11T23:35:31Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00479,2026-08-11T23:38:25Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01101,2026-08-11T23:46:24Z,APP-API-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00179,2026-08-11T23:46:29Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00755,2026-08-11T23:47:20Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00209,2026-08-11T23:48:07Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01232,2026-08-11T23:48:44Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00500,2026-08-11T23:59:19Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00028,2026-08-12T00:05:51Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01182,2026-08-12T00:06:55Z,FIN-WS-14,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00323,2026-08-12T00:13:23Z,FIN-WS-14,SOC-AUTOMATION,query_process,response,routine response
RESP-01480,2026-08-12T00:14:50Z,JUMP-01,SOC-AUTOMATION,query_process,response,routine response
RESP-00968,2026-08-12T00:19:29Z,FIN-WS-14,SOC-AUTOMATION,review_alert,response,routine response
RESP-01143,2026-08-12T00:23:58Z,DEPLOY-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01021,2026-08-12T00:26:36Z,APP-API-03,SOC-AUTOMATION,query_process,response,routine response
RESP-01139,2026-08-12T00:31:06Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01385,2026-08-12T00:32:16Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00660,2026-08-12T00:32:51Z,APP-API-02,SOC-AUTOMATION,query_process,response,routine response
RESP-01224,2026-08-12T00:34:35Z,APP-API-02,SOC-AUTOMATION,review_alert,response,routine response
RESP-00079,2026-08-12T00:38:07Z,FILE-02,SOC-AUTOMATION,query_process,response,routine response
