detection_id,_time,severity,title,host,user,expected_decision,note
ATD-007-00465,2026-08-18T12:01:31Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01404,2026-08-18T12:01:58Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-01776,2026-08-18T12:03:03Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01242,2026-08-18T12:05:40Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00441,2026-08-18T12:15:40Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01676,2026-08-18T12:23:43Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-00994,2026-08-18T12:29:36Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-01170,2026-08-18T12:34:06Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00206,2026-08-18T12:34:51Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01221,2026-08-18T12:45:03Z,low,Background Review,DC-01,ACME\svc_backup,context,background detection
ATD-007-01796,2026-08-18T12:45:25Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-01473,2026-08-18T12:46:33Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00822,2026-08-18T12:47:47Z,low,Background Review,APP-API-02,ACME\mrivera,context,background detection
ATD-007-01770,2026-08-18T12:54:17Z,low,Background Review,FILE-02,ACME\mrivera,context,background detection
ATD-007-00196,2026-08-18T12:57:01Z,low,Background Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00182,2026-08-18T12:57:44Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-01158,2026-08-18T12:59:46Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00565,2026-08-18T13:15:19Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-01452,2026-08-18T13:18:34Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00943,2026-08-18T13:19:36Z,low,Background Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00793,2026-08-18T13:20:10Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-01014,2026-08-18T13:24:53Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00189,2026-08-18T13:27:45Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00257,2026-08-18T13:40:16Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-01412,2026-08-18T13:46:28Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-01241,2026-08-18T13:49:11Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-01721,2026-08-18T13:51:19Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00229,2026-08-18T13:51:58Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-00115,2026-08-18T13:56:35Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-01378,2026-08-18T14:02:10Z,low,Background Review,FILE-02,ACME\jsmith,context,background detection
ATD-007-00652,2026-08-18T14:02:48Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01010,2026-08-18T14:02:59Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-01346,2026-08-18T14:04:54Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-00525,2026-08-18T14:05:10Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00273,2026-08-18T14:08:13Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-00367,2026-08-18T14:13:51Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00365,2026-08-18T14:14:49Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00024,2026-08-18T14:15:56Z,low,Background Review,FILE-02,ACME\svc_backup,context,background detection
ATD-007-00340,2026-08-18T14:21:35Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00730,2026-08-18T14:28:15Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-001,2026-08-18T14:33:00Z,critical,Known Compromise on FIN-WS-14,FIN-WS-14,ACME\mrivera,confirmed,prior confirmed compromise
ATD-007-00498,2026-08-18T14:35:54Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00846,2026-08-18T14:36:02Z,low,Background Review,FILE-02,ACME\svc_backup,context,background detection
ATD-007-01102,2026-08-18T14:38:52Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-002,2026-08-18T14:41:00Z,medium,Credential Use After Reset,FIN-WS-14,ACME\mrivera,contained,failed from isolated source
ATD-007-003,2026-08-18T14:44:00Z,high,Successful Authentication After Reset,FILE-02,ACME\mrivera,investigate,success from new host
ATD-007-004,2026-08-18T14:44:12Z,high,Finance Share Access by Reset User,FILE-02,ACME\mrivera,escalate,auth followed by file access
