event_id,_time,host,user,parent_process_name,process_name,command_line,classification,note
PROC-00709,2026-08-18T12:03:03Z,JUMP-01,ACME\mrivera,services.exe,powershell.exe,routine process,benign,routine process
PROC-00185,2026-08-18T12:03:57Z,JUMP-01,NT AUTHORITY\SYSTEM,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01253,2026-08-18T12:07:12Z,BACKUP-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01779,2026-08-18T12:12:00Z,DC-01,NT AUTHORITY\SYSTEM,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00687,2026-08-18T12:17:38Z,JUMP-01,NT AUTHORITY\SYSTEM,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00224,2026-08-18T12:18:29Z,APP-API-02,ACME\svc_backup,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01613,2026-08-18T12:22:37Z,APP-API-02,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-01646,2026-08-18T12:25:39Z,PRINT-01,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-01695,2026-08-18T12:32:22Z,FIN-WS-14,ACME\svc_print,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00146,2026-08-18T12:37:13Z,PRINT-01,ACME\jsmith,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01009,2026-08-18T12:37:13Z,FILE-02,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01437,2026-08-18T12:38:41Z,DC-01,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01137,2026-08-18T12:39:48Z,PRINT-01,ACME\jsmith,services.exe,powershell.exe,routine process,benign,routine process
PROC-00408,2026-08-18T12:49:27Z,BACKUP-01,NT AUTHORITY\SYSTEM,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00972,2026-08-18T12:52:18Z,APP-API-02,ACME\jsmith,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01135,2026-08-18T12:53:41Z,FIN-WS-14,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,routine process,benign,routine process
PROC-01532,2026-08-18T13:02:15Z,APP-API-02,ACME\mrivera,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00645,2026-08-18T13:05:12Z,PRINT-01,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00669,2026-08-18T13:05:12Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00461,2026-08-18T13:07:16Z,JUMP-01,NT AUTHORITY\SYSTEM,services.exe,cmd.exe,routine process,benign,routine process
PROC-00330,2026-08-18T13:15:49Z,FILE-02,ACME\svc_print,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00023,2026-08-18T13:25:40Z,PRINT-01,ACME\svc_print,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01515,2026-08-18T13:36:52Z,BACKUP-01,ACME\svc_backup,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00516,2026-08-18T13:37:18Z,FIN-WS-14,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00762,2026-08-18T13:38:20Z,PRINT-01,ACME\svc_backup,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00106,2026-08-18T13:39:00Z,BACKUP-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01326,2026-08-18T13:40:13Z,APP-API-02,ACME\svc_print,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01130,2026-08-18T13:47:11Z,FILE-02,ACME\mrivera,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01773,2026-08-18T13:50:15Z,PRINT-01,ACME\svc_print,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00150,2026-08-18T13:52:32Z,JUMP-01,ACME\mrivera,services.exe,cmd.exe,routine process,benign,routine process
