event_id,_time,actor,target_user,action,result,classification,note
ACT-00374,2026-08-18T12:03:49Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01083,2026-08-18T12:05:50Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01231,2026-08-18T12:06:50Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00066,2026-08-18T12:09:37Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00887,2026-08-18T12:18:27Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00639,2026-08-18T12:27:20Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00185,2026-08-18T12:28:40Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00088,2026-08-18T12:28:46Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00480,2026-08-18T12:30:20Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00651,2026-08-18T12:30:28Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01318,2026-08-18T12:32:37Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00719,2026-08-18T12:32:51Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00178,2026-08-18T12:37:56Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00402,2026-08-18T12:41:51Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01499,2026-08-18T12:41:56Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00623,2026-08-18T12:42:36Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00228,2026-08-18T12:46:41Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00842,2026-08-18T12:47:32Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00729,2026-08-18T12:50:11Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01531,2026-08-18T12:51:26Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01629,2026-08-18T12:53:37Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00744,2026-08-18T13:01:47Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01425,2026-08-18T13:06:09Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01701,2026-08-18T13:09:42Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00125,2026-08-18T13:14:30Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00615,2026-08-18T13:18:56Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01760,2026-08-18T13:31:56Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01410,2026-08-18T13:37:53Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01133,2026-08-18T13:38:33Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00916,2026-08-18T13:48:07Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
