event_id,_time,host,user,detail,classification,note
ASSET-00000,2026-08-22T20:31:39Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00001,2026-08-21T10:11:19Z,DC-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00002,2026-08-23T02:26:50Z,DC-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00003,2026-08-19T03:42:33Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00004,2026-08-18T12:33:42Z,FILE-02,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00005,2026-08-20T10:49:31Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00006,2026-08-21T01:38:41Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00007,2026-08-21T07:15:15Z,DC-01,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00008,2026-08-18T12:03:00Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00009,2026-08-19T22:29:47Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00010,2026-08-21T04:17:35Z,FILE-02,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00011,2026-08-19T03:19:20Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00012,2026-08-19T04:51:24Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00013,2026-08-19T13:36:28Z,PRINT-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00014,2026-08-20T22:46:04Z,PRINT-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00015,2026-08-19T05:02:20Z,BACKUP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00016,2026-08-20T07:36:26Z,FIN-WS-14,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00017,2026-08-21T04:01:40Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00018,2026-08-19T23:42:58Z,JUMP-01,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00019,2026-08-20T09:57:04Z,DC-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00020,2026-08-19T14:41:59Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00021,2026-08-20T22:05:50Z,APP-API-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00022,2026-08-19T00:55:19Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00023,2026-08-23T11:09:59Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00024,2026-08-23T02:38:46Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00025,2026-08-18T13:21:42Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00026,2026-08-21T23:23:12Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00027,2026-08-22T23:48:08Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00028,2026-08-18T23:08:25Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00029,2026-08-20T20:48:48Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00030,2026-08-23T08:53:21Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00031,2026-08-20T14:34:44Z,PRINT-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00032,2026-08-20T07:24:45Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00033,2026-08-20T05:31:12Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00034,2026-08-20T00:09:51Z,FILE-02,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00035,2026-08-20T10:37:02Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00036,2026-08-21T18:22:04Z,APP-API-02,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00037,2026-08-23T06:01:27Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00038,2026-08-20T14:02:33Z,DC-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00039,2026-08-20T09:39:22Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00040,2026-08-19T14:58:45Z,PRINT-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00041,2026-08-23T03:16:22Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00042,2026-08-21T22:13:37Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00043,2026-08-22T10:04:59Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00044,2026-08-19T05:56:58Z,PRINT-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00045,2026-08-20T10:10:18Z,FILE-02,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00046,2026-08-21T04:41:20Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00047,2026-08-22T20:45:05Z,DC-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00048,2026-08-22T11:20:40Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00049,2026-08-18T18:26:54Z,FIN-WS-14,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00050,2026-08-22T15:29:33Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00051,2026-08-20T11:12:37Z,DC-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00052,2026-08-19T02:51:41Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00053,2026-08-20T08:34:01Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00054,2026-08-20T01:49:57Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00055,2026-08-19T15:10:45Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00056,2026-08-20T18:14:35Z,BACKUP-01,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00057,2026-08-18T13:30:28Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00058,2026-08-22T23:36:34Z,DC-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00059,2026-08-22T11:11:23Z,FIN-WS-14,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00060,2026-08-20T22:27:34Z,PRINT-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
ASSET-00061,2026-08-20T14:06:19Z,FILE-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
ASSET-00062,2026-08-21T11:53:11Z,APP-API-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00063,2026-08-19T23:22:58Z,APP-API-02,ACME\svc_print,purposeful background context,benign,synthetic noise
ASSET-00064,2026-08-22T12:11:58Z,FIN-WS-14,ACME\jsmith,purposeful background context,benign,synthetic noise
ASSET-00065,2026-08-21T06:34:39Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
ASSET-00066,2026-08-19T05:33:15Z,PRINT-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
