event_id,_time,host,user,action,file_path,source_process,classification,note
FILE-00779,2026-08-18T12:00:54Z,FIN-WS-14,ACME\mrivera,read,C:\Backup\state.db,robocopy.exe,benign,routine file activity
FILE-00356,2026-08-18T12:01:12Z,FILE-02,ACME\svc_print,create,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-01246,2026-08-18T12:02:41Z,BACKUP-01,ACME\jsmith,modify,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-01727,2026-08-18T12:04:02Z,FIN-WS-14,ACME\svc_backup,read,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00544,2026-08-18T12:05:40Z,JUMP-01,ACME\mrivera,create,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00391,2026-08-18T12:06:02Z,DC-01,ACME\mrivera,modify,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00063,2026-08-18T12:07:38Z,DC-01,ACME\svc_print,read,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-00912,2026-08-18T12:26:57Z,FILE-02,ACME\svc_print,read,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-01527,2026-08-18T12:37:58Z,FIN-WS-14,ACME\mrivera,read,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-01109,2026-08-18T12:41:41Z,APP-API-02,ACME\svc_backup,read,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00413,2026-08-18T12:49:34Z,BACKUP-01,ACME\svc_print,read,C:\Windows\Temp\app.log,explorer.exe,benign,routine file activity
FILE-01100,2026-08-18T13:00:35Z,APP-API-02,ACME\jsmith,modify,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00715,2026-08-18T13:17:12Z,DC-01,ACME\mrivera,read,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-00960,2026-08-18T13:17:23Z,PRINT-01,ACME\jsmith,modify,C:\Backup\state.db,backup-agent.exe,benign,routine file activity
FILE-01219,2026-08-18T13:20:58Z,APP-API-02,ACME\mrivera,modify,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-00478,2026-08-18T13:21:21Z,DC-01,NT AUTHORITY\SYSTEM,modify,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-01277,2026-08-18T13:23:45Z,PRINT-01,NT AUTHORITY\SYSTEM,create,C:\Backup\state.db,backup-agent.exe,benign,routine file activity
FILE-01319,2026-08-18T13:29:58Z,APP-API-02,ACME\svc_print,read,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-01667,2026-08-18T13:31:03Z,FILE-02,ACME\svc_backup,read,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00863,2026-08-18T13:33:38Z,DC-01,NT AUTHORITY\SYSTEM,modify,C:\Backup\state.db,explorer.exe,benign,routine file activity
FILE-00495,2026-08-18T13:44:35Z,APP-API-02,ACME\mrivera,modify,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-01676,2026-08-18T13:44:43Z,BACKUP-01,ACME\svc_backup,read,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-01749,2026-08-18T13:49:27Z,FILE-02,ACME\jsmith,read,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-01486,2026-08-18T13:51:31Z,PRINT-01,ACME\svc_backup,read,C:\Backup\state.db,backup-agent.exe,benign,routine file activity
FILE-01244,2026-08-18T13:59:37Z,BACKUP-01,ACME\svc_backup,create,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00742,2026-08-18T14:06:27Z,FIN-WS-14,ACME\mrivera,create,C:\Backup\state.db,backup-agent.exe,benign,routine file activity
FILE-01393,2026-08-18T14:15:22Z,DC-01,ACME\svc_print,read,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00300,2026-08-18T14:18:48Z,BACKUP-01,ACME\svc_print,create,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00577,2026-08-18T14:20:40Z,APP-API-02,ACME\svc_print,read,C:\Windows\Temp\app.log,explorer.exe,benign,routine file activity
FILE-00556,2026-08-18T14:21:52Z,FIN-WS-14,NT AUTHORITY\SYSTEM,modify,C:\Windows\Temp\app.log,explorer.exe,benign,routine file activity
FILE-00885,2026-08-18T14:24:15Z,APP-API-02,ACME\svc_print,create,C:\Backup\state.db,robocopy.exe,benign,routine file activity
FILE-01099,2026-08-18T14:26:26Z,PRINT-01,NT AUTHORITY\SYSTEM,create,C:\Backup\state.db,robocopy.exe,benign,routine file activity
FILE-01440,2026-08-18T14:28:21Z,JUMP-01,NT AUTHORITY\SYSTEM,modify,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00632,2026-08-18T14:39:00Z,PRINT-01,ACME\mrivera,modify,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-01271,2026-08-18T14:39:59Z,DC-01,ACME\jsmith,modify,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-INC-001,2026-08-18T14:44:12Z,FILE-02,ACME\mrivera,read,D:\Shares\Finance\Q3.xlsx,cmd.exe,investigate,finance share accessed
FILE-INC-002,2026-08-18T14:44:18Z,FILE-02,ACME\mrivera,create,C:\Users\Public\Q3.xlsx,cmd.exe,investigate,local copy created
FILE-BEN-001,2026-08-18T14:45:14Z,FILE-02,ACME\svc_backup,read,D:\Shares\Finance\Q3.xlsx,backup-agent.exe,benign,scheduled backup read
FILE-00105,2026-08-18T14:47:48Z,BACKUP-01,ACME\svc_backup,read,C:\Windows\Temp\app.log,explorer.exe,benign,routine file activity
FILE-RESP-001,2026-08-18T14:53:00Z,FILE-02,ACME\jsmith,create,C:\IR\file02_triage.txt,cmd.exe,response,responder collection
FILE-00187,2026-08-18T14:58:30Z,PRINT-01,ACME\jsmith,create,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-01056,2026-08-18T15:05:35Z,BACKUP-01,ACME\svc_backup,create,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-01577,2026-08-18T15:07:22Z,JUMP-01,NT AUTHORITY\SYSTEM,create,C:\Backup\state.db,robocopy.exe,benign,routine file activity
FILE-00568,2026-08-18T15:07:37Z,DC-01,ACME\mrivera,create,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-01580,2026-08-18T15:11:24Z,PRINT-01,ACME\svc_print,create,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-01010,2026-08-18T15:14:30Z,DC-01,NT AUTHORITY\SYSTEM,create,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-00768,2026-08-18T15:16:19Z,APP-API-02,ACME\svc_print,modify,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-00141,2026-08-18T15:23:09Z,BACKUP-01,ACME\svc_backup,read,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
FILE-00167,2026-08-18T15:23:30Z,APP-API-02,NT AUTHORITY\SYSTEM,read,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-00451,2026-08-18T15:35:39Z,APP-API-02,ACME\jsmith,create,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00313,2026-08-18T15:35:40Z,PRINT-01,ACME\svc_backup,read,C:\Backup\state.db,backup-agent.exe,benign,routine file activity
FILE-01346,2026-08-18T15:44:12Z,FILE-02,ACME\jsmith,create,C:\Windows\Temp\app.log,backup-agent.exe,benign,routine file activity
FILE-00518,2026-08-18T15:44:25Z,BACKUP-01,ACME\svc_backup,create,C:\Windows\Temp\app.log,robocopy.exe,benign,routine file activity
FILE-00255,2026-08-18T15:48:01Z,JUMP-01,ACME\svc_backup,create,C:\Windows\Temp\app.log,explorer.exe,benign,routine file activity
FILE-01306,2026-08-18T15:54:30Z,PRINT-01,NT AUTHORITY\SYSTEM,read,D:\Shares\Finance\budget.xlsx,explorer.exe,benign,routine file activity
FILE-00900,2026-08-18T15:58:29Z,FIN-WS-14,ACME\svc_backup,read,D:\Shares\Finance\budget.xlsx,robocopy.exe,benign,routine file activity
FILE-00599,2026-08-18T16:01:11Z,PRINT-01,NT AUTHORITY\SYSTEM,create,C:\Backup\state.db,robocopy.exe,benign,routine file activity
FILE-00060,2026-08-18T16:05:43Z,BACKUP-01,NT AUTHORITY\SYSTEM,create,D:\Shares\Finance\budget.xlsx,backup-agent.exe,benign,routine file activity
