event_id,_time,src_host,dest_host,user,protocol,result,classification,note
AUTH-00726,2026-08-18T12:04:21Z,JUMP-01,DC-01,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-01650,2026-08-18T12:08:57Z,FILE-02,FILE-02,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-01612,2026-08-18T12:11:06Z,DC-01,DC-01,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-01774,2026-08-18T12:19:39Z,BACKUP-01,DC-01,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-01045,2026-08-18T12:25:11Z,BACKUP-01,FILE-02,NT AUTHORITY\SYSTEM,SMB,success,benign,routine authentication
AUTH-01189,2026-08-18T12:31:01Z,FIN-WS-14,APP-API-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-00733,2026-08-18T12:33:00Z,APP-API-02,APP-API-02,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-01689,2026-08-18T12:33:33Z,FILE-02,DC-01,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-01550,2026-08-18T12:33:45Z,FILE-02,DC-01,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-01589,2026-08-18T12:34:05Z,BACKUP-01,FILE-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-01723,2026-08-18T12:36:48Z,FIN-WS-14,DC-01,NT AUTHORITY\SYSTEM,RDP,failure,benign,routine authentication
AUTH-01368,2026-08-18T12:37:02Z,BACKUP-01,FILE-02,NT AUTHORITY\SYSTEM,SMB,failure,benign,routine authentication
AUTH-00736,2026-08-18T12:37:47Z,FIN-WS-14,FILE-02,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-00212,2026-08-18T12:42:16Z,FIN-WS-14,DC-01,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-01042,2026-08-18T12:44:13Z,FILE-02,APP-API-02,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-00727,2026-08-18T12:44:49Z,JUMP-01,FILE-02,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-00440,2026-08-18T12:51:08Z,FILE-02,DC-01,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-01558,2026-08-18T12:52:09Z,BACKUP-01,APP-API-02,ACME\mrivera,RDP,success,benign,routine authentication
