event_id,_time,host,user,detail,classification,note
FINDING-00000,2026-08-20T23:22:28Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
FINDING-00001,2026-08-21T22:53:36Z,PRINT-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00002,2026-08-21T19:36:52Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
FINDING-00003,2026-08-22T10:03:31Z,FIN-WS-14,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00004,2026-08-23T05:42:22Z,FIN-WS-14,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00005,2026-08-18T13:17:14Z,FILE-02,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00006,2026-08-21T22:00:51Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00007,2026-08-21T01:10:50Z,PRINT-01,ACME\svc_print,purposeful background context,benign,synthetic noise
FINDING-00008,2026-08-22T00:49:58Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00009,2026-08-22T00:58:17Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00010,2026-08-19T10:01:21Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00011,2026-08-19T23:42:53Z,FILE-02,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00012,2026-08-19T13:55:03Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00013,2026-08-20T11:26:30Z,FIN-WS-14,ACME\jsmith,purposeful background context,benign,synthetic noise
FINDING-00014,2026-08-19T22:42:40Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
FINDING-00015,2026-08-19T04:35:20Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00016,2026-08-22T09:04:06Z,JUMP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
FINDING-00017,2026-08-20T20:19:22Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
FINDING-00018,2026-08-19T22:18:48Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00019,2026-08-19T16:33:28Z,FILE-02,ACME\jsmith,purposeful background context,benign,synthetic noise
FINDING-00020,2026-08-19T20:09:58Z,BACKUP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00021,2026-08-18T12:24:06Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
FINDING-00022,2026-08-19T01:42:46Z,PRINT-01,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00023,2026-08-23T06:18:36Z,BACKUP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
FINDING-00024,2026-08-19T18:19:19Z,APP-API-02,ACME\svc_print,purposeful background context,benign,synthetic noise
FINDING-00025,2026-08-22T08:37:53Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
