event_id,_time,host,user,detail,classification,note
NETWORK-00000,2026-08-22T23:25:32Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00001,2026-08-19T07:06:55Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00002,2026-08-22T19:49:40Z,JUMP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00003,2026-08-22T08:27:32Z,FIN-WS-14,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00004,2026-08-21T18:07:19Z,DC-01,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00005,2026-08-19T01:59:32Z,FILE-02,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00006,2026-08-22T02:07:16Z,JUMP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00007,2026-08-19T20:46:34Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00008,2026-08-19T17:59:06Z,FIN-WS-14,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00009,2026-08-20T23:13:10Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00010,2026-08-20T07:39:17Z,FIN-WS-14,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00011,2026-08-23T06:13:37Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00012,2026-08-19T11:54:22Z,JUMP-01,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00013,2026-08-22T00:14:48Z,JUMP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00014,2026-08-23T04:31:08Z,FIN-WS-14,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00015,2026-08-20T20:54:38Z,APP-API-02,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00016,2026-08-23T06:24:14Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00017,2026-08-20T09:21:17Z,BACKUP-01,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00018,2026-08-19T11:45:43Z,PRINT-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00019,2026-08-19T03:43:57Z,FIN-WS-14,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00020,2026-08-21T21:38:34Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00021,2026-08-22T23:38:11Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00022,2026-08-18T17:21:24Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00023,2026-08-20T00:25:20Z,APP-API-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00024,2026-08-23T10:29:16Z,PRINT-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00025,2026-08-22T03:18:21Z,BACKUP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00026,2026-08-22T08:35:38Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00027,2026-08-21T23:57:15Z,DC-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00028,2026-08-18T13:13:12Z,BACKUP-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00029,2026-08-18T22:29:58Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00030,2026-08-19T22:15:49Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00031,2026-08-20T11:00:27Z,FILE-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00032,2026-08-19T20:59:20Z,BACKUP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00033,2026-08-21T08:18:20Z,BACKUP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00034,2026-08-19T14:09:03Z,PRINT-01,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00035,2026-08-20T08:14:14Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00036,2026-08-21T00:21:01Z,BACKUP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00037,2026-08-21T19:44:00Z,BACKUP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00038,2026-08-22T18:33:48Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00039,2026-08-22T12:45:33Z,APP-API-02,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00040,2026-08-22T02:45:24Z,JUMP-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00041,2026-08-18T14:54:14Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
NETWORK-00042,2026-08-23T07:50:31Z,PRINT-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00043,2026-08-18T21:56:47Z,DC-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00044,2026-08-21T08:37:43Z,FIN-WS-14,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00045,2026-08-22T05:53:17Z,PRINT-01,ACME\mrivera,purposeful background context,benign,synthetic noise
NETWORK-00046,2026-08-20T22:38:44Z,FILE-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00047,2026-08-21T15:39:34Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
NETWORK-00048,2026-08-20T08:34:48Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00049,2026-08-18T23:18:28Z,BACKUP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
NETWORK-00050,2026-08-21T09:25:11Z,PRINT-01,ACME\jsmith,purposeful background context,benign,synthetic noise
NETWORK-00051,2026-08-19T04:37:19Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
