event_id,_time,host,user,detail,classification,note
RESPONSE-00000,2026-08-20T17:10:46Z,PRINT-01,ACME\mrivera,purposeful background context,benign,synthetic noise
RESPONSE-00001,2026-08-23T05:57:21Z,APP-API-02,ACME\mrivera,purposeful background context,benign,synthetic noise
RESPONSE-00002,2026-08-22T08:47:30Z,BACKUP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00003,2026-08-21T18:38:10Z,FIN-WS-14,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00004,2026-08-21T14:30:06Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
RESPONSE-00005,2026-08-18T20:02:11Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
RESPONSE-00006,2026-08-20T08:58:46Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
RESPONSE-00007,2026-08-22T20:47:09Z,DC-01,ACME\svc_backup,purposeful background context,benign,synthetic noise
RESPONSE-00008,2026-08-23T09:21:23Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
RESPONSE-00009,2026-08-21T23:32:01Z,JUMP-01,ACME\svc_print,purposeful background context,benign,synthetic noise
RESPONSE-00010,2026-08-19T18:25:24Z,FILE-02,ACME\mrivera,purposeful background context,benign,synthetic noise
RESPONSE-00011,2026-08-22T20:11:03Z,JUMP-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00012,2026-08-19T17:00:52Z,APP-API-02,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00013,2026-08-20T17:58:31Z,FILE-02,ACME\svc_print,purposeful background context,benign,synthetic noise
RESPONSE-00014,2026-08-21T00:33:46Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00015,2026-08-23T06:34:06Z,DC-01,NT AUTHORITY\SYSTEM,purposeful background context,benign,synthetic noise
RESPONSE-00016,2026-08-21T02:38:14Z,BACKUP-01,ACME\jsmith,purposeful background context,benign,synthetic noise
RESPONSE-00017,2026-08-22T15:53:41Z,FIN-WS-14,ACME\svc_backup,purposeful background context,benign,synthetic noise
RESPONSE-00018,2026-08-19T20:00:33Z,FILE-02,ACME\svc_backup,purposeful background context,benign,synthetic noise
