change_id,_time,host,owner,change_type,approved,related_task,classification,note
CHG-02716,2026-08-31T12:00:39Z,PATCH-01,Infrastructure,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02391,2026-08-31T12:01:33Z,APP-03,Endpoint Team,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02693,2026-08-31T12:05:55Z,APP-03,Endpoint Team,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01074,2026-08-31T12:06:53Z,APP-03,IT Operations,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01628,2026-08-31T12:11:58Z,FILE-02,Infrastructure,maintenance,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01846,2026-08-31T12:14:04Z,JUMP-01,IT Operations,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01277,2026-08-31T12:16:52Z,APP-03,Endpoint Team,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02560,2026-08-31T12:20:54Z,PATCH-01,IT Operations,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01255,2026-08-31T12:25:02Z,HR-WS-22,Endpoint Team,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01227,2026-08-31T12:25:33Z,FILE-02,Infrastructure,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-CTX-001,2026-08-31T12:26:00Z,HR-WS-22,IT Operations,inventory_update,yes,\ACME\Inventory\Daily,benign,documents known inventory task
CHG-01698,2026-08-31T12:27:58Z,JUMP-01,Endpoint Team,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01152,2026-08-31T12:32:35Z,MGMT-01,Endpoint Team,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01239,2026-08-31T12:38:38Z,DC-01,IT Operations,patch_cycle,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-02303,2026-08-31T12:39:30Z,MGMT-01,IT Operations,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02451,2026-08-31T12:41:10Z,FILE-02,IT Operations,maintenance,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-02313,2026-08-31T12:42:32Z,MGMT-01,IT Operations,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01706,2026-08-31T12:45:48Z,HR-WS-22,Infrastructure,patch_cycle,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-02133,2026-08-31T12:48:32Z,FILE-02,IT Operations,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-02663,2026-08-31T12:51:09Z,JUMP-01,Infrastructure,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-02216,2026-08-31T12:51:52Z,FILE-02,Infrastructure,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01586,2026-08-31T12:52:23Z,APP-03,IT Operations,patch_cycle,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01583,2026-08-31T12:55:19Z,APP-03,Endpoint Team,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01465,2026-08-31T13:05:50Z,PATCH-01,IT Operations,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02536,2026-08-31T13:07:05Z,HR-WS-22,Infrastructure,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01070,2026-08-31T13:09:42Z,APP-03,Endpoint Team,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02639,2026-08-31T13:11:19Z,FILE-02,IT Operations,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01754,2026-08-31T13:13:38Z,FILE-02,Endpoint Team,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01443,2026-08-31T13:13:39Z,MGMT-01,IT Operations,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02524,2026-08-31T13:17:37Z,DC-01,Infrastructure,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02667,2026-08-31T13:26:48Z,MGMT-01,IT Operations,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01075,2026-08-31T13:27:33Z,JUMP-01,IT Operations,maintenance,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01822,2026-08-31T13:32:45Z,FILE-02,Endpoint Team,patch_cycle,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01247,2026-08-31T13:34:55Z,DC-01,Endpoint Team,patch_cycle,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01590,2026-08-31T13:58:57Z,JUMP-01,Infrastructure,maintenance,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01987,2026-08-31T14:05:29Z,APP-03,Endpoint Team,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01654,2026-08-31T14:07:03Z,DC-01,Endpoint Team,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01138,2026-08-31T14:08:12Z,APP-03,Endpoint Team,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02250,2026-08-31T14:15:42Z,MGMT-01,Infrastructure,inventory_update,yes,\ACME\Patch\DailyScan,benign,routine change record
CHG-01266,2026-08-31T14:17:06Z,FILE-02,Infrastructure,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-01166,2026-08-31T14:19:00Z,PATCH-01,Endpoint Team,patch_cycle,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02330,2026-08-31T14:19:48Z,DC-01,Endpoint Team,inventory_update,yes,\ACME\Inventory\Daily,benign,routine change record
CHG-02297,2026-08-31T14:21:25Z,PATCH-01,Endpoint Team,maintenance,yes,\ACME\Inventory\Daily,benign,routine change record
