event_id,_time,host,user,action,file_path,source_process,classification,note
FILE-01415,2026-08-31T12:02:08Z,APP-03,ACME\svc_patch,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00746,2026-08-31T12:03:36Z,DC-01,NT AUTHORITY\SYSTEM,read,C:\ACME\Patch\state.json,powershell.exe,benign,routine file activity
FILE-00455,2026-08-31T12:06:17Z,MGMT-01,ACME\kpatel,modify,C:\Windows\Temp\app.log,patch-agent.exe,benign,routine file activity
FILE-00471,2026-08-31T12:08:48Z,DC-01,ACME\svc_patch,modify,C:\ProgramData\inventory.db,inventory.exe,benign,routine file activity
FILE-01502,2026-08-31T12:12:03Z,JUMP-01,ACME\kpatel,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-00797,2026-08-31T12:13:06Z,MGMT-01,ACME\jsmith,read,C:\ProgramData\inventory.db,powershell.exe,benign,routine file activity
FILE-00293,2026-08-31T12:17:41Z,DC-01,ACME\admin.ops,read,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-01481,2026-08-31T12:21:49Z,DC-01,ACME\kpatel,read,C:\ProgramData\inventory.db,inventory.exe,benign,routine file activity
FILE-01661,2026-08-31T12:25:14Z,DC-01,NT AUTHORITY\SYSTEM,read,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00369,2026-08-31T12:32:31Z,MGMT-01,ACME\admin.ops,read,C:\ACME\Patch\state.json,powershell.exe,benign,routine file activity
FILE-00061,2026-08-31T12:39:00Z,JUMP-01,ACME\svc_patch,modify,C:\ProgramData\inventory.db,inventory.exe,benign,routine file activity
FILE-00912,2026-08-31T12:44:32Z,PATCH-01,ACME\admin.ops,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-01560,2026-08-31T12:48:12Z,JUMP-01,NT AUTHORITY\SYSTEM,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00934,2026-08-31T12:51:32Z,MGMT-01,ACME\jsmith,modify,C:\ProgramData\inventory.db,powershell.exe,benign,routine file activity
FILE-00968,2026-08-31T12:52:14Z,JUMP-01,ACME\jsmith,modify,C:\Windows\Temp\app.log,patch-agent.exe,benign,routine file activity
FILE-00190,2026-08-31T13:00:40Z,PATCH-01,ACME\admin.ops,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00416,2026-08-31T13:06:04Z,PATCH-01,ACME\admin.ops,read,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-00169,2026-08-31T13:10:11Z,FILE-02,NT AUTHORITY\SYSTEM,modify,C:\Windows\Temp\app.log,patch-agent.exe,benign,routine file activity
FILE-00090,2026-08-31T13:15:56Z,PATCH-01,ACME\admin.ops,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-01614,2026-08-31T13:19:01Z,JUMP-01,ACME\admin.ops,create,C:\ACME\Patch\state.json,inventory.exe,benign,routine file activity
FILE-00429,2026-08-31T13:19:44Z,FILE-02,ACME\jsmith,read,C:\ACME\Patch\state.json,inventory.exe,benign,routine file activity
FILE-00363,2026-08-31T13:24:01Z,FILE-02,ACME\admin.ops,modify,C:\ACME\Patch\state.json,powershell.exe,benign,routine file activity
FILE-01146,2026-08-31T13:29:24Z,APP-03,ACME\kpatel,create,C:\ProgramData\inventory.db,patch-agent.exe,benign,routine file activity
FILE-00114,2026-08-31T13:31:46Z,JUMP-01,ACME\kpatel,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-01365,2026-08-31T13:35:29Z,JUMP-01,ACME\svc_patch,create,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-01135,2026-08-31T13:38:38Z,DC-01,ACME\jsmith,read,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-01647,2026-08-31T13:53:08Z,PATCH-01,ACME\admin.ops,modify,C:\ACME\Patch\state.json,inventory.exe,benign,routine file activity
FILE-01031,2026-08-31T13:55:05Z,JUMP-01,ACME\admin.ops,create,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-00225,2026-08-31T13:55:25Z,JUMP-01,ACME\svc_patch,modify,C:\Windows\Temp\app.log,patch-agent.exe,benign,routine file activity
FILE-00520,2026-08-31T13:57:26Z,APP-03,ACME\svc_patch,read,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-01187,2026-08-31T13:58:11Z,APP-03,ACME\kpatel,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-00557,2026-08-31T14:03:37Z,HR-WS-22,ACME\svc_patch,read,C:\ACME\Patch\state.json,inventory.exe,benign,routine file activity
FILE-00187,2026-08-31T14:04:50Z,APP-03,ACME\kpatel,modify,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-01296,2026-08-31T14:12:44Z,DC-01,ACME\jsmith,modify,C:\ProgramData\inventory.db,inventory.exe,benign,routine file activity
FILE-00211,2026-08-31T14:17:16Z,DC-01,ACME\admin.ops,read,C:\ProgramData\inventory.db,powershell.exe,benign,routine file activity
FILE-00719,2026-08-31T14:17:55Z,MGMT-01,NT AUTHORITY\SYSTEM,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-00401,2026-08-31T14:18:36Z,JUMP-01,ACME\svc_patch,modify,C:\ProgramData\inventory.db,inventory.exe,benign,routine file activity
FILE-00287,2026-08-31T14:18:42Z,FILE-02,ACME\kpatel,modify,C:\ProgramData\inventory.db,patch-agent.exe,benign,routine file activity
FILE-00908,2026-08-31T14:20:41Z,APP-03,ACME\jsmith,modify,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00194,2026-08-31T14:20:52Z,HR-WS-22,NT AUTHORITY\SYSTEM,read,C:\ACME\Patch\state.json,inventory.exe,benign,routine file activity
FILE-00735,2026-08-31T14:20:53Z,PATCH-01,ACME\admin.ops,create,C:\ACME\Patch\state.json,patch-agent.exe,benign,routine file activity
FILE-00181,2026-08-31T14:20:55Z,APP-03,ACME\kpatel,modify,C:\Windows\Temp\app.log,inventory.exe,benign,routine file activity
FILE-01204,2026-08-31T14:23:09Z,HR-WS-22,ACME\svc_patch,read,C:\Windows\Temp\app.log,patch-agent.exe,benign,routine file activity
FILE-01541,2026-08-31T14:24:35Z,PATCH-01,ACME\admin.ops,create,C:\Windows\Temp\app.log,powershell.exe,benign,routine file activity
FILE-INC-001,2026-08-31T14:25:52Z,HR-WS-22,ACME\kpatel,create,C:\ProgramData\WinCache\check.ps1,powershell.exe,investigate,script staged before task creation
FILE-INC-002,2026-08-31T14:28:00Z,HR-WS-22,NT AUTHORITY\SYSTEM,create,C:\ProgramData\WinCache\telemetry.dll,powershell.exe,investigate,unsigned DLL written
FILE-INC-003,2026-08-31T14:28:21Z,HR-WS-22,NT AUTHORITY\SYSTEM,create,C:\ProgramData\WinCache\net.txt,cmd.exe,investigate,discovery output
FILE-00473,2026-08-31T14:32:46Z,JUMP-01,ACME\svc_patch,modify,C:\ProgramData\inventory.db,patch-agent.exe,benign,routine file activity
FILE-BEN-001,2026-08-31T14:34:00Z,PATCH-01,ACME\svc_patch,read,C:\ACME\Patch\TelemetryCheck.ps1,powershell.exe,benign,approved patch script
