event_id,_time,host,user,parent_process_name,process_name,process_id,command_line,classification,note
PROC-00877,2026-08-31T12:03:47Z,HR-WS-22,ACME\kpatel,taskeng.exe,inventory.exe,14219,routine process,benign,routine process
PROC-00769,2026-08-31T12:06:53Z,HR-WS-22,ACME\admin.ops,services.exe,inventory.exe,3405,routine process,benign,routine process
PROC-00498,2026-08-31T12:07:34Z,APP-03,ACME\admin.ops,taskeng.exe,powershell.exe,1799,routine process,benign,routine process
PROC-00791,2026-08-31T12:08:20Z,JUMP-01,ACME\admin.ops,explorer.exe,inventory.exe,3506,routine process,benign,routine process
PROC-01733,2026-08-31T12:08:32Z,DC-01,NT AUTHORITY\SYSTEM,taskeng.exe,cmd.exe,10875,routine process,benign,routine process
PROC-01029,2026-08-31T12:10:14Z,JUMP-01,ACME\admin.ops,services.exe,cmd.exe,14851,routine process,benign,routine process
PROC-01644,2026-08-31T12:16:27Z,DC-01,ACME\kpatel,svchost.exe,inventory.exe,4219,routine process,benign,routine process
PROC-01618,2026-08-31T12:18:14Z,MGMT-01,NT AUTHORITY\SYSTEM,services.exe,patch-agent.exe,15539,routine process,benign,routine process
PROC-00046,2026-08-31T12:39:34Z,FILE-02,ACME\kpatel,taskeng.exe,inventory.exe,7137,routine process,benign,routine process
PROC-00651,2026-08-31T12:39:57Z,DC-01,NT AUTHORITY\SYSTEM,taskeng.exe,patch-agent.exe,2691,routine process,benign,routine process
PROC-01373,2026-08-31T12:49:29Z,FILE-02,NT AUTHORITY\SYSTEM,taskeng.exe,cmd.exe,11800,routine process,benign,routine process
PROC-00395,2026-08-31T12:53:18Z,DC-01,ACME\svc_patch,explorer.exe,powershell.exe,2853,routine process,benign,routine process
PROC-00482,2026-08-31T12:53:22Z,DC-01,ACME\kpatel,explorer.exe,powershell.exe,7687,routine process,benign,routine process
PROC-00872,2026-08-31T12:56:20Z,PATCH-01,NT AUTHORITY\SYSTEM,taskeng.exe,patch-agent.exe,14694,routine process,benign,routine process
PROC-01638,2026-08-31T12:59:13Z,DC-01,ACME\admin.ops,services.exe,patch-agent.exe,14094,routine process,benign,routine process
PROC-00511,2026-08-31T13:04:43Z,PATCH-01,NT AUTHORITY\SYSTEM,taskeng.exe,inventory.exe,2178,routine process,benign,routine process
PROC-00164,2026-08-31T13:08:32Z,JUMP-01,ACME\kpatel,services.exe,inventory.exe,11890,routine process,benign,routine process
PROC-00288,2026-08-31T13:09:46Z,DC-01,ACME\svc_patch,svchost.exe,cmd.exe,13773,routine process,benign,routine process
PROC-01569,2026-08-31T13:14:30Z,PATCH-01,NT AUTHORITY\SYSTEM,svchost.exe,cmd.exe,12041,routine process,benign,routine process
PROC-00201,2026-08-31T13:16:26Z,HR-WS-22,ACME\svc_patch,svchost.exe,cmd.exe,3721,routine process,benign,routine process
PROC-01428,2026-08-31T13:18:23Z,PATCH-01,ACME\kpatel,svchost.exe,cmd.exe,7699,routine process,benign,routine process
PROC-00870,2026-08-31T13:27:20Z,FILE-02,NT AUTHORITY\SYSTEM,explorer.exe,patch-agent.exe,12017,routine process,benign,routine process
PROC-00111,2026-08-31T13:37:30Z,MGMT-01,ACME\svc_patch,services.exe,inventory.exe,2269,routine process,benign,routine process
PROC-00488,2026-08-31T13:37:34Z,DC-01,ACME\jsmith,taskeng.exe,cmd.exe,15858,routine process,benign,routine process
PROC-00726,2026-08-31T13:40:07Z,PATCH-01,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,11036,routine process,benign,routine process
