event_id,_time,src_host,dest_host,user,process_name,dest_port,action,bytes_out,classification,note
NET-00374,2026-08-31T12:02:11Z,HR-WS-22,PATCH-01,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,40730,benign,routine network
NET-00121,2026-08-31T12:06:59Z,APP-03,MGMT-01,ACME\kpatel,patch-agent.exe,53,allowed,43597,benign,routine network
NET-01221,2026-08-31T12:07:32Z,MGMT-01,MGMT-01,ACME\svc_patch,inventory.exe,445,allowed,68136,benign,routine network
NET-01718,2026-08-31T12:09:27Z,DC-01,APP-03,ACME\kpatel,System,5985,allowed,56846,benign,routine network
NET-00642,2026-08-31T12:12:08Z,MGMT-01,PATCH-01,ACME\admin.ops,patch-agent.exe,443,allowed,60759,benign,routine network
NET-00882,2026-08-31T12:17:08Z,FILE-02,HR-WS-22,NT AUTHORITY\SYSTEM,patch-agent.exe,5985,allowed,77696,benign,routine network
NET-01393,2026-08-31T12:17:52Z,APP-03,PATCH-01,NT AUTHORITY\SYSTEM,patch-agent.exe,53,allowed,22932,benign,routine network
NET-00081,2026-08-31T12:20:33Z,DC-01,PATCH-01,ACME\svc_patch,System,5985,allowed,1044,benign,routine network
NET-01602,2026-08-31T12:34:24Z,MGMT-01,203.0.113.55,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,45412,benign,routine network
NET-00252,2026-08-31T12:42:44Z,PATCH-01,203.0.113.55,ACME\kpatel,patch-agent.exe,445,allowed,48749,benign,routine network
NET-01542,2026-08-31T12:46:16Z,PATCH-01,APP-03,ACME\admin.ops,inventory.exe,53,allowed,49842,benign,routine network
NET-00416,2026-08-31T12:51:49Z,HR-WS-22,DC-01,ACME\kpatel,powershell.exe,5985,allowed,38535,benign,routine network
NET-01064,2026-08-31T12:52:25Z,JUMP-01,HR-WS-22,NT AUTHORITY\SYSTEM,System,5985,allowed,71212,benign,routine network
NET-01360,2026-08-31T12:55:12Z,MGMT-01,DC-01,ACME\svc_patch,patch-agent.exe,443,allowed,11418,benign,routine network
NET-01701,2026-08-31T12:56:27Z,HR-WS-22,PATCH-01,ACME\svc_patch,powershell.exe,53,allowed,74469,benign,routine network
NET-00526,2026-08-31T13:06:33Z,PATCH-01,203.0.113.55,ACME\kpatel,powershell.exe,443,allowed,18715,benign,routine network
NET-00773,2026-08-31T13:09:04Z,PATCH-01,MGMT-01,ACME\svc_patch,powershell.exe,445,allowed,46493,benign,routine network
NET-00590,2026-08-31T13:12:50Z,APP-03,FILE-02,NT AUTHORITY\SYSTEM,System,443,allowed,57394,benign,routine network
NET-00788,2026-08-31T13:15:13Z,PATCH-01,MGMT-01,ACME\kpatel,patch-agent.exe,443,allowed,52243,benign,routine network
NET-01210,2026-08-31T13:18:55Z,FILE-02,PATCH-01,ACME\jsmith,patch-agent.exe,445,allowed,76199,benign,routine network
NET-00809,2026-08-31T13:35:39Z,JUMP-01,MGMT-01,NT AUTHORITY\SYSTEM,patch-agent.exe,53,allowed,47981,benign,routine network
