event_id,_time,host,user,action,classification,note
RESP-01154,2026-08-31T12:22:40Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01097,2026-08-31T12:23:12Z,HR-WS-22,SOC-AUTOMATION,review_alert,response,routine response
RESP-01417,2026-08-31T12:23:21Z,PATCH-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00727,2026-08-31T12:25:28Z,DC-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01185,2026-08-31T12:33:59Z,MGMT-01,SOC-AUTOMATION,query_task,response,routine response
RESP-01675,2026-08-31T12:35:35Z,APP-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-00392,2026-08-31T12:36:05Z,PATCH-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01067,2026-08-31T12:36:37Z,APP-03,SOC-AUTOMATION,query_task,response,routine response
RESP-01073,2026-08-31T12:39:34Z,DC-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01765,2026-08-31T12:40:01Z,APP-03,SOC-AUTOMATION,query_task,response,routine response
RESP-01654,2026-08-31T12:40:21Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01070,2026-08-31T12:41:58Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01141,2026-08-31T12:46:37Z,APP-03,SOC-AUTOMATION,query_task,response,routine response
RESP-00400,2026-08-31T12:51:09Z,APP-03,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01481,2026-08-31T12:56:20Z,MGMT-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-00268,2026-08-31T12:57:24Z,JUMP-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01075,2026-08-31T13:11:30Z,MGMT-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00737,2026-08-31T13:15:42Z,DC-01,SOC-AUTOMATION,query_task,response,routine response
RESP-00235,2026-08-31T13:17:05Z,PATCH-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01698,2026-08-31T13:17:05Z,FILE-02,SOC-AUTOMATION,query_task,response,routine response
RESP-01448,2026-08-31T13:17:52Z,MGMT-01,SOC-AUTOMATION,query_task,response,routine response
RESP-00987,2026-08-31T13:26:37Z,PATCH-01,SOC-AUTOMATION,query_task,response,routine response
RESP-01556,2026-08-31T13:32:36Z,FILE-02,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01362,2026-08-31T13:35:49Z,DC-01,SOC-AUTOMATION,query_task,response,routine response
RESP-01721,2026-08-31T13:36:39Z,MGMT-01,SOC-AUTOMATION,query_task,response,routine response
RESP-01793,2026-08-31T13:38:18Z,DC-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01394,2026-08-31T13:47:15Z,HR-WS-22,SOC-AUTOMATION,collect_logs,response,routine response
RESP-00549,2026-08-31T13:47:39Z,PATCH-01,SOC-AUTOMATION,query_task,response,routine response
RESP-01020,2026-08-31T13:58:40Z,APP-03,SOC-AUTOMATION,review_alert,response,routine response
RESP-00321,2026-08-31T13:59:32Z,HR-WS-22,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01221,2026-08-31T14:02:11Z,HR-WS-22,SOC-AUTOMATION,review_alert,response,routine response
RESP-00347,2026-08-31T14:06:40Z,HR-WS-22,SOC-AUTOMATION,review_alert,response,routine response
RESP-00436,2026-08-31T14:08:28Z,PATCH-01,SOC-AUTOMATION,review_alert,response,routine response
RESP-01432,2026-08-31T14:09:07Z,MGMT-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01595,2026-08-31T14:15:32Z,HR-WS-22,SOC-AUTOMATION,query_task,response,routine response
RESP-00674,2026-08-31T14:17:35Z,APP-03,SOC-AUTOMATION,query_task,response,routine response
RESP-01232,2026-08-31T14:19:58Z,HR-WS-22,SOC-AUTOMATION,review_alert,response,routine response
RESP-INC-001,2026-08-31T14:35:00Z,HR-WS-22,ACME\jsmith,scope_scheduled_task,response,review task definition creator action run-as
RESP-INC-002,2026-08-31T14:37:00Z,HR-WS-22,ACME\jsmith,disable_task,response,stop persistence from re-running
RESP-INC-003,2026-08-31T14:38:00Z,HR-WS-22,ACME\jsmith,preserve_task_xml_and_payload,response,preserve task definition and WinCache artifacts
RESP-INC-004,2026-08-31T14:40:00Z,HR-WS-22,ACME\jsmith,isolate_host,response,contain confirmed persistence
RESP-00094,2026-08-31T14:41:28Z,JUMP-01,SOC-AUTOMATION,collect_logs,response,routine response
RESP-01364,2026-08-31T14:41:32Z,DC-01,SOC-AUTOMATION,collect_logs,response,routine response
