event_id,_time,host,file_path,sha256,signature_status,publisher,classification,note
TRUST-01015,2026-08-31T12:01:39Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,2225c12e5d22657d2f52aadabeedc7bb25a9c09975124f06710045406532d52b,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01582,2026-08-31T12:02:36Z,JUMP-01,C:\ACME\Inventory\inventory.exe,2c595d7871a81a2eb11a2adc2d2088027d34057c0fef0fde600d0d89955d5559,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01489,2026-08-31T12:03:36Z,PATCH-01,C:\ACME\Inventory\inventory.exe,e3a10ce79cde6ef47cca0c45e55dfa7d885b0d9b64808a85bdb534fa13d460de,signed,Microsoft Windows,benign,routine trust context
TRUST-01458,2026-08-31T12:09:38Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,604c690f7c114653604e0083b8727875c03dd340b31ff1ea8028a49908baa3a7,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00066,2026-08-31T12:20:06Z,DC-01,C:\Windows\System32\cleanmgr.exe,e0909b56674e56607f49186cb928ba1f0f4aa1de4d622c24719ca0aedab9b1ad,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01281,2026-08-31T12:21:55Z,APP-03,C:\ACME\Inventory\inventory.exe,cfe8cc4a7d816f49fae40b8175b47fdad2d9a14a8041b53680979fdff59216ed,signed,Microsoft Windows,benign,routine trust context
TRUST-00514,2026-08-31T12:24:10Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,16e30210b241c984d4ce4f96b32f3758f7f5243ddc6d4641553ab9b916a2cebe,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00361,2026-08-31T12:28:03Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,ccf90b33efd0ddedbac01136d65f6f20282e46d23c68e05146730d2845131d20,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00382,2026-08-31T12:29:30Z,PATCH-01,C:\ACME\Inventory\inventory.exe,fa63a324900d9737173a706dfa35c87d3b4cdc3d4d08a2b64e7d6123cc5a8f05,signed,ACME IT Automation,benign,routine trust context
TRUST-01441,2026-08-31T12:29:42Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,b46ba771adc8885bca0a438e38a282f5848f46089045bfcd98fe253a85fd04e8,signed,ACME IT Automation,benign,routine trust context
TRUST-01528,2026-08-31T12:40:04Z,FILE-02,C:\Windows\System32\cleanmgr.exe,b771a9bb253242af4f1809dce53da0ff89120c862eee20ca6d164dc24a9c919f,signed,Microsoft Windows,benign,routine trust context
TRUST-00906,2026-08-31T12:40:05Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,5cf9ec6b92d15f6ed4b3920565eb155f08ea2bb10fe23e2d97bd281d7551eba7,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01465,2026-08-31T12:45:42Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,c6ffc40257753242a41b47753d6e66d52fe2e2695eff1531b9dfb2b68d5638b9,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00999,2026-08-31T12:53:38Z,HR-WS-22,C:\ACME\Inventory\inventory.exe,572a5e64a49286afca1489d968869ca22eee23150ae63aa1f4ee17534d01487f,signed,Microsoft Windows,benign,routine trust context
TRUST-01227,2026-08-31T13:00:20Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,df2cea06fb3160a55ecc46268b49b7e5b8806f2e0b87af20fe9ef1efd76f43cf,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01185,2026-08-31T13:04:50Z,DC-01,C:\Windows\System32\cleanmgr.exe,0e03d137a5bf3e1677b047b68f8f93d5a6508313067cf3bcae693f18d14dd4f9,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00599,2026-08-31T13:09:19Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,75dacd911d846885992305e8db22870eaccc9311e26b4428b1128c17e2326bc9,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00918,2026-08-31T13:09:53Z,DC-01,C:\Windows\System32\cleanmgr.exe,d8f34c66d72072cea51a0465be808ad4d00f6ba285574949c6fbe20fc6ce241e,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01184,2026-08-31T13:16:03Z,FILE-02,C:\Windows\System32\cleanmgr.exe,3aeb512602a2f28a9ac1273f976ae3be9249f485edf30f9d440bebc001137a6a,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01737,2026-08-31T13:18:03Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,86bad39fbc166336b5050fe691dc190ef671a1e977e47e565c6ef66fe5c8af4a,signed,ACME IT Automation,benign,routine trust context
