asset_id,host,role,owner,criticality,approved_task_roots,note
AST-00001,HR-WS-22,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00002,MGMT-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00003,APP-03,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00004,FILE-02,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00005,JUMP-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00006,DC-01,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00007,PATCH-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00008,HR-WS-22,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00009,MGMT-01,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00010,APP-03,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00011,FILE-02,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00012,JUMP-01,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00013,DC-01,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00014,PATCH-01,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00015,HR-WS-22,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00016,MGMT-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00017,APP-03,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00018,FILE-02,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00019,JUMP-01,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00020,DC-01,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00021,PATCH-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
