detection_id,_time,severity,title,host,user,classification,note
ATD-009-01645,2026-08-31T12:00:39Z,medium,Scheduled Task Review,DC-01,ACME\jsmith,context,background detection
ATD-009-01352,2026-08-31T12:01:04Z,low,Administrative Change Review,APP-03,ACME\kpatel,context,background detection
ATD-009-00897,2026-08-31T12:19:35Z,low,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00883,2026-08-31T12:23:44Z,low,Administrative Change Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00606,2026-08-31T12:26:46Z,low,Scheduled Task Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01334,2026-08-31T12:33:05Z,low,Administrative Change Review,HR-WS-22,ACME\admin.ops,context,background detection
ATD-009-01107,2026-08-31T12:33:32Z,medium,Scheduled Task Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-01317,2026-08-31T12:35:08Z,low,Scheduled Task Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00234,2026-08-31T12:35:58Z,low,Administrative Change Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-01166,2026-08-31T12:37:12Z,medium,PowerShell Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-01298,2026-08-31T12:46:37Z,medium,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00632,2026-08-31T12:51:08Z,medium,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-01884,2026-08-31T12:52:09Z,medium,PowerShell Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-01046,2026-08-31T12:53:08Z,low,Administrative Change Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00900,2026-08-31T13:04:14Z,medium,Administrative Change Review,MGMT-01,ACME\admin.ops,context,background detection
ATD-009-00860,2026-08-31T13:05:54Z,medium,PowerShell Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00235,2026-08-31T13:07:31Z,low,Scheduled Task Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01655,2026-08-31T13:08:12Z,low,Administrative Change Review,DC-01,ACME\admin.ops,context,background detection
ATD-009-00552,2026-08-31T13:10:05Z,low,Scheduled Task Review,HR-WS-22,ACME\kpatel,context,background detection
ATD-009-01001,2026-08-31T13:17:27Z,medium,PowerShell Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00878,2026-08-31T13:18:34Z,low,PowerShell Review,HR-WS-22,ACME\jsmith,context,background detection
ATD-009-01382,2026-08-31T13:22:39Z,medium,PowerShell Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00432,2026-08-31T13:26:21Z,medium,PowerShell Review,PATCH-01,ACME\svc_patch,context,background detection
ATD-009-01597,2026-08-31T13:29:12Z,low,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-01232,2026-08-31T13:32:54Z,medium,PowerShell Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00857,2026-08-31T13:33:09Z,low,Administrative Change Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-01825,2026-08-31T13:38:57Z,medium,PowerShell Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01006,2026-08-31T13:39:48Z,low,PowerShell Review,FILE-02,ACME\admin.ops,context,background detection
ATD-009-00830,2026-08-31T13:40:36Z,low,Administrative Change Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01319,2026-08-31T13:41:58Z,medium,PowerShell Review,JUMP-01,ACME\kpatel,context,background detection
ATD-009-01477,2026-08-31T13:42:14Z,medium,PowerShell Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-00316,2026-08-31T13:45:44Z,low,PowerShell Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01677,2026-08-31T13:55:48Z,low,Administrative Change Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01530,2026-08-31T14:00:15Z,low,Administrative Change Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01778,2026-08-31T14:18:50Z,low,Scheduled Task Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-01795,2026-08-31T14:20:22Z,medium,PowerShell Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01872,2026-08-31T14:22:16Z,low,PowerShell Review,DC-01,ACME\kpatel,context,background detection
ATD-009-00816,2026-08-31T14:25:48Z,medium,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-001,2026-08-31T14:26:00Z,medium,New Scheduled Task Created,HR-WS-22,ACME\kpatel,investigate,Microsoft-looking task path
ATD-009-002,2026-08-31T14:26:14Z,high,Scheduled Task Launches PowerShell,HR-WS-22,NT AUTHORITY\SYSTEM,investigate,hidden PowerShell from ProgramData
ATD-009-003,2026-08-31T14:28:00Z,high,Unsigned DLL Written to ProgramData,HR-WS-22,NT AUTHORITY\SYSTEM,investigate,payload follows task execution
ATD-009-00386,2026-08-31T14:32:10Z,low,Administrative Change Review,HR-WS-22,ACME\kpatel,context,background detection
ATD-009-004,2026-08-31T14:34:00Z,medium,Similar Task Name on PATCH-01,PATCH-01,ACME\svc_patch,benign,approved patch automation
ATD-009-00492,2026-08-31T14:34:14Z,low,Scheduled Task Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-00510,2026-08-31T14:34:22Z,low,Scheduled Task Review,DC-01,ACME\kpatel,context,background detection
ATD-009-00785,2026-08-31T14:36:34Z,medium,Administrative Change Review,HR-WS-22,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-005,2026-08-31T14:37:00Z,medium,Task Disabled by Responder,HR-WS-22,ACME\jsmith,response,IR action
ATD-009-006,2026-08-31T14:41:00Z,high,Persistence Scope Review,HR-WS-22,ACME\kpatel,decision,persistence confirmed on HR-WS-22; propagation not proven
ATD-009-01881,2026-08-31T14:44:49Z,medium,Administrative Change Review,PATCH-01,ACME\jsmith,context,background detection
ATD-009-00442,2026-08-31T14:46:25Z,low,PowerShell Review,FILE-02,ACME\kpatel,context,background detection
ATD-009-00546,2026-08-31T14:47:05Z,low,Scheduled Task Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-00840,2026-08-31T14:48:12Z,low,Scheduled Task Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-01817,2026-08-31T14:51:15Z,low,Scheduled Task Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01026,2026-08-31T14:52:44Z,low,Scheduled Task Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-01551,2026-08-31T14:53:31Z,medium,PowerShell Review,JUMP-01,ACME\kpatel,context,background detection
ATD-009-00436,2026-08-31T14:58:03Z,low,Scheduled Task Review,JUMP-01,ACME\kpatel,context,background detection
ATD-009-00461,2026-08-31T14:58:13Z,low,PowerShell Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01579,2026-08-31T15:02:01Z,medium,Scheduled Task Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00733,2026-08-31T15:14:01Z,medium,PowerShell Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-01673,2026-08-31T15:17:18Z,low,Scheduled Task Review,APP-03,ACME\jsmith,context,background detection
ATD-009-01208,2026-08-31T15:19:37Z,medium,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00685,2026-08-31T15:25:45Z,medium,Scheduled Task Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00951,2026-08-31T15:29:06Z,low,Scheduled Task Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00770,2026-08-31T15:47:47Z,low,PowerShell Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01474,2026-08-31T15:59:11Z,low,Scheduled Task Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00138,2026-08-31T16:01:01Z,medium,PowerShell Review,HR-WS-22,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01056,2026-08-31T16:06:06Z,low,Scheduled Task Review,DC-01,ACME\admin.ops,context,background detection
ATD-009-01489,2026-08-31T16:11:10Z,medium,Scheduled Task Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-01242,2026-08-31T16:11:13Z,medium,Administrative Change Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-00167,2026-08-31T16:11:46Z,low,PowerShell Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-00539,2026-08-31T16:14:59Z,medium,Administrative Change Review,FILE-02,ACME\jsmith,context,background detection
ATD-009-00161,2026-08-31T16:19:51Z,low,Scheduled Task Review,DC-01,ACME\admin.ops,context,background detection
ATD-009-01041,2026-08-31T16:28:16Z,low,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-01693,2026-08-31T16:33:16Z,low,Administrative Change Review,APP-03,ACME\jsmith,context,background detection
ATD-009-00219,2026-08-31T16:35:36Z,medium,PowerShell Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01556,2026-08-31T16:37:03Z,low,PowerShell Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-00522,2026-08-31T16:47:11Z,low,PowerShell Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00745,2026-08-31T17:06:09Z,medium,Administrative Change Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01112,2026-08-31T17:10:03Z,medium,Administrative Change Review,DC-01,ACME\svc_patch,context,background detection
