event_id,_time,host,user,task_name,action,task_command,run_as,classification,note
TASK-00799,2026-08-31T12:10:37Z,DC-01,NT AUTHORITY\SYSTEM,\ACME\Patch\DailyScan,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00196,2026-08-31T12:13:16Z,FILE-02,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01553,2026-08-31T12:14:37Z,FILE-02,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,created,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00030,2026-08-31T12:16:37Z,JUMP-01,ACME\jsmith,\ACME\Patch\DailyScan,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00963,2026-08-31T12:25:19Z,DC-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01654,2026-08-31T12:33:08Z,FILE-02,ACME\jsmith,\ACME\Patch\DailyScan,started,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00849,2026-08-31T12:36:54Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01076,2026-08-31T12:39:05Z,JUMP-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,created,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01062,2026-08-31T12:43:39Z,FILE-02,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00315,2026-08-31T12:45:56Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01001,2026-08-31T12:46:25Z,JUMP-01,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,completed,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00352,2026-08-31T12:50:08Z,PATCH-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01612,2026-08-31T12:50:54Z,APP-03,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,created,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00132,2026-08-31T13:01:10Z,APP-03,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01425,2026-08-31T13:01:36Z,MGMT-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,updated,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00777,2026-08-31T13:07:33Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\DiskCleanup,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00482,2026-08-31T13:08:08Z,DC-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01517,2026-08-31T13:08:57Z,MGMT-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01402,2026-08-31T13:10:44Z,APP-03,ACME\kpatel,\ACME\Patch\DailyScan,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01478,2026-08-31T13:16:12Z,HR-WS-22,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01214,2026-08-31T13:25:35Z,HR-WS-22,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00793,2026-08-31T13:26:32Z,MGMT-01,ACME\svc_patch,\ACME\Patch\DailyScan,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00503,2026-08-31T13:27:27Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01134,2026-08-31T13:27:56Z,FILE-02,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,created,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
