change_id,_time,host,owner,change_type,approved,package,deployment_source,classification,note
CHG-01229,2026-09-07T12:30:40Z,APP-06,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01380,2026-09-07T12:31:52Z,SCCM-01,Endpoint Team,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01320,2026-09-07T12:47:15Z,APP-06,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01275,2026-09-07T12:53:47Z,DC-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01282,2026-09-07T13:03:35Z,OPS-WS-08,Endpoint Team,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01138,2026-09-07T13:09:52Z,OPS-WS-08,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01005,2026-09-07T13:12:01Z,JUMP-01,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01071,2026-09-07T13:14:40Z,DC-01,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-CTX-001,2026-09-07T13:18:00Z,ENG-WS-17,Endpoint Team,inventory_cycle,yes,Monthly endpoint inventory,SCCM-01,benign,documents routine management activity
CHG-01126,2026-09-07T13:21:52Z,OPS-WS-08,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01454,2026-09-07T13:28:16Z,FILE-03,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01259,2026-09-07T13:51:45Z,APP-06,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01027,2026-09-07T13:58:02Z,DC-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01481,2026-09-07T14:02:05Z,FILE-03,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
