detection_id,_time,severity,title,host,user,classification,note
ATD-010-00538,2026-09-07T12:33:47Z,medium,Service Change Review,DC-01,ACME\adavis,context,background detection
ATD-010-00199,2026-09-07T12:34:37Z,low,Service Change Review,DC-01,ACME\adavis,context,background detection
ATD-010-00266,2026-09-07T12:39:15Z,medium,Software Deployment Review,DC-01,ACME\jsmith,context,background detection
ATD-010-00512,2026-09-07T12:41:35Z,low,Service Change Review,SCCM-01,ACME\svc_sccm,context,background detection
ATD-010-00221,2026-09-07T12:52:59Z,medium,Software Deployment Review,OPS-WS-08,ACME\svc_sccm,context,background detection
ATD-010-00111,2026-09-07T12:54:35Z,low,Service Change Review,JUMP-01,ACME\mturner,context,background detection
ATD-010-00436,2026-09-07T12:56:20Z,medium,Service Change Review,OPS-WS-08,ACME\mturner,context,background detection
ATD-010-00119,2026-09-07T13:02:50Z,medium,Service Change Review,OPS-WS-08,ACME\mturner,context,background detection
ATD-010-00316,2026-09-07T13:19:23Z,low,Software Deployment Review,JUMP-01,ACME\svc_sccm,context,background detection
ATD-010-00446,2026-09-07T13:55:31Z,medium,Unsigned Binary Review,ENG-WS-17,ACME\adavis,context,background detection
ATD-010-00456,2026-09-07T13:56:40Z,medium,Unsigned Binary Review,ENG-WS-17,ACME\mturner,context,background detection
ATD-010-00183,2026-09-07T14:00:35Z,medium,Unsigned Binary Review,OPS-WS-08,ACME\adavis,context,background detection
ATD-010-001,2026-09-07T14:18:00Z,medium,New Auto-Start Service Installed,ENG-WS-17,ACME\adavis,investigate,support-sounding service installed
ATD-010-002,2026-09-07T14:18:12Z,high,Unsigned Service Binary Started,ENG-WS-17,NT AUTHORITY\SYSTEM,investigate,service starts from ProgramData
ATD-010-00377,2026-09-07T14:18:16Z,low,Service Change Review,JUMP-01,ACME\adavis,context,background detection
ATD-010-003,2026-09-07T14:18:41Z,high,New Service Opens External TLS,ENG-WS-17,NT AUTHORITY\SYSTEM,investigate,supportsvc.exe connects externally
ATD-010-004,2026-09-07T14:25:00Z,medium,Endpoint Management Installs Service,APP-06,ACME\svc_sccm,benign,approved SCCM deployment
ATD-010-00215,2026-09-07T14:26:17Z,low,Unsigned Binary Review,FILE-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-005,2026-09-07T14:32:00Z,medium,Responder Disables Service,ENG-WS-17,ACME\jsmith,response,service preserved then disabled
ATD-010-006,2026-09-07T14:35:00Z,high,Service Persistence Scope Review,ENG-WS-17,ACME\adavis,decision,persistence confirmed on ENG-WS-17; propagation unproven
ATD-010-00135,2026-09-07T14:39:55Z,medium,Service Change Review,JUMP-01,ACME\svc_sccm,context,background detection
ATD-010-00548,2026-09-07T14:42:29Z,medium,Service Change Review,JUMP-01,ACME\svc_sccm,context,background detection
ATD-010-00437,2026-09-07T14:51:02Z,medium,Service Change Review,APP-06,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00579,2026-09-07T14:51:31Z,low,Service Change Review,FILE-03,ACME\svc_sccm,context,background detection
ATD-010-00433,2026-09-07T14:53:12Z,low,Software Deployment Review,ENG-WS-17,ACME\mturner,context,background detection
ATD-010-00346,2026-09-07T15:34:06Z,medium,Software Deployment Review,FILE-03,ACME\jsmith,context,background detection
ATD-010-00577,2026-09-07T15:38:59Z,low,Unsigned Binary Review,DC-01,ACME\jsmith,context,background detection
ATD-010-00363,2026-09-07T15:43:22Z,medium,Software Deployment Review,APP-06,ACME\jsmith,context,background detection
ATD-010-00185,2026-09-07T15:43:31Z,medium,Software Deployment Review,SCCM-01,ACME\adavis,context,background detection
ATD-010-00466,2026-09-07T15:50:43Z,low,Software Deployment Review,OPS-WS-08,ACME\svc_sccm,context,background detection
ATD-010-00591,2026-09-07T16:01:18Z,medium,Service Change Review,APP-06,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00554,2026-09-07T16:01:38Z,medium,Service Change Review,APP-06,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00402,2026-09-07T16:07:16Z,medium,Unsigned Binary Review,DC-01,ACME\svc_sccm,context,background detection
ATD-010-00304,2026-09-07T16:22:50Z,low,Software Deployment Review,ENG-WS-17,ACME\svc_sccm,context,background detection
ATD-010-00151,2026-09-07T16:37:34Z,medium,Service Change Review,ENG-WS-17,ACME\mturner,context,background detection
ATD-010-00410,2026-09-07T16:39:21Z,medium,Software Deployment Review,ENG-WS-17,ACME\adavis,context,background detection
ATD-010-00252,2026-09-07T16:42:44Z,low,Unsigned Binary Review,JUMP-01,ACME\svc_sccm,context,background detection
ATD-010-00311,2026-09-07T16:56:01Z,medium,Service Change Review,JUMP-01,ACME\mturner,context,background detection
ATD-010-00341,2026-09-07T16:57:02Z,low,Unsigned Binary Review,APP-06,ACME\mturner,context,background detection
ATD-010-00588,2026-09-07T17:17:03Z,medium,Unsigned Binary Review,FILE-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00356,2026-09-07T17:36:41Z,medium,Service Change Review,OPS-WS-08,ACME\adavis,context,background detection
ATD-010-00535,2026-09-07T17:43:22Z,low,Software Deployment Review,OPS-WS-08,ACME\adavis,context,background detection
ATD-010-00249,2026-09-07T17:46:39Z,low,Unsigned Binary Review,ENG-WS-17,ACME\jsmith,context,background detection
ATD-010-00334,2026-09-07T17:53:36Z,low,Software Deployment Review,JUMP-01,ACME\mturner,context,background detection
ATD-010-00576,2026-09-07T18:19:44Z,low,Software Deployment Review,OPS-WS-08,ACME\jsmith,context,background detection
ATD-010-00203,2026-09-07T18:20:30Z,medium,Service Change Review,APP-06,ACME\mturner,context,background detection
ATD-010-00427,2026-09-07T18:43:06Z,low,Service Change Review,ENG-WS-17,ACME\svc_sccm,context,background detection
ATD-010-00594,2026-09-07T18:50:42Z,medium,Unsigned Binary Review,JUMP-01,ACME\jsmith,context,background detection
ATD-010-00125,2026-09-07T18:52:32Z,medium,Unsigned Binary Review,OPS-WS-08,ACME\jsmith,context,background detection
ATD-010-00496,2026-09-07T18:55:32Z,medium,Unsigned Binary Review,FILE-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00350,2026-09-07T19:02:53Z,low,Service Change Review,APP-06,ACME\jsmith,context,background detection
ATD-010-00423,2026-09-07T19:05:42Z,low,Service Change Review,FILE-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00171,2026-09-07T19:17:51Z,medium,Software Deployment Review,DC-01,ACME\jsmith,context,background detection
ATD-010-00381,2026-09-07T19:56:20Z,medium,Service Change Review,SCCM-01,ACME\jsmith,context,background detection
ATD-010-00110,2026-09-07T20:02:43Z,low,Service Change Review,ENG-WS-17,NT AUTHORITY\SYSTEM,context,background detection
ATD-010-00362,2026-09-07T20:13:24Z,low,Unsigned Binary Review,ENG-WS-17,ACME\svc_sccm,context,background detection
ATD-010-00375,2026-09-07T20:51:58Z,medium,Software Deployment Review,SCCM-01,ACME\svc_sccm,context,background detection
ATD-010-00458,2026-09-07T21:23:28Z,medium,Unsigned Binary Review,APP-06,ACME\mturner,context,background detection
ATD-010-00272,2026-09-07T21:34:12Z,medium,Service Change Review,APP-06,ACME\svc_sccm,context,background detection
ATD-010-00179,2026-09-07T21:50:32Z,low,Software Deployment Review,APP-06,ACME\jsmith,context,background detection
ATD-010-00308,2026-09-07T21:59:14Z,medium,Software Deployment Review,FILE-03,ACME\adavis,context,background detection
