event_id,_time,host,user,parent_process_name,process_name,command_line,classification,note
PROC-00289,2026-09-07T12:02:58Z,ENG-WS-17,ACME\mturner,svchost.exe,inventorysvc.exe,routine process execution,benign,routine process
PROC-00352,2026-09-07T12:03:21Z,ENG-WS-17,NT AUTHORITY\SYSTEM,svchost.exe,cmd.exe,routine process execution,benign,routine process
PROC-00155,2026-09-07T12:05:23Z,DC-01,NT AUTHORITY\SYSTEM,svchost.exe,cmd.exe,routine process execution,benign,routine process
PROC-00436,2026-09-07T12:51:45Z,FILE-03,ACME\svc_sccm,services.exe,inventorysvc.exe,routine process execution,benign,routine process
PROC-00367,2026-09-07T13:00:18Z,JUMP-01,ACME\mturner,explorer.exe,cmd.exe,routine process execution,benign,routine process
PROC-00279,2026-09-07T13:32:36Z,ENG-WS-17,ACME\mturner,services.exe,inventorysvc.exe,routine process execution,benign,routine process
PROC-00109,2026-09-07T13:40:49Z,OPS-WS-08,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,routine process execution,benign,routine process
PROC-00220,2026-09-07T13:52:59Z,JUMP-01,ACME\jsmith,services.exe,msiexec.exe,routine process execution,benign,routine process
PROC-00044,2026-09-07T14:07:01Z,JUMP-01,ACME\svc_sccm,services.exe,inventorysvc.exe,routine process execution,benign,routine process
PROC-00246,2026-09-07T14:15:35Z,FILE-03,ACME\adavis,explorer.exe,powershell.exe,routine process execution,benign,routine process
PROC-INC-001,2026-09-07T14:17:42Z,ENG-WS-17,ACME\adavis,powershell.exe,sc.exe,"sc.exe create WinSupportSvc binPath= ""C:\ProgramData\WinSupport\supportsvc.exe -service"" start= auto obj= LocalSystem",investigate,user creates service
PROC-INC-002,2026-09-07T14:18:12Z,ENG-WS-17,NT AUTHORITY\SYSTEM,services.exe,supportsvc.exe,C:\ProgramData\WinSupport\supportsvc.exe -service,investigate,service binary launched by SCM
PROC-INC-003,2026-09-07T14:18:28Z,ENG-WS-17,NT AUTHORITY\SYSTEM,supportsvc.exe,powershell.exe,powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\ProgramData\WinSupport\collect.ps1,investigate,service launches follow-on PowerShell
PROC-INC-004,2026-09-07T14:18:55Z,ENG-WS-17,NT AUTHORITY\SYSTEM,powershell.exe,cmd.exe,cmd.exe /c whoami /all > C:\ProgramData\WinSupport\who.txt,investigate,identity discovery
PROC-BEN-001,2026-09-07T14:24:42Z,APP-06,ACME\svc_sccm,CcmExec.exe,msiexec.exe,msiexec.exe /i ACME-Support-Agent-4.2.msi /qn,benign,SCCM starts approved installer
PROC-00291,2026-09-07T14:25:10Z,DC-01,ACME\jsmith,CcmExec.exe,inventorysvc.exe,routine process execution,benign,routine process
