event_id,_time,host,actor,service_name,display_name,action,image_path,start_type,service_account,classification,note
SVC-00295,2026-09-07T12:16:43Z,ENG-WS-17,ACME\adavis,WinDefend,Windows Defender,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00300,2026-09-07T12:23:26Z,FILE-03,ACME\jsmith,ACMEInventory,Windows Defender,stopped,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00487,2026-09-07T12:29:13Z,DC-01,ACME\adavis,Spooler,Windows Defender,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00246,2026-09-07T12:35:26Z,DC-01,NT AUTHORITY\SYSTEM,ACMEInventory,SMS Agent Host,queried,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00183,2026-09-07T12:46:38Z,JUMP-01,ACME\jsmith,WinDefend,SMS Agent Host,queried,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00443,2026-09-07T12:48:24Z,DC-01,NT AUTHORITY\SYSTEM,CcmExec,SMS Agent Host,stopped,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00150,2026-09-07T12:56:15Z,SCCM-01,ACME\svc_sccm,WinDefend,Windows Defender,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00269,2026-09-07T13:01:54Z,ENG-WS-17,NT AUTHORITY\SYSTEM,WinDefend,Windows Defender,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00007,2026-09-07T13:15:32Z,JUMP-01,NT AUTHORITY\SYSTEM,CcmExec,Windows Defender,configuration_read,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00013,2026-09-07T13:25:46Z,SCCM-01,ACME\jsmith,CcmExec,Windows Defender,queried,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00341,2026-09-07T13:30:50Z,DC-01,ACME\mturner,ACMEInventory,ACME Inventory,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
