event_id,_time,host,file_path,sha256,signature_status,publisher,reputation,classification,note
TRUST-00461,2026-09-07T12:33:52Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,f32533aee9c1153c1da1203fc9db9a499fe95380f3a9559ab773d10853c145ce,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00028,2026-09-07T12:46:26Z,DC-01,C:\Windows\System32\svchost.exe,54194598347c0fbec210ba101e88c31fed52f0403aba7c8aa21a95806f718f2a,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00327,2026-09-07T13:01:30Z,APP-06,C:\Windows\System32\svchost.exe,c7afea3dca2c972c5fc095daddb7379cfff854932e4cd8a6437c61d010ee95f2,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00473,2026-09-07T13:07:16Z,APP-06,C:\Program Files\ACME\Inventory\inventorysvc.exe,1afc51b87508d49ff6bf83c483077b79a90ab4cbbc59402127d8376cae88cd26,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00273,2026-09-07T13:18:43Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,513f999b931f8626d4b75bbf2d34ffc451aecdba1975e0561c8acb7cde9cfc51,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00330,2026-09-07T13:37:19Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,ed24325e24b249e4f3d16786ffdccfeda72fb2d31eb3339108f22ed9776346ec,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00416,2026-09-07T13:47:05Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,c6f87311876104dbe2d8ebdf167ec254369bfa474262ebd9706d1febde4e3efd,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00246,2026-09-07T13:52:29Z,JUMP-01,C:\Windows\System32\svchost.exe,67dbf8c1a13cece7e6ab099850c20bcf91e600bdcb943f8567fccff326c420f8,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-CTX-001,2026-09-07T13:55:56Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,24a2dbaf0aea9ea7c60a4a03413b0a692d79ba131e477965828a48ef8f88c981,signed,Microsoft Corporation,approved,benign,known SCCM client
TRUST-00465,2026-09-07T14:06:48Z,FILE-03,C:\Program Files\ACME\Inventory\inventorysvc.exe,7e1b0629aa363009fd5337079d2a4bfe19010d6d453e5a1a71e8730ed24f3353,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-INC-001,2026-09-07T14:17:26Z,ENG-WS-17,C:\ProgramData\WinSupport\supportsvc.exe,94db7a82a0fbb2c44a12c73bfe19e6beab39ac0bba70121951f54474641f666a,unsigned,,unknown,investigate,not approved internal software
TRUST-INC-002,2026-09-07T14:17:31Z,ENG-WS-17,C:\ProgramData\WinSupport\collect.ps1,5270940cb20eb099021742273dbec611cb1ee8b37ab4b73a20e15763ff63cbba,unsigned,,unknown,investigate,not approved automation
TRUST-00009,2026-09-07T14:19:47Z,OPS-WS-08,C:\Windows\System32\svchost.exe,da117709e7ac56d84b89697fd1d480ba48a318254d6c23801227130c23a75a20,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00211,2026-09-07T14:21:53Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,d021f2d68da85c71106ecfba57ad5a6511631132bd7a392f5292ed1e27190c65,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-BEN-001,2026-09-07T14:24:36Z,APP-06,C:\Program Files\ACME\Support\agent.exe,28db45e52ab3e2b299fde3bc6d02ffd64386d3cc1df8190d280c2eb335992e30,trusted_internal,ACME IT Automation,approved,benign,approved endpoint support agent
