event_id,_time,host,user,action,file_path,source_process,classification,note
FILE-00061,2026-09-07T12:07:08Z,APP-06,ACME\adavis,modify,C:\Program Files\ACME\Inventory\state.db,CcmExec.exe,benign,routine file activity
FILE-00367,2026-09-07T12:42:42Z,JUMP-01,ACME\jsmith,create,C:\Program Files\ACME\Inventory\state.db,powershell.exe,benign,routine file activity
FILE-00092,2026-09-07T13:05:32Z,OPS-WS-08,ACME\svc_sccm,create,C:\Windows\CCM\Logs\AppEnforce.log,CcmExec.exe,benign,routine file activity
FILE-00359,2026-09-07T13:07:19Z,JUMP-01,NT AUTHORITY\SYSTEM,read,C:\Program Files\ACME\Inventory\state.db,inventorysvc.exe,benign,routine file activity
FILE-00434,2026-09-07T13:21:35Z,SCCM-01,ACME\svc_sccm,create,C:\Windows\Temp\setup.log,msiexec.exe,benign,routine file activity
FILE-00097,2026-09-07T13:30:09Z,DC-01,ACME\adavis,read,C:\Windows\CCM\Logs\AppEnforce.log,CcmExec.exe,benign,routine file activity
FILE-00094,2026-09-07T13:31:37Z,JUMP-01,ACME\mturner,modify,C:\Program Files\ACME\Inventory\state.db,inventorysvc.exe,benign,routine file activity
FILE-00476,2026-09-07T13:54:09Z,ENG-WS-17,ACME\mturner,modify,C:\Windows\CCM\Logs\AppEnforce.log,CcmExec.exe,benign,routine file activity
FILE-00285,2026-09-07T13:58:36Z,OPS-WS-08,ACME\mturner,create,C:\Windows\Temp\setup.log,CcmExec.exe,benign,routine file activity
FILE-00180,2026-09-07T14:00:00Z,OPS-WS-08,ACME\jsmith,read,C:\Windows\Temp\setup.log,msiexec.exe,benign,routine file activity
FILE-00344,2026-09-07T14:08:52Z,SCCM-01,ACME\mturner,create,C:\Windows\Temp\setup.log,CcmExec.exe,benign,routine file activity
FILE-00273,2026-09-07T14:12:33Z,DC-01,ACME\jsmith,read,C:\Windows\Temp\setup.log,powershell.exe,benign,routine file activity
FILE-00339,2026-09-07T14:12:57Z,APP-06,ACME\adavis,modify,C:\Windows\CCM\Logs\AppEnforce.log,inventorysvc.exe,benign,routine file activity
FILE-INC-001,2026-09-07T14:17:23Z,ENG-WS-17,ACME\adavis,create,C:\ProgramData\WinSupport\supportsvc.exe,powershell.exe,investigate,service binary staged before creation
FILE-INC-002,2026-09-07T14:17:29Z,ENG-WS-17,ACME\adavis,create,C:\ProgramData\WinSupport\collect.ps1,powershell.exe,investigate,follow-on script staged
FILE-INC-003,2026-09-07T14:18:56Z,ENG-WS-17,NT AUTHORITY\SYSTEM,create,C:\ProgramData\WinSupport\who.txt,cmd.exe,investigate,discovery output
FILE-BEN-001,2026-09-07T14:24:35Z,APP-06,ACME\svc_sccm,create,C:\Program Files\ACME\Support\agent.exe,msiexec.exe,benign,approved MSI installs signed service binary
FILE-RESP-001,2026-09-07T14:30:20Z,ENG-WS-17,ACME\jsmith,read,C:\ProgramData\WinSupport\supportsvc.exe,powershell.exe,response,responder hashes service binary
FILE-00338,2026-09-07T15:06:41Z,SCCM-01,ACME\mturner,create,C:\Program Files\ACME\Inventory\state.db,msiexec.exe,benign,routine file activity
FILE-00093,2026-09-07T15:08:58Z,ENG-WS-17,ACME\mturner,read,C:\Windows\CCM\Logs\AppEnforce.log,msiexec.exe,benign,routine file activity
FILE-00297,2026-09-07T15:23:52Z,APP-06,ACME\mturner,read,C:\Program Files\ACME\Inventory\state.db,msiexec.exe,benign,routine file activity
FILE-00214,2026-09-07T15:26:49Z,JUMP-01,ACME\mturner,create,C:\Program Files\ACME\Inventory\state.db,powershell.exe,benign,routine file activity
FILE-00419,2026-09-07T15:29:13Z,DC-01,NT AUTHORITY\SYSTEM,create,C:\Windows\CCM\Logs\AppEnforce.log,powershell.exe,benign,routine file activity
FILE-00298,2026-09-07T15:39:31Z,FILE-03,ACME\svc_sccm,modify,C:\Windows\Temp\setup.log,CcmExec.exe,benign,routine file activity
FILE-00145,2026-09-07T15:58:46Z,OPS-WS-08,NT AUTHORITY\SYSTEM,modify,C:\Windows\Temp\setup.log,CcmExec.exe,benign,routine file activity
FILE-00331,2026-09-07T16:24:43Z,APP-06,NT AUTHORITY\SYSTEM,modify,C:\Windows\Temp\setup.log,CcmExec.exe,benign,routine file activity
FILE-00489,2026-09-07T16:39:28Z,FILE-03,ACME\jsmith,modify,C:\Windows\Temp\setup.log,msiexec.exe,benign,routine file activity
FILE-00044,2026-09-07T16:57:09Z,DC-01,ACME\mturner,read,C:\Windows\CCM\Logs\AppEnforce.log,CcmExec.exe,benign,routine file activity
FILE-00378,2026-09-07T17:40:26Z,JUMP-01,NT AUTHORITY\SYSTEM,read,C:\Program Files\ACME\Inventory\state.db,powershell.exe,benign,routine file activity
