event_id,_time,src_host,dest_host,user,process_name,dest_port,action,bytes_out,classification,note
NET-00453,2026-09-07T12:03:28Z,FILE-03,OPS-WS-08,ACME\jsmith,CcmExec.exe,5985,allowed,42789,benign,routine network activity
NET-00471,2026-09-07T12:18:21Z,JUMP-01,APP-06,ACME\adavis,powershell.exe,443,allowed,4408,benign,routine network activity
NET-00093,2026-09-07T12:32:09Z,APP-06,DC-01,ACME\mturner,System,445,allowed,46523,benign,routine network activity
NET-00349,2026-09-07T12:39:55Z,FILE-03,FILE-03,NT AUTHORITY\SYSTEM,powershell.exe,53,allowed,47920,benign,routine network activity
NET-00044,2026-09-07T12:51:59Z,SCCM-01,ENG-WS-17,ACME\svc_sccm,System,5985,allowed,4199,benign,routine network activity
NET-00386,2026-09-07T12:53:33Z,DC-01,JUMP-01,ACME\svc_sccm,CcmExec.exe,53,allowed,55499,benign,routine network activity
NET-00479,2026-09-07T12:56:09Z,OPS-WS-08,ENG-WS-17,ACME\mturner,System,53,allowed,19959,benign,routine network activity
NET-00256,2026-09-07T13:01:48Z,APP-06,APP-06,ACME\mturner,agent.exe,443,allowed,20081,benign,routine network activity
NET-00207,2026-09-07T13:08:22Z,SCCM-01,SCCM-01,ACME\mturner,CcmExec.exe,53,allowed,53622,benign,routine network activity
NET-00177,2026-09-07T13:10:52Z,APP-06,ENG-WS-17,NT AUTHORITY\SYSTEM,System,445,allowed,33384,benign,routine network activity
NET-00404,2026-09-07T13:12:31Z,OPS-WS-08,198.51.100.44,ACME\svc_sccm,powershell.exe,53,allowed,42893,benign,routine network activity
NET-00429,2026-09-07T13:18:41Z,ENG-WS-17,SCCM-01,ACME\jsmith,System,445,allowed,186,benign,routine network activity
NET-00356,2026-09-07T13:20:54Z,APP-06,FILE-03,NT AUTHORITY\SYSTEM,agent.exe,5985,allowed,8035,benign,routine network activity
NET-00455,2026-09-07T13:25:09Z,APP-06,DC-01,ACME\adavis,CcmExec.exe,53,allowed,42486,benign,routine network activity
NET-00419,2026-09-07T13:29:46Z,DC-01,ENG-WS-17,ACME\adavis,powershell.exe,5985,allowed,36299,benign,routine network activity
NET-CTX-001,2026-09-07T13:56:05Z,ENG-WS-17,SCCM-01,NT AUTHORITY\SYSTEM,CcmExec.exe,443,allowed,9100,benign,known SCCM traffic
NET-00110,2026-09-07T14:01:50Z,FILE-03,JUMP-01,ACME\svc_sccm,powershell.exe,445,allowed,33320,benign,routine network activity
NET-00304,2026-09-07T14:04:18Z,FILE-03,APP-06,ACME\adavis,System,5985,allowed,5161,benign,routine network activity
NET-00399,2026-09-07T14:06:23Z,FILE-03,SCCM-01,ACME\mturner,CcmExec.exe,445,allowed,48813,benign,routine network activity
NET-00480,2026-09-07T14:09:21Z,JUMP-01,SCCM-01,NT AUTHORITY\SYSTEM,CcmExec.exe,5985,allowed,22163,benign,routine network activity
NET-INC-001,2026-09-07T14:18:41Z,ENG-WS-17,198.51.100.44,NT AUTHORITY\SYSTEM,supportsvc.exe,443,allowed,3210,investigate,new service contacts external host
NET-INC-002,2026-09-07T14:20:15Z,ENG-WS-17,198.51.100.44,NT AUTHORITY\SYSTEM,supportsvc.exe,443,allowed,7820,investigate,second TLS session; content unknown
NET-BEN-001,2026-09-07T14:25:45Z,APP-06,SCCM-01,NT AUTHORITY\SYSTEM,agent.exe,443,allowed,11640,benign,support agent checks in to management server
NET-RESP-001,2026-09-07T14:29:30Z,JUMP-01,ENG-WS-17,ACME\jsmith,mstsc.exe,3389,allowed,16000,response,authorized responder
NET-00143,2026-09-07T14:39:32Z,JUMP-01,ENG-WS-17,NT AUTHORITY\SYSTEM,powershell.exe,443,allowed,5438,benign,routine network activity
NET-00382,2026-09-07T14:50:17Z,OPS-WS-08,DC-01,ACME\svc_sccm,agent.exe,5985,allowed,54405,benign,routine network activity
NET-00477,2026-09-07T15:09:56Z,FILE-03,OPS-WS-08,ACME\mturner,CcmExec.exe,53,allowed,27577,benign,routine network activity
NET-00120,2026-09-07T15:14:10Z,APP-06,JUMP-01,NT AUTHORITY\SYSTEM,CcmExec.exe,53,allowed,25793,benign,routine network activity
NET-00292,2026-09-07T15:24:45Z,SCCM-01,198.51.100.44,ACME\svc_sccm,agent.exe,445,allowed,54892,benign,routine network activity
NET-00434,2026-09-07T15:27:10Z,SCCM-01,198.51.100.44,ACME\adavis,System,443,allowed,21104,benign,routine network activity
NET-00186,2026-09-07T15:45:22Z,OPS-WS-08,198.51.100.44,ACME\mturner,CcmExec.exe,443,allowed,25774,benign,routine network activity
NET-00393,2026-09-07T15:52:02Z,FILE-03,JUMP-01,NT AUTHORITY\SYSTEM,System,443,allowed,21245,benign,routine network activity
NET-00140,2026-09-07T15:53:58Z,APP-06,SCCM-01,ACME\svc_sccm,powershell.exe,53,allowed,45856,benign,routine network activity
NET-00091,2026-09-07T16:31:50Z,JUMP-01,SCCM-01,ACME\adavis,CcmExec.exe,5985,allowed,11963,benign,routine network activity
NET-00176,2026-09-07T16:40:40Z,APP-06,DC-01,ACME\svc_sccm,powershell.exe,445,allowed,57335,benign,routine network activity
NET-00493,2026-09-07T16:45:46Z,DC-01,198.51.100.44,ACME\adavis,powershell.exe,53,allowed,56403,benign,routine network activity
NET-00228,2026-09-07T16:48:08Z,ENG-WS-17,ENG-WS-17,ACME\adavis,CcmExec.exe,5985,allowed,1502,benign,routine network activity
NET-00452,2026-09-07T16:52:37Z,SCCM-01,FILE-03,ACME\mturner,agent.exe,53,allowed,34817,benign,routine network activity
NET-00150,2026-09-07T17:09:24Z,JUMP-01,JUMP-01,ACME\mturner,CcmExec.exe,5985,allowed,37963,benign,routine network activity
NET-00300,2026-09-07T17:12:48Z,APP-06,JUMP-01,ACME\adavis,CcmExec.exe,53,allowed,14512,benign,routine network activity
NET-00158,2026-09-07T17:18:05Z,SCCM-01,ENG-WS-17,ACME\jsmith,agent.exe,53,allowed,53970,benign,routine network activity
NET-00128,2026-09-07T17:52:35Z,OPS-WS-08,ENG-WS-17,ACME\jsmith,agent.exe,445,allowed,47668,benign,routine network activity
NET-00391,2026-09-07T18:01:11Z,OPS-WS-08,JUMP-01,ACME\adavis,CcmExec.exe,5985,allowed,19342,benign,routine network activity
NET-00123,2026-09-07T18:04:13Z,SCCM-01,JUMP-01,ACME\jsmith,agent.exe,445,allowed,16191,benign,routine network activity
NET-00076,2026-09-07T18:46:10Z,APP-06,SCCM-01,ACME\svc_sccm,CcmExec.exe,443,allowed,29984,benign,routine network activity
NET-00244,2026-09-07T19:10:21Z,OPS-WS-08,DC-01,NT AUTHORITY\SYSTEM,System,443,allowed,30530,benign,routine network activity
NET-00368,2026-09-07T19:11:44Z,DC-01,ENG-WS-17,ACME\svc_sccm,agent.exe,445,allowed,61786,benign,routine network activity
NET-00257,2026-09-07T19:12:20Z,OPS-WS-08,SCCM-01,NT AUTHORITY\SYSTEM,System,53,allowed,709,benign,routine network activity
