event_id,_time,host,user,action,classification,note
RESP-00363,2026-09-07T12:01:38Z,APP-06,SOC-AUTOMATION,query_service,response,routine response workflow
RESP-00427,2026-09-07T12:35:22Z,APP-06,SOC-AUTOMATION,collect_logs,response,routine response workflow
RESP-00317,2026-09-07T12:40:22Z,DC-01,SOC-AUTOMATION,review_alert,response,routine response workflow
RESP-00384,2026-09-07T12:43:27Z,JUMP-01,SOC-AUTOMATION,check_change,response,routine response workflow
RESP-00062,2026-09-07T12:49:07Z,DC-01,SOC-AUTOMATION,query_service,response,routine response workflow
RESP-00466,2026-09-07T13:03:04Z,OPS-WS-08,SOC-AUTOMATION,review_alert,response,routine response workflow
RESP-00229,2026-09-07T13:07:56Z,OPS-WS-08,SOC-AUTOMATION,review_alert,response,routine response workflow
RESP-00483,2026-09-07T13:16:14Z,JUMP-01,SOC-AUTOMATION,check_change,response,routine response workflow
RESP-00213,2026-09-07T13:19:38Z,ENG-WS-17,SOC-AUTOMATION,review_alert,response,routine response workflow
RESP-00455,2026-09-07T13:30:09Z,JUMP-01,SOC-AUTOMATION,check_change,response,routine response workflow
RESP-00249,2026-09-07T14:00:11Z,SCCM-01,SOC-AUTOMATION,query_service,response,routine response workflow
RESP-00358,2026-09-07T14:01:44Z,JUMP-01,SOC-AUTOMATION,query_service,response,routine response workflow
RESP-00079,2026-09-07T14:19:36Z,OPS-WS-08,SOC-AUTOMATION,review_alert,response,routine response workflow
RESP-00421,2026-09-07T14:20:45Z,APP-06,SOC-AUTOMATION,check_change,response,routine response workflow
RESP-00187,2026-09-07T14:22:21Z,DC-01,SOC-AUTOMATION,collect_logs,response,routine response workflow
RESP-010-001,2026-09-07T14:29:00Z,ENG-WS-17,ACME\jsmith,capture_service_configuration,response,preserve service config
RESP-00476,2026-09-07T14:29:15Z,ENG-WS-17,SOC-AUTOMATION,query_service,response,routine response workflow
RESP-010-002,2026-09-07T14:30:00Z,ENG-WS-17,ACME\jsmith,hash_service_artifacts,response,hash service artifacts
RESP-010-003,2026-09-07T14:32:00Z,ENG-WS-17,ACME\jsmith,disable_service,response,prevent persistence from re-running
RESP-010-004,2026-09-07T14:33:00Z,ENG-WS-17,ACME\jsmith,isolate_host,response,contain confirmed service persistence
RESP-010-005,2026-09-07T14:35:00Z,ENG-WS-17,ACME\jsmith,hunt_service_hash_path_destination,response,scope exact indicators across estate
