event_id,_time,host,user,action,file_path,source_process,classification
FILE-BEN-002,2026-09-13T14:18:00Z,FIN-WS-09,ACME\\lchen,create,Startup\\DisplayProfile.lnk,explorer.exe,benign
FILE-0130,2026-09-14T12:06:21Z,MGMT-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0471,2026-09-14T12:07:27Z,ENG-WS-17,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0202,2026-09-14T12:34:46Z,HR-WS-04,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0329,2026-09-14T12:41:11Z,ENG-WS-17,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0132,2026-09-14T12:43:50Z,DC-01,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0260,2026-09-14T13:07:43Z,MGMT-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0537,2026-09-14T13:12:07Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0480,2026-09-14T13:13:36Z,MGMT-01,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0157,2026-09-14T13:24:28Z,MGMT-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0442,2026-09-14T13:47:29Z,ENG-WS-17,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0370,2026-09-14T13:56:12Z,ENG-WS-17,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-INC-001,2026-09-14T14:17:35Z,FIN-WS-09,ACME\\lchen,create,C:\\Users\\lchen\\AppData\\Roaming\\Microsoft\\OneDriveHealth\\sync.ps1,user-context process,investigate
FILE-INC-002,2026-09-14T14:17:40Z,FIN-WS-09,ACME\\lchen,create,C:\\Users\\lchen\\AppData\\Roaming\\Microsoft\\OneDriveHealth\\cache.dat,user-context process,investigate
FILE-0449,2026-09-14T14:27:10Z,FIN-WS-09,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-BEN-001,2026-09-14T14:29:45Z,FIN-WS-09,ACME\\lchen,read,SYSVOL\\scripts\\mapdrives.cmd,cmd.exe,benign
FILE-0147,2026-09-14T14:32:03Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0239,2026-09-14T14:58:21Z,MGMT-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0386,2026-09-14T15:04:50Z,MGMT-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0506,2026-09-14T15:18:04Z,FIN-WS-09,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0583,2026-09-14T15:51:24Z,MGMT-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0448,2026-09-14T15:57:08Z,MGMT-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0180,2026-09-14T16:07:16Z,DC-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0570,2026-09-14T16:16:39Z,MGMT-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
