event_id,_time,src_host,dest_host,user,process_name,dest_port,bytes_out,classification
NET-0282,2026-09-14T12:07:35Z,MGMT-01,DC-01,SYSTEM,Teams.exe,443,8774,benign
NET-0477,2026-09-14T12:10:53Z,FIN-WS-09,DC-01,ACME\\lchen,cmd.exe,443,24961,benign
NET-0364,2026-09-14T12:16:56Z,MGMT-01,198.51.100.20,ACME\\lchen,OneDrive.exe,443,3165,benign
NET-0291,2026-09-14T12:27:46Z,JUMP-01,198.51.100.20,ACME\\lchen,cmd.exe,445,26645,benign
NET-0558,2026-09-14T12:38:14Z,JUMP-01,198.51.100.20,SYSTEM,Teams.exe,445,19282,benign
NET-0326,2026-09-14T12:39:52Z,ENG-WS-17,DC-01,ACME\\mgarcia,OneDrive.exe,53,3695,benign
NET-0152,2026-09-14T12:51:24Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,Teams.exe,445,12643,benign
NET-0350,2026-09-14T12:56:59Z,FIN-WS-09,DC-01,ACME\\mgarcia,cmd.exe,53,10068,benign
NET-0507,2026-09-14T13:35:09Z,MGMT-01,198.51.100.20,ACME\\mgarcia,OneDrive.exe,445,20279,benign
NET-0478,2026-09-14T13:36:42Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,OneDrive.exe,443,26001,benign
NET-0538,2026-09-14T13:49:17Z,JUMP-01,MGMT-01,SYSTEM,OneDrive.exe,445,9182,benign
NET-0160,2026-09-14T14:13:31Z,HR-WS-04,198.51.100.20,SYSTEM,Teams.exe,445,11995,benign
NET-BEN-001,2026-09-14T14:29:45Z,FIN-WS-09,DC-01,ACME\\lchen,cmd.exe,445,2210,benign
NET-BEN-002,2026-09-14T14:30:05Z,FIN-WS-09,198.51.100.20,ACME\\lchen,Teams.exe,443,8290,benign
NET-INC-001,2026-09-14T14:30:30Z,FIN-WS-09,203.0.113.77,ACME\\lchen,powershell.exe,443,3670,investigate
NET-INC-002,2026-09-14T14:31:15Z,FIN-WS-09,203.0.113.77,ACME\\lchen,rundll32.exe,443,10920,investigate
NET-0313,2026-09-14T14:38:32Z,DC-01,MGMT-01,ACME\\jsmith,Teams.exe,443,13589,benign
NET-0292,2026-09-14T14:52:07Z,MGMT-01,MGMT-01,ACME\\lchen,OneDrive.exe,443,14886,benign
NET-0238,2026-09-14T15:03:09Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,Teams.exe,443,10105,benign
NET-0503,2026-09-14T15:37:36Z,JUMP-01,MGMT-01,SYSTEM,cmd.exe,443,7183,benign
NET-0360,2026-09-14T15:53:07Z,DC-01,DC-01,ACME\\jsmith,cmd.exe,445,29647,benign
NET-0495,2026-09-14T16:19:03Z,ENG-WS-17,MGMT-01,ACME\\lchen,OneDrive.exe,53,26110,benign
NET-0378,2026-09-14T16:24:34Z,HR-WS-04,MGMT-01,ACME\\lchen,cmd.exe,445,5068,benign
NET-0217,2026-09-14T16:48:30Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,OneDrive.exe,53,2433,benign
NET-0153,2026-09-14T16:49:35Z,MGMT-01,MGMT-01,ACME\\jsmith,OneDrive.exe,443,6606,benign
NET-0515,2026-09-14T16:57:11Z,ENG-WS-17,DC-01,SYSTEM,Teams.exe,443,366,benign
NET-0581,2026-09-14T17:14:23Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,cmd.exe,443,4526,benign
NET-0183,2026-09-14T17:22:53Z,ENG-WS-17,198.51.100.20,SYSTEM,Teams.exe,53,7542,benign
NET-0389,2026-09-14T17:33:51Z,HR-WS-04,MGMT-01,ACME\\lchen,Teams.exe,53,13081,benign
NET-0331,2026-09-14T17:51:41Z,JUMP-01,198.51.100.20,ACME\\lchen,cmd.exe,443,4009,benign
NET-0220,2026-09-14T18:02:55Z,ENG-WS-17,DC-01,SYSTEM,cmd.exe,53,208,benign
NET-0127,2026-09-14T18:14:11Z,JUMP-01,198.51.100.20,SYSTEM,OneDrive.exe,443,16271,benign
NET-0357,2026-09-14T18:38:06Z,FIN-WS-09,198.51.100.20,ACME\\lchen,OneDrive.exe,445,24820,benign
NET-0119,2026-09-14T18:59:53Z,ENG-WS-17,198.51.100.20,SYSTEM,cmd.exe,445,10090,benign
NET-0574,2026-09-14T19:12:04Z,FIN-WS-09,198.51.100.20,SYSTEM,OneDrive.exe,445,15224,benign
NET-0168,2026-09-14T19:23:30Z,HR-WS-04,DC-01,ACME\\mgarcia,Teams.exe,443,8400,benign
NET-0184,2026-09-14T19:28:08Z,ENG-WS-17,DC-01,ACME\\lchen,Teams.exe,443,1740,benign
NET-0567,2026-09-14T19:57:59Z,FIN-WS-09,MGMT-01,ACME\\jsmith,Teams.exe,443,8588,benign
NET-0535,2026-09-14T19:59:38Z,HR-WS-04,MGMT-01,SYSTEM,cmd.exe,53,26786,benign
NET-0517,2026-09-14T20:00:46Z,MGMT-01,MGMT-01,ACME\\mgarcia,OneDrive.exe,443,17471,benign
NET-0447,2026-09-14T20:07:33Z,MGMT-01,MGMT-01,ACME\\jsmith,OneDrive.exe,445,10737,benign
NET-0218,2026-09-14T20:27:45Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,cmd.exe,445,22886,benign
NET-0181,2026-09-14T20:38:53Z,FIN-WS-09,DC-01,ACME\\mgarcia,Teams.exe,445,19828,benign
NET-0534,2026-09-14T20:46:06Z,FIN-WS-09,MGMT-01,ACME\\jsmith,cmd.exe,445,12077,benign
NET-0369,2026-09-14T20:53:11Z,DC-01,DC-01,ACME\\lchen,cmd.exe,445,15859,benign
NET-0377,2026-09-14T20:54:08Z,ENG-WS-17,198.51.100.20,ACME\\mgarcia,OneDrive.exe,443,3370,benign
NET-0131,2026-09-14T21:24:22Z,HR-WS-04,MGMT-01,SYSTEM,Teams.exe,443,5144,benign
NET-0243,2026-09-14T21:26:51Z,FIN-WS-09,MGMT-01,ACME\\jsmith,Teams.exe,443,28890,benign
NET-0376,2026-09-14T21:31:12Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,OneDrive.exe,53,20837,benign
NET-0265,2026-09-14T21:31:50Z,ENG-WS-17,198.51.100.20,SYSTEM,Teams.exe,443,4796,benign
NET-0425,2026-09-14T21:34:06Z,JUMP-01,DC-01,ACME\\mgarcia,cmd.exe,53,23916,benign
NET-0449,2026-09-14T21:35:25Z,ENG-WS-17,DC-01,ACME\\jsmith,OneDrive.exe,445,10105,benign
NET-0420,2026-09-14T21:38:25Z,DC-01,DC-01,ACME\\jsmith,cmd.exe,53,13883,benign
NET-0559,2026-09-14T21:46:22Z,HR-WS-04,198.51.100.20,ACME\\lchen,Teams.exe,443,10921,benign
NET-0303,2026-09-14T21:54:01Z,FIN-WS-09,MGMT-01,SYSTEM,Teams.exe,53,1541,benign
NET-0258,2026-09-14T22:08:11Z,JUMP-01,198.51.100.20,ACME\\jsmith,OneDrive.exe,443,23125,benign
NET-0456,2026-09-14T22:31:02Z,DC-01,198.51.100.20,SYSTEM,cmd.exe,53,18821,benign
NET-0283,2026-09-14T22:34:54Z,JUMP-01,MGMT-01,ACME\\lchen,cmd.exe,445,25246,benign
NET-0230,2026-09-14T22:50:59Z,ENG-WS-17,198.51.100.20,ACME\\mgarcia,OneDrive.exe,53,21182,benign
NET-0330,2026-09-14T22:52:06Z,DC-01,198.51.100.20,ACME\\mgarcia,cmd.exe,445,7065,benign
NET-0222,2026-09-14T22:52:19Z,MGMT-01,MGMT-01,SYSTEM,cmd.exe,53,9267,benign
NET-0344,2026-09-14T23:04:48Z,JUMP-01,DC-01,SYSTEM,cmd.exe,443,22340,benign
NET-0579,2026-09-14T23:53:01Z,HR-WS-04,198.51.100.20,SYSTEM,OneDrive.exe,53,14163,benign
NET-0176,2026-09-14T23:57:13Z,JUMP-01,DC-01,ACME\\mgarcia,OneDrive.exe,443,2655,benign
NET-0578,2026-09-15T00:03:55Z,MGMT-01,DC-01,ACME\\jsmith,cmd.exe,53,10930,benign
NET-0443,2026-09-15T00:39:42Z,JUMP-01,MGMT-01,ACME\\mgarcia,Teams.exe,445,11259,benign
NET-0211,2026-09-15T01:01:49Z,DC-01,MGMT-01,SYSTEM,OneDrive.exe,445,2788,benign
NET-0213,2026-09-15T01:02:36Z,FIN-WS-09,198.51.100.20,ACME\\lchen,Teams.exe,53,1334,benign
NET-0393,2026-09-15T01:16:00Z,JUMP-01,DC-01,ACME\\jsmith,Teams.exe,445,22441,benign
NET-0523,2026-09-15T01:38:16Z,DC-01,MGMT-01,ACME\\jsmith,OneDrive.exe,53,9282,benign
NET-0394,2026-09-15T01:49:36Z,MGMT-01,198.51.100.20,ACME\\lchen,cmd.exe,53,18944,benign
NET-0462,2026-09-15T02:26:52Z,HR-WS-04,MGMT-01,ACME\\mgarcia,Teams.exe,443,14672,benign
NET-0117,2026-09-15T02:40:45Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,Teams.exe,443,3948,benign
NET-0403,2026-09-15T02:46:57Z,JUMP-01,DC-01,ACME\\jsmith,Teams.exe,53,19798,benign
NET-0317,2026-09-15T02:51:10Z,MGMT-01,198.51.100.20,ACME\\jsmith,cmd.exe,443,22354,benign
NET-0543,2026-09-15T03:10:07Z,ENG-WS-17,198.51.100.20,SYSTEM,Teams.exe,445,5302,benign
NET-0430,2026-09-15T04:20:55Z,JUMP-01,198.51.100.20,SYSTEM,Teams.exe,53,870,benign
NET-0100,2026-09-15T04:22:43Z,MGMT-01,198.51.100.20,ACME\\lchen,OneDrive.exe,53,5891,benign
NET-0305,2026-09-15T04:46:28Z,ENG-WS-17,MGMT-01,SYSTEM,OneDrive.exe,445,10037,benign
NET-0235,2026-09-15T04:52:58Z,HR-WS-04,198.51.100.20,ACME\\lchen,Teams.exe,445,20932,benign
NET-0165,2026-09-15T05:02:54Z,HR-WS-04,MGMT-01,ACME\\lchen,cmd.exe,53,27599,benign
NET-0264,2026-09-15T05:04:46Z,ENG-WS-17,198.51.100.20,ACME\\mgarcia,cmd.exe,443,13556,benign
NET-0454,2026-09-15T05:08:48Z,ENG-WS-17,DC-01,SYSTEM,Teams.exe,445,6267,benign
NET-0531,2026-09-15T05:08:56Z,ENG-WS-17,DC-01,ACME\\jsmith,OneDrive.exe,443,9958,benign
NET-0135,2026-09-15T05:35:28Z,MGMT-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,5655,benign
NET-0321,2026-09-15T05:37:22Z,MGMT-01,MGMT-01,ACME\\mgarcia,Teams.exe,445,20739,benign
NET-0226,2026-09-15T05:37:50Z,DC-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,3588,benign
NET-0571,2026-09-15T06:06:14Z,JUMP-01,198.51.100.20,ACME\\mgarcia,cmd.exe,53,709,benign
NET-0385,2026-09-15T06:14:03Z,FIN-WS-09,MGMT-01,ACME\\lchen,Teams.exe,443,17117,benign
NET-0240,2026-09-15T06:40:53Z,DC-01,DC-01,ACME\\jsmith,cmd.exe,443,5939,benign
NET-0206,2026-09-15T06:53:02Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,OneDrive.exe,443,4233,benign
NET-0526,2026-09-15T06:55:48Z,JUMP-01,DC-01,SYSTEM,OneDrive.exe,443,351,benign
NET-0544,2026-09-15T07:00:56Z,FIN-WS-09,DC-01,SYSTEM,Teams.exe,443,14551,benign
NET-0485,2026-09-15T07:03:57Z,FIN-WS-09,MGMT-01,ACME\\lchen,Teams.exe,53,15127,benign
NET-0334,2026-09-15T07:24:11Z,ENG-WS-17,198.51.100.20,ACME\\lchen,Teams.exe,443,28037,benign
NET-0592,2026-09-15T07:25:05Z,FIN-WS-09,198.51.100.20,ACME\\lchen,OneDrive.exe,53,19884,benign
NET-0479,2026-09-15T07:46:32Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,OneDrive.exe,53,15330,benign
NET-0427,2026-09-15T07:46:50Z,JUMP-01,198.51.100.20,SYSTEM,Teams.exe,445,11235,benign
NET-0169,2026-09-15T07:50:16Z,HR-WS-04,MGMT-01,ACME\\jsmith,OneDrive.exe,445,5186,benign
NET-0281,2026-09-15T07:50:42Z,HR-WS-04,198.51.100.20,ACME\\lchen,cmd.exe,445,26675,benign
NET-0207,2026-09-15T07:55:14Z,HR-WS-04,MGMT-01,ACME\\jsmith,Teams.exe,443,11872,benign
NET-0205,2026-09-15T08:28:02Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,Teams.exe,53,8910,benign
NET-0244,2026-09-15T08:41:48Z,FIN-WS-09,198.51.100.20,SYSTEM,Teams.exe,53,13435,benign
NET-0399,2026-09-15T09:04:00Z,MGMT-01,DC-01,ACME\\mgarcia,cmd.exe,443,7713,benign
NET-0233,2026-09-15T09:07:07Z,JUMP-01,198.51.100.20,ACME\\jsmith,OneDrive.exe,445,2869,benign
NET-0528,2026-09-15T09:13:36Z,MGMT-01,MGMT-01,ACME\\lchen,OneDrive.exe,53,21863,benign
NET-0564,2026-09-15T09:18:02Z,ENG-WS-17,198.51.100.20,SYSTEM,OneDrive.exe,53,3732,benign
NET-0249,2026-09-15T09:23:32Z,MGMT-01,198.51.100.20,ACME\\jsmith,cmd.exe,445,23761,benign
NET-0407,2026-09-15T09:50:20Z,HR-WS-04,198.51.100.20,ACME\\jsmith,OneDrive.exe,53,16052,benign
NET-0121,2026-09-15T10:02:25Z,DC-01,MGMT-01,ACME\\jsmith,Teams.exe,445,4441,benign
NET-0374,2026-09-15T10:06:58Z,FIN-WS-09,DC-01,ACME\\mgarcia,cmd.exe,53,25828,benign
NET-0101,2026-09-15T10:07:02Z,DC-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,7986,benign
NET-0125,2026-09-15T10:07:11Z,JUMP-01,MGMT-01,ACME\\mgarcia,Teams.exe,445,14590,benign
NET-0193,2026-09-15T10:25:22Z,MGMT-01,198.51.100.20,SYSTEM,Teams.exe,443,1737,benign
NET-0182,2026-09-15T10:34:13Z,ENG-WS-17,198.51.100.20,SYSTEM,OneDrive.exe,53,10938,benign
NET-0476,2026-09-15T10:34:58Z,JUMP-01,MGMT-01,SYSTEM,Teams.exe,443,9311,benign
NET-0159,2026-09-15T10:36:47Z,DC-01,MGMT-01,SYSTEM,OneDrive.exe,53,3194,benign
NET-0488,2026-09-15T10:52:02Z,MGMT-01,198.51.100.20,SYSTEM,Teams.exe,443,11660,benign
NET-0112,2026-09-15T10:52:03Z,FIN-WS-09,DC-01,SYSTEM,OneDrive.exe,53,29095,benign
NET-0297,2026-09-15T11:06:59Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,cmd.exe,445,26066,benign
NET-0266,2026-09-15T11:25:07Z,MGMT-01,DC-01,ACME\\mgarcia,OneDrive.exe,443,15133,benign
NET-0148,2026-09-15T11:26:13Z,ENG-WS-17,DC-01,SYSTEM,cmd.exe,443,26115,benign
NET-0178,2026-09-15T11:33:46Z,HR-WS-04,198.51.100.20,SYSTEM,cmd.exe,445,5760,benign
NET-0542,2026-09-15T11:57:41Z,JUMP-01,MGMT-01,ACME\\mgarcia,cmd.exe,53,6088,benign
NET-0284,2026-09-15T11:59:08Z,ENG-WS-17,DC-01,ACME\\jsmith,cmd.exe,53,15788,benign
NET-0239,2026-09-15T12:46:03Z,FIN-WS-09,DC-01,ACME\\lchen,OneDrive.exe,443,15634,benign
NET-0175,2026-09-15T13:05:38Z,FIN-WS-09,198.51.100.20,SYSTEM,cmd.exe,53,18038,benign
NET-0323,2026-09-15T13:12:56Z,JUMP-01,DC-01,ACME\\jsmith,cmd.exe,443,14452,benign
NET-0375,2026-09-15T13:43:12Z,HR-WS-04,MGMT-01,ACME\\lchen,cmd.exe,53,20493,benign
NET-0588,2026-09-15T13:57:08Z,DC-01,DC-01,SYSTEM,Teams.exe,443,4948,benign
NET-0365,2026-09-15T14:00:48Z,MGMT-01,DC-01,ACME\\jsmith,cmd.exe,443,26623,benign
NET-0536,2026-09-15T14:23:19Z,MGMT-01,198.51.100.20,ACME\\lchen,cmd.exe,53,23672,benign
NET-0234,2026-09-15T14:34:15Z,JUMP-01,198.51.100.20,SYSTEM,Teams.exe,53,23506,benign
NET-0172,2026-09-15T15:27:07Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,OneDrive.exe,445,25086,benign
NET-0307,2026-09-15T15:37:54Z,MGMT-01,198.51.100.20,ACME\\mgarcia,cmd.exe,53,1899,benign
NET-0508,2026-09-15T15:53:49Z,DC-01,MGMT-01,ACME\\mgarcia,OneDrive.exe,443,226,benign
NET-0342,2026-09-15T15:55:07Z,JUMP-01,DC-01,SYSTEM,cmd.exe,445,7993,benign
NET-0537,2026-09-15T16:01:02Z,MGMT-01,DC-01,ACME\\mgarcia,cmd.exe,443,2431,benign
NET-0123,2026-09-15T16:07:56Z,DC-01,DC-01,ACME\\mgarcia,OneDrive.exe,445,26461,benign
NET-0392,2026-09-15T16:27:52Z,FIN-WS-09,DC-01,ACME\\jsmith,OneDrive.exe,445,16795,benign
NET-0253,2026-09-15T16:33:31Z,ENG-WS-17,MGMT-01,ACME\\lchen,cmd.exe,445,21667,benign
NET-0187,2026-09-15T16:38:43Z,DC-01,198.51.100.20,ACME\\jsmith,cmd.exe,445,6133,benign
NET-0426,2026-09-15T16:41:55Z,FIN-WS-09,198.51.100.20,ACME\\lchen,OneDrive.exe,53,11751,benign
NET-0138,2026-09-15T16:43:59Z,JUMP-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,13914,benign
NET-0310,2026-09-15T17:14:57Z,HR-WS-04,MGMT-01,ACME\\jsmith,cmd.exe,53,23277,benign
NET-0356,2026-09-15T17:22:26Z,FIN-WS-09,MGMT-01,SYSTEM,OneDrive.exe,443,11308,benign
NET-0562,2026-09-15T17:28:45Z,HR-WS-04,MGMT-01,ACME\\jsmith,OneDrive.exe,445,9026,benign
NET-0519,2026-09-15T17:34:07Z,FIN-WS-09,MGMT-01,ACME\\mgarcia,Teams.exe,53,17815,benign
NET-0370,2026-09-15T17:39:36Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,Teams.exe,53,27004,benign
NET-0469,2026-09-15T18:04:25Z,MGMT-01,MGMT-01,ACME\\mgarcia,cmd.exe,53,26090,benign
NET-0111,2026-09-15T18:09:02Z,FIN-WS-09,MGMT-01,ACME\\jsmith,cmd.exe,53,29963,benign
NET-0587,2026-09-15T18:28:46Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,OneDrive.exe,53,7502,benign
