event_id,_time,host,user,source_type,item_name,target_path,provenance,classification
CFG-0142,2026-09-14T12:01:27Z,FIN-WS-09,ACME\\jsmith,Application startup,Teams,routine startup target,approved,benign
CFG-0554,2026-09-14T12:08:01Z,JUMP-01,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0160,2026-09-14T12:13:45Z,MGMT-01,ACME\\lchen,Application startup,OneDrive,routine startup target,approved,benign
CFG-0176,2026-09-14T12:14:07Z,FIN-WS-09,SYSTEM,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0163,2026-09-14T12:15:32Z,FIN-WS-09,ACME\\jsmith,Application startup,Teams,routine startup target,approved,benign
CFG-0103,2026-09-14T12:49:20Z,DC-01,ACME\\jsmith,Startup folder,Teams,routine startup target,approved,benign
CFG-0471,2026-09-14T13:17:23Z,MGMT-01,SYSTEM,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0458,2026-09-14T13:17:32Z,FIN-WS-09,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0272,2026-09-14T13:33:57Z,ENG-WS-17,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-INC-001,2026-09-14T14:18:00Z,FIN-WS-09,ACME\\lchen,User startup configuration,OneDriveHealth,C:\\Users\\lchen\\AppData\\Roaming\\Microsoft\\OneDriveHealth\\sync.ps1,local user state,investigate
CFG-0342,2026-09-14T14:19:23Z,FIN-WS-09,ACME\\jsmith,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0381,2026-09-14T14:26:38Z,FIN-WS-09,ACME\\mgarcia,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-BEN-001,2026-09-14T14:29:45Z,FIN-WS-09,ACME\\lchen,Enterprise logon policy,MapDrives,SYSVOL\\scripts\\mapdrives.cmd,central policy,benign
CFG-BEN-002,2026-09-14T14:30:05Z,FIN-WS-09,ACME\\lchen,Application startup,Teams,Microsoft Teams Update,signed application,benign
CFG-BEN-003,2026-09-14T14:30:07Z,FIN-WS-09,ACME\\lchen,Startup folder,DisplayProfile,ACME DisplayProfile,approved user utility,benign
CFG-0511,2026-09-14T14:33:57Z,HR-WS-04,SYSTEM,Application startup,MapDrives,routine startup target,approved,benign
