event_id,_time,host,user,policy_name,source,approved,classification
POL-0186,2026-09-14T12:03:31Z,DC-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0554,2026-09-14T12:06:36Z,ENG-WS-17,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0176,2026-09-14T12:13:34Z,HR-WS-04,SYSTEM,Browser Settings,central policy,yes,benign
POL-0305,2026-09-14T12:15:10Z,FIN-WS-09,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0465,2026-09-14T12:19:17Z,HR-WS-04,SYSTEM,Browser Settings,central policy,yes,benign
POL-0447,2026-09-14T12:27:50Z,JUMP-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0549,2026-09-14T12:33:46Z,HR-WS-04,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0580,2026-09-14T12:35:35Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0210,2026-09-14T13:04:42Z,HR-WS-04,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0241,2026-09-14T13:21:21Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0283,2026-09-14T13:26:24Z,HR-WS-04,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0452,2026-09-14T13:35:03Z,FIN-WS-09,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0523,2026-09-14T13:48:40Z,MGMT-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0168,2026-09-14T13:49:10Z,FIN-WS-09,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0586,2026-09-14T13:51:00Z,ENG-WS-17,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0362,2026-09-14T14:03:08Z,JUMP-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0546,2026-09-14T14:29:33Z,JUMP-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-BEN-001,2026-09-14T14:29:40Z,FIN-WS-09,ACME\\lchen,User Drive Mapping,central policy,yes,benign
POL-0574,2026-09-14T14:32:06Z,FIN-WS-09,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0441,2026-09-14T14:32:50Z,JUMP-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-GAP-001,2026-09-14T14:36:00Z,FIN-WS-09,ACME\\lchen,No matching enterprise policy,OneDriveHealth is local user configuration,no,investigate
POL-SCOPE-001,2026-09-14T14:40:00Z,FIN-WS-09,ACME\\jsmith,Scope decision,no evidence of enterprise policy modification,n/a,decision
POL-0442,2026-09-14T14:41:51Z,DC-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0231,2026-09-14T14:42:43Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0347,2026-09-14T14:49:54Z,DC-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0592,2026-09-14T14:50:21Z,DC-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0371,2026-09-14T14:54:43Z,ENG-WS-17,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0141,2026-09-14T14:56:00Z,HR-WS-04,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0284,2026-09-14T15:19:33Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0316,2026-09-14T15:21:09Z,JUMP-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0404,2026-09-14T15:33:59Z,DC-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0477,2026-09-14T15:56:43Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0177,2026-09-14T15:58:00Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0587,2026-09-14T16:40:35Z,ENG-WS-17,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0289,2026-09-14T16:41:00Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0246,2026-09-14T16:43:37Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0318,2026-09-14T16:51:48Z,FIN-WS-09,SYSTEM,Browser Settings,central policy,yes,benign
POL-0448,2026-09-14T17:08:14Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0583,2026-09-14T17:25:53Z,ENG-WS-17,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0153,2026-09-14T17:32:26Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0214,2026-09-14T17:40:34Z,MGMT-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0519,2026-09-14T17:54:31Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0219,2026-09-14T18:04:39Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0183,2026-09-14T18:05:28Z,MGMT-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0464,2026-09-14T18:05:29Z,JUMP-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0373,2026-09-14T18:07:13Z,HR-WS-04,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0314,2026-09-14T18:23:54Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0436,2026-09-14T18:39:18Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0370,2026-09-14T18:48:10Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
