event_id,_time,host,user,action,classification,note
RESP-0169,2026-09-14T12:14:44Z,FIN-WS-09,SOC,routine review,response,background
RESP-0586,2026-09-14T12:14:44Z,FIN-WS-09,SOC,routine review,response,background
RESP-0170,2026-09-14T12:30:02Z,JUMP-01,SOC,routine review,response,background
RESP-0347,2026-09-14T12:48:46Z,FIN-WS-09,SOC,routine review,response,background
RESP-0175,2026-09-14T12:50:11Z,JUMP-01,SOC,routine review,response,background
RESP-0557,2026-09-14T13:59:52Z,DC-01,SOC,routine review,response,background
RESP-0404,2026-09-14T14:03:54Z,JUMP-01,SOC,routine review,response,background
RESP-0432,2026-09-14T14:12:38Z,ENG-WS-17,SOC,routine review,response,background
RESP-0573,2026-09-14T14:16:19Z,ENG-WS-17,SOC,routine review,response,background
RESP-0577,2026-09-14T14:20:51Z,DC-01,SOC,routine review,response,background
RESP-0582,2026-09-14T14:25:12Z,ENG-WS-17,SOC,routine review,response,background
RESP-INC-001,2026-09-14T14:36:00Z,FIN-WS-09,ACME\\jsmith,compare local startup to enterprise policy,response,provenance review
RESP-INC-002,2026-09-14T14:37:00Z,FIN-WS-09,ACME\\jsmith,preserve startup configuration,response,preserve before change
RESP-INC-003,2026-09-14T14:38:00Z,FIN-WS-09,ACME\\jsmith,collect suspicious artifacts,response,artifact preservation
RESP-INC-004,2026-09-14T14:39:00Z,FIN-WS-09,ACME\\jsmith,remove startup item and isolate,response,contain endpoint
RESP-INC-005,2026-09-14T14:40:00Z,FIN-WS-09,ACME\\jsmith,scope item path and destination,response,estate-wide scope
RESP-0114,2026-09-14T14:43:02Z,JUMP-01,SOC,routine review,response,background
RESP-0232,2026-09-14T15:00:59Z,JUMP-01,SOC,routine review,response,background
RESP-0386,2026-09-14T15:12:46Z,MGMT-01,SOC,routine review,response,background
RESP-0311,2026-09-14T15:23:00Z,ENG-WS-17,SOC,routine review,response,background
RESP-0391,2026-09-14T15:47:28Z,FIN-WS-09,SOC,routine review,response,background
RESP-0203,2026-09-14T15:50:13Z,DC-01,SOC,routine review,response,background
RESP-0496,2026-09-14T16:11:00Z,ENG-WS-17,SOC,routine review,response,background
RESP-0280,2026-09-14T16:15:46Z,FIN-WS-09,SOC,routine review,response,background
RESP-0593,2026-09-14T16:19:40Z,FIN-WS-09,SOC,routine review,response,background
RESP-0576,2026-09-14T16:30:22Z,MGMT-01,SOC,routine review,response,background
RESP-0392,2026-09-14T17:06:06Z,MGMT-01,SOC,routine review,response,background
RESP-0245,2026-09-14T17:11:45Z,HR-WS-04,SOC,routine review,response,background
RESP-0241,2026-09-14T17:27:38Z,HR-WS-04,SOC,routine review,response,background
RESP-0516,2026-09-14T17:50:53Z,HR-WS-04,SOC,routine review,response,background
RESP-0544,2026-09-14T18:15:54Z,FIN-WS-09,SOC,routine review,response,background
RESP-0524,2026-09-14T18:31:43Z,ENG-WS-17,SOC,routine review,response,background
RESP-0513,2026-09-14T18:38:14Z,MGMT-01,SOC,routine review,response,background
RESP-0402,2026-09-14T18:44:29Z,HR-WS-04,SOC,routine review,response,background
RESP-0284,2026-09-14T18:59:53Z,FIN-WS-09,SOC,routine review,response,background
RESP-0578,2026-09-14T19:22:43Z,FIN-WS-09,SOC,routine review,response,background
RESP-0398,2026-09-14T19:32:21Z,ENG-WS-17,SOC,routine review,response,background
RESP-0510,2026-09-14T19:33:16Z,ENG-WS-17,SOC,routine review,response,background
RESP-0505,2026-09-14T19:56:53Z,HR-WS-04,SOC,routine review,response,background
RESP-0360,2026-09-14T20:04:05Z,FIN-WS-09,SOC,routine review,response,background
RESP-0543,2026-09-14T20:19:57Z,ENG-WS-17,SOC,routine review,response,background
RESP-0126,2026-09-14T20:29:14Z,HR-WS-04,SOC,routine review,response,background
RESP-0337,2026-09-14T20:44:45Z,ENG-WS-17,SOC,routine review,response,background
RESP-0521,2026-09-14T20:48:35Z,DC-01,SOC,routine review,response,background
RESP-0323,2026-09-14T20:52:53Z,HR-WS-04,SOC,routine review,response,background
RESP-0423,2026-09-14T21:20:13Z,MGMT-01,SOC,routine review,response,background
RESP-0313,2026-09-14T21:21:52Z,FIN-WS-09,SOC,routine review,response,background
RESP-0211,2026-09-14T22:07:54Z,JUMP-01,SOC,routine review,response,background
RESP-0233,2026-09-14T22:09:10Z,ENG-WS-17,SOC,routine review,response,background
RESP-0560,2026-09-14T22:13:35Z,DC-01,SOC,routine review,response,background
RESP-0533,2026-09-14T22:16:56Z,ENG-WS-17,SOC,routine review,response,background
RESP-0345,2026-09-14T22:28:09Z,ENG-WS-17,SOC,routine review,response,background
RESP-0235,2026-09-14T22:32:33Z,FIN-WS-09,SOC,routine review,response,background
RESP-0237,2026-09-14T23:23:49Z,ENG-WS-17,SOC,routine review,response,background
RESP-0470,2026-09-14T23:25:36Z,FIN-WS-09,SOC,routine review,response,background
RESP-0555,2026-09-14T23:34:39Z,FIN-WS-09,SOC,routine review,response,background
RESP-0580,2026-09-14T23:48:55Z,FIN-WS-09,SOC,routine review,response,background
RESP-0139,2026-09-15T00:06:20Z,MGMT-01,SOC,routine review,response,background
RESP-0257,2026-09-15T00:17:35Z,ENG-WS-17,SOC,routine review,response,background
RESP-0584,2026-09-15T00:41:51Z,MGMT-01,SOC,routine review,response,background
RESP-0415,2026-09-15T00:44:57Z,JUMP-01,SOC,routine review,response,background
RESP-0293,2026-09-15T00:47:49Z,JUMP-01,SOC,routine review,response,background
RESP-0286,2026-09-15T00:48:01Z,JUMP-01,SOC,routine review,response,background
RESP-0290,2026-09-15T00:50:33Z,MGMT-01,SOC,routine review,response,background
RESP-0159,2026-09-15T00:56:29Z,HR-WS-04,SOC,routine review,response,background
RESP-0572,2026-09-15T00:56:48Z,HR-WS-04,SOC,routine review,response,background
RESP-0124,2026-09-15T01:03:40Z,DC-01,SOC,routine review,response,background
RESP-0532,2026-09-15T01:05:26Z,ENG-WS-17,SOC,routine review,response,background
RESP-0172,2026-09-15T01:06:28Z,DC-01,SOC,routine review,response,background
RESP-0184,2026-09-15T01:09:06Z,MGMT-01,SOC,routine review,response,background
RESP-0382,2026-09-15T01:29:19Z,JUMP-01,SOC,routine review,response,background
RESP-0489,2026-09-15T01:29:41Z,FIN-WS-09,SOC,routine review,response,background
RESP-0534,2026-09-15T01:31:56Z,ENG-WS-17,SOC,routine review,response,background
RESP-0453,2026-09-15T01:57:36Z,ENG-WS-17,SOC,routine review,response,background
RESP-0315,2026-09-15T02:09:25Z,DC-01,SOC,routine review,response,background
RESP-0239,2026-09-15T02:15:00Z,FIN-WS-09,SOC,routine review,response,background
RESP-0458,2026-09-15T02:16:11Z,ENG-WS-17,SOC,routine review,response,background
RESP-0479,2026-09-15T02:20:10Z,HR-WS-04,SOC,routine review,response,background
RESP-0151,2026-09-15T02:42:24Z,FIN-WS-09,SOC,routine review,response,background
RESP-0359,2026-09-15T03:16:11Z,ENG-WS-17,SOC,routine review,response,background
RESP-0179,2026-09-15T03:17:46Z,ENG-WS-17,SOC,routine review,response,background
RESP-0484,2026-09-15T03:22:28Z,FIN-WS-09,SOC,routine review,response,background
RESP-0110,2026-09-15T03:39:50Z,HR-WS-04,SOC,routine review,response,background
RESP-0440,2026-09-15T04:01:59Z,MGMT-01,SOC,routine review,response,background
RESP-0118,2026-09-15T04:02:16Z,MGMT-01,SOC,routine review,response,background
RESP-0322,2026-09-15T04:16:54Z,ENG-WS-17,SOC,routine review,response,background
RESP-0457,2026-09-15T04:17:19Z,DC-01,SOC,routine review,response,background
RESP-0475,2026-09-15T04:22:11Z,JUMP-01,SOC,routine review,response,background
RESP-0507,2026-09-15T04:26:11Z,JUMP-01,SOC,routine review,response,background
RESP-0431,2026-09-15T04:29:03Z,FIN-WS-09,SOC,routine review,response,background
RESP-0497,2026-09-15T04:29:29Z,JUMP-01,SOC,routine review,response,background
RESP-0535,2026-09-15T04:34:57Z,DC-01,SOC,routine review,response,background
RESP-0283,2026-09-15T04:39:17Z,DC-01,SOC,routine review,response,background
RESP-0471,2026-09-15T04:39:17Z,HR-WS-04,SOC,routine review,response,background
RESP-0131,2026-09-15T04:48:31Z,DC-01,SOC,routine review,response,background
RESP-0166,2026-09-15T05:15:35Z,JUMP-01,SOC,routine review,response,background
RESP-0553,2026-09-15T05:56:28Z,ENG-WS-17,SOC,routine review,response,background
RESP-0200,2026-09-15T06:15:20Z,MGMT-01,SOC,routine review,response,background
RESP-0141,2026-09-15T06:22:16Z,DC-01,SOC,routine review,response,background
RESP-0465,2026-09-15T07:08:19Z,ENG-WS-17,SOC,routine review,response,background
RESP-0222,2026-09-15T07:12:08Z,ENG-WS-17,SOC,routine review,response,background
