event_id,_time,host,file_path,trust_status,publisher,classification
TRUST-BEN-002,2026-09-13T14:18:00Z,FIN-WS-09,ACME DisplayProfile,trusted_internal,ACME IT Automation,benign
TRUST-0311,2026-09-14T12:02:21Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0173,2026-09-14T12:03:59Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0217,2026-09-14T12:21:58Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0237,2026-09-14T12:25:31Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0116,2026-09-14T12:31:05Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0258,2026-09-14T12:31:47Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0492,2026-09-14T12:42:27Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0555,2026-09-14T12:54:43Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0517,2026-09-14T12:56:55Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-BEN-001,2026-09-14T13:18:00Z,FIN-WS-09,Microsoft Teams Update,signed,Microsoft Corporation,benign
TRUST-0476,2026-09-14T13:26:32Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-INC-001,2026-09-14T14:17:42Z,FIN-WS-09,OneDriveHealth\\sync.ps1,untrusted,,investigate
TRUST-INC-002,2026-09-14T14:17:43Z,FIN-WS-09,OneDriveHealth\\cache.dat,untrusted,,investigate
TRUST-0526,2026-09-14T14:44:41Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0372,2026-09-14T15:05:02Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0171,2026-09-14T15:09:12Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0319,2026-09-14T15:44:55Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0137,2026-09-14T15:52:59Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0466,2026-09-14T16:00:05Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0296,2026-09-14T16:06:45Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0514,2026-09-14T16:17:11Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0518,2026-09-14T16:20:25Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0528,2026-09-14T16:53:02Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0406,2026-09-14T16:58:56Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0178,2026-09-14T17:14:02Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0384,2026-09-14T17:30:32Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0409,2026-09-14T17:33:23Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0428,2026-09-14T17:46:26Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0186,2026-09-14T18:04:58Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0321,2026-09-14T18:23:53Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0139,2026-09-14T18:32:52Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0276,2026-09-14T18:46:49Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0462,2026-09-14T19:01:46Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0209,2026-09-14T19:03:05Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0453,2026-09-14T19:03:18Z,MGMT-01,known application,signed,Known Publisher,benign
