event_id,_time,host,user,item_name,event,managed_by,classification
ITEM-0325,2026-09-14T12:16:50Z,ENG-WS-17,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0586,2026-09-14T12:18:27Z,MGMT-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0219,2026-09-14T12:43:23Z,ENG-WS-17,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0574,2026-09-14T12:48:47Z,DC-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0297,2026-09-14T12:53:27Z,JUMP-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0200,2026-09-14T12:55:36Z,DC-01,SYSTEM,Teams,started,approved,benign
ITEM-0147,2026-09-14T13:02:26Z,JUMP-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0336,2026-09-14T13:20:23Z,JUMP-01,ACME\\jsmith,Teams,started,approved,benign
ITEM-0562,2026-09-14T13:21:18Z,ENG-WS-17,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0390,2026-09-14T13:26:33Z,JUMP-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0508,2026-09-14T13:33:42Z,MGMT-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0378,2026-09-14T13:40:08Z,ENG-WS-17,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0261,2026-09-14T13:51:31Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0262,2026-09-14T14:03:00Z,FIN-WS-09,SYSTEM,Teams,started,approved,benign
ITEM-0346,2026-09-14T14:21:18Z,MGMT-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0411,2026-09-14T14:25:51Z,JUMP-01,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-BEN-001,2026-09-14T14:29:45Z,FIN-WS-09,ACME\\lchen,MapDrives,started,Group Policy,benign
ITEM-INC-001,2026-09-14T14:30:00Z,FIN-WS-09,ACME\\lchen,OneDriveHealth,started,local user state,investigate
ITEM-0164,2026-09-14T14:30:04Z,DC-01,SYSTEM,OneDrive,started,approved,benign
ITEM-BEN-002,2026-09-14T14:30:05Z,FIN-WS-09,ACME\\lchen,Teams,started,Microsoft application,benign
ITEM-BEN-003,2026-09-14T14:30:07Z,FIN-WS-09,ACME\\lchen,DisplayProfile,started,IT approved,benign
ITEM-0172,2026-09-14T14:43:23Z,ENG-WS-17,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0308,2026-09-14T15:10:57Z,HR-WS-04,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0589,2026-09-14T15:33:47Z,FIN-WS-09,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0523,2026-09-14T15:40:41Z,HR-WS-04,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0100,2026-09-14T15:47:12Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0587,2026-09-14T15:49:30Z,MGMT-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0449,2026-09-14T16:05:46Z,FIN-WS-09,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0104,2026-09-14T16:11:57Z,DC-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0332,2026-09-14T16:20:29Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0224,2026-09-14T16:25:41Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0116,2026-09-14T16:35:18Z,HR-WS-04,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0444,2026-09-14T16:38:08Z,MGMT-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0517,2026-09-14T16:48:34Z,ENG-WS-17,ACME\\jsmith,Teams,started,approved,benign
ITEM-0428,2026-09-14T16:52:57Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0512,2026-09-14T16:57:09Z,DC-01,SYSTEM,Teams,started,approved,benign
ITEM-0489,2026-09-14T17:00:06Z,HR-WS-04,ACME\\lchen,Teams,started,approved,benign
ITEM-0239,2026-09-14T17:07:52Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0256,2026-09-14T17:24:46Z,MGMT-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0345,2026-09-14T17:30:08Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0122,2026-09-14T17:33:47Z,DC-01,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0457,2026-09-14T17:34:05Z,DC-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0201,2026-09-14T17:39:04Z,JUMP-01,ACME\\jsmith,Teams,started,approved,benign
ITEM-0265,2026-09-14T17:41:31Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0579,2026-09-14T17:44:55Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0401,2026-09-14T17:49:32Z,JUMP-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0223,2026-09-14T17:54:26Z,FIN-WS-09,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0270,2026-09-14T18:15:07Z,DC-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0491,2026-09-14T18:16:54Z,JUMP-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0417,2026-09-14T18:20:04Z,DC-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0192,2026-09-14T18:33:15Z,DC-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0252,2026-09-14T18:53:33Z,HR-WS-04,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0305,2026-09-14T19:03:45Z,ENG-WS-17,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0295,2026-09-14T19:18:41Z,MGMT-01,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0285,2026-09-14T19:37:10Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
