id,_time,host,user,signal,severity,classification
CAP-N-08957,2026-09-19T13:00:14Z,HR-WS-22,ACME\\mgarcia,admin task review,low,context
CAP-N-01293,2026-09-19T13:01:58Z,MGMT-01,ACME\\mgarcia,startup inventory,low,context
CAP-N-00275,2026-09-19T13:02:21Z,HR-WS-08,ACME\\mgarcia,service inventory,medium,context
CAP-N-03008,2026-09-19T13:02:34Z,HR-WS-22,ACME\\lchen,admin task review,medium,context
CAP-N-04036,2026-09-19T13:02:35Z,PATCH-01,SYSTEM,service inventory,low,context
CAP-N-00980,2026-09-19T13:02:52Z,APP-06,ACME\\svc_patch,admin task review,medium,context
CAP-N-03540,2026-09-19T13:03:03Z,FIN-WS-09,ACME\\mgarcia,startup inventory,low,context
CAP-N-00212,2026-09-19T13:03:23Z,PATCH-01,SYSTEM,service inventory,medium,context
CAP-N-08557,2026-09-19T13:04:40Z,MGMT-01,ACME\\svc_patch,service inventory,low,context
CAP-N-09247,2026-09-19T13:05:04Z,PATCH-01,ACME\\lchen,startup inventory,medium,context
CAP-N-07600,2026-09-19T13:05:09Z,FIN-WS-09,ACME\\svc_patch,startup inventory,low,context
CAP-N-08542,2026-09-19T13:05:44Z,HR-WS-22,SYSTEM,service inventory,low,context
CAP-N-06628,2026-09-19T13:06:34Z,APP-06,SYSTEM,service inventory,low,context
CAP-N-01289,2026-09-19T13:07:16Z,PATCH-01,ACME\\svc_patch,service inventory,low,context
CAP-N-05884,2026-09-19T13:07:28Z,FIN-WS-09,ACME\\mgarcia,startup inventory,low,context
CAP-N-07416,2026-09-19T13:07:55Z,HR-WS-08,ACME\\mgarcia,admin task review,low,context
CAP-N-05329,2026-09-19T13:08:04Z,DC-01,SYSTEM,startup inventory,low,context
CAP-N-00350,2026-09-19T13:09:28Z,HR-WS-08,ACME\\jsmith,admin task review,low,context
CAP-N-02944,2026-09-19T13:10:05Z,MGMT-01,ACME\\jsmith,admin task review,medium,context
CAP-N-04116,2026-09-19T13:10:09Z,MGMT-01,ACME\\lchen,startup inventory,medium,context
CAP-N-08136,2026-09-19T13:10:46Z,HR-WS-22,ACME\\mgarcia,startup inventory,medium,context
CAP-N-02229,2026-09-19T13:11:42Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-01044,2026-09-19T13:12:27Z,ENG-WS-17,ACME\\jsmith,startup inventory,low,context
CAP-N-05970,2026-09-19T13:13:11Z,HR-WS-22,ACME\\mgarcia,service inventory,medium,context
CAP-N-03761,2026-09-19T13:14:10Z,DC-01,SYSTEM,service inventory,medium,context
CAP-N-03432,2026-09-19T13:14:33Z,MGMT-01,ACME\\svc_patch,startup inventory,low,context
CAP-N-02900,2026-09-19T13:14:48Z,HR-WS-22,SYSTEM,admin task review,medium,context
CAP-N-08846,2026-09-19T13:15:19Z,FIN-WS-09,ACME\\mgarcia,admin task review,low,context
CAP-N-04851,2026-09-19T13:15:50Z,ENG-WS-17,ACME\\svc_patch,service inventory,medium,context
CAP-N-09062,2026-09-19T13:16:15Z,FIN-WS-09,ACME\\svc_patch,admin task review,medium,context
CAP-N-04241,2026-09-19T13:16:25Z,PATCH-01,ACME\\jsmith,admin task review,medium,context
CAP-N-05659,2026-09-19T13:16:46Z,PATCH-01,ACME\\svc_patch,service inventory,low,context
CAP-N-04544,2026-09-19T13:16:59Z,MGMT-01,ACME\\jsmith,startup inventory,medium,context
CAP-N-00409,2026-09-19T13:18:03Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-01121,2026-09-19T13:18:35Z,FIN-WS-09,ACME\\mgarcia,startup inventory,low,context
CAP-N-02114,2026-09-19T13:18:54Z,APP-06,ACME\\mgarcia,service inventory,low,context
CAP-N-02105,2026-09-19T13:19:11Z,HR-WS-22,ACME\\svc_patch,service inventory,low,context
CAP-N-09073,2026-09-19T13:19:12Z,HR-WS-22,ACME\\svc_patch,service inventory,medium,context
CAP-N-04207,2026-09-19T13:19:15Z,PATCH-01,ACME\\svc_patch,admin task review,medium,context
CAP-N-02932,2026-09-19T13:23:02Z,HR-WS-22,SYSTEM,startup inventory,medium,context
CAP-N-02241,2026-09-19T13:23:53Z,DC-01,ACME\\svc_patch,startup inventory,medium,context
CAP-N-07106,2026-09-19T13:24:05Z,ENG-WS-17,ACME\\jsmith,startup inventory,medium,context
CAP-N-08684,2026-09-19T13:24:31Z,MGMT-01,ACME\\mgarcia,startup inventory,low,context
CAP-N-03443,2026-09-19T13:24:43Z,HR-WS-08,ACME\\lchen,service inventory,low,context
CAP-N-03775,2026-09-19T13:26:16Z,HR-WS-08,SYSTEM,admin task review,low,context
CAP-N-04355,2026-09-19T13:28:14Z,ENG-WS-17,ACME\\svc_patch,startup inventory,low,context
CAP-N-01457,2026-09-19T13:28:47Z,HR-WS-22,ACME\\mgarcia,admin task review,medium,context
CAP-N-03259,2026-09-19T13:28:52Z,HR-WS-08,ACME\\mgarcia,startup inventory,low,context
CAP-N-01641,2026-09-19T13:29:02Z,MGMT-01,ACME\\jsmith,service inventory,medium,context
CAP-N-03750,2026-09-19T13:29:23Z,APP-06,SYSTEM,startup inventory,low,context
CAP-N-09893,2026-09-19T13:30:54Z,DC-01,ACME\\lchen,admin task review,medium,context
CAP-N-01350,2026-09-19T13:30:59Z,MGMT-01,SYSTEM,startup inventory,medium,context
CAP-N-04499,2026-09-19T13:31:53Z,MGMT-01,ACME\\mgarcia,startup inventory,medium,context
CAP-N-04037,2026-09-19T13:31:54Z,APP-06,SYSTEM,startup inventory,medium,context
CAP-N-02558,2026-09-19T13:31:59Z,HR-WS-08,ACME\\svc_patch,startup inventory,low,context
