id,_time,host,user,service,display,image_path,account,creator,provenance,classification
SVC-N-08178,2026-09-19T13:02:53Z,PATCH-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-08481,2026-09-19T13:04:21Z,MGMT-01,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09373,2026-09-19T13:05:54Z,HR-WS-22,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-05828,2026-09-19T13:07:27Z,DC-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-08569,2026-09-19T13:07:29Z,APP-06,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06758,2026-09-19T13:07:44Z,PATCH-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-00664,2026-09-19T13:07:48Z,PATCH-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-07489,2026-09-19T13:08:01Z,HR-WS-22,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06928,2026-09-19T13:08:34Z,FIN-WS-09,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-07034,2026-09-19T13:10:18Z,APP-06,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-01747,2026-09-19T13:11:16Z,PATCH-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-03540,2026-09-19T13:11:17Z,APP-06,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09683,2026-09-19T13:11:21Z,HR-WS-08,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-00844,2026-09-19T13:11:48Z,MGMT-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-08839,2026-09-19T13:12:29Z,HR-WS-08,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09009,2026-09-19T13:12:53Z,PATCH-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-03968,2026-09-19T13:12:59Z,PATCH-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-02011,2026-09-19T13:13:16Z,FIN-WS-09,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06093,2026-09-19T13:13:35Z,FIN-WS-09,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09130,2026-09-19T13:13:43Z,MGMT-01,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-00388,2026-09-19T13:13:57Z,HR-WS-08,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09988,2026-09-19T13:14:21Z,FIN-WS-09,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-03443,2026-09-19T13:15:24Z,PATCH-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-04449,2026-09-19T13:15:27Z,APP-06,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09592,2026-09-19T13:16:01Z,ENG-WS-17,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-04808,2026-09-19T13:16:09Z,MGMT-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-04888,2026-09-19T13:16:47Z,FIN-WS-09,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06380,2026-09-19T13:17:15Z,HR-WS-22,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09794,2026-09-19T13:17:17Z,DC-01,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06674,2026-09-19T13:18:05Z,APP-06,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-01321,2026-09-19T13:18:11Z,DC-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-03962,2026-09-19T13:18:35Z,PATCH-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-07910,2026-09-19T13:18:57Z,HR-WS-22,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-00911,2026-09-19T13:19:05Z,HR-WS-08,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09677,2026-09-19T13:21:08Z,APP-06,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-08945,2026-09-19T13:22:29Z,MGMT-01,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-02141,2026-09-19T13:23:06Z,DC-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-05201,2026-09-19T13:23:14Z,FIN-WS-09,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06125,2026-09-19T13:23:17Z,APP-06,SYSTEM,Spooler,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-06026,2026-09-19T13:23:56Z,PATCH-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09416,2026-09-19T13:25:00Z,FIN-WS-09,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-04656,2026-09-19T13:25:16Z,HR-WS-08,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-08030,2026-09-19T13:25:35Z,HR-WS-08,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-05368,2026-09-19T13:25:49Z,MGMT-01,SYSTEM,BackupAgent,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-07896,2026-09-19T13:26:53Z,PATCH-01,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
SVC-N-09093,2026-09-19T13:27:06Z,APP-06,SYSTEM,ACMEInventory,approved service,approved path,LocalSystem,endpoint management,approved,benign
