id,_time,src,dest,user,process,port,result,classification
NET-N-04958,2026-09-19T13:01:29Z,MGMT-01,DC-01,ACME\\svc_patch,agent.exe,445,allowed,benign
NET-N-00714,2026-09-19T13:02:44Z,FIN-WS-09,MGMT-01,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-05656,2026-09-19T13:03:02Z,PATCH-01,MGMT-01,ACME\\svc_patch,cmd.exe,53,allowed,benign
NET-N-02406,2026-09-19T13:04:32Z,HR-WS-22,MGMT-01,ACME\\svc_patch,agent.exe,445,allowed,benign
NET-N-07400,2026-09-19T13:04:50Z,HR-WS-22,198.51.100.20,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-02808,2026-09-19T13:04:55Z,FIN-WS-09,MGMT-01,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-08460,2026-09-19T13:06:11Z,MGMT-01,MGMT-01,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-07131,2026-09-19T13:06:24Z,APP-06,MGMT-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-07634,2026-09-19T13:07:06Z,FIN-WS-09,MGMT-01,ACME\\lchen,Teams.exe,443,allowed,benign
NET-N-02089,2026-09-19T13:07:34Z,FIN-WS-09,DC-01,ACME\\jsmith,cmd.exe,445,allowed,benign
NET-N-03413,2026-09-19T13:08:04Z,HR-WS-08,198.51.100.20,ACME\\mgarcia,agent.exe,443,allowed,benign
NET-N-03214,2026-09-19T13:08:31Z,FIN-WS-09,198.51.100.20,ACME\\svc_patch,cmd.exe,53,allowed,benign
NET-N-00665,2026-09-19T13:09:16Z,HR-WS-08,MGMT-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-02203,2026-09-19T13:09:35Z,HR-WS-08,MGMT-01,ACME\\jsmith,cmd.exe,445,allowed,benign
NET-N-09925,2026-09-19T13:09:50Z,HR-WS-22,MGMT-01,ACME\\svc_patch,Teams.exe,443,allowed,benign
NET-N-05682,2026-09-19T13:10:46Z,DC-01,MGMT-01,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-04625,2026-09-19T13:12:43Z,APP-06,MGMT-01,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-01866,2026-09-19T13:12:50Z,HR-WS-22,DC-01,ACME\\jsmith,agent.exe,445,allowed,benign
NET-N-00753,2026-09-19T13:13:10Z,APP-06,DC-01,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-08264,2026-09-19T13:13:30Z,APP-06,198.51.100.20,SYSTEM,Teams.exe,443,allowed,benign
NET-N-01571,2026-09-19T13:13:53Z,DC-01,MGMT-01,SYSTEM,cmd.exe,53,allowed,benign
NET-N-04970,2026-09-19T13:14:53Z,PATCH-01,DC-01,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-09063,2026-09-19T13:15:09Z,HR-WS-22,198.51.100.20,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-09982,2026-09-19T13:15:38Z,PATCH-01,MGMT-01,ACME\\svc_patch,cmd.exe,445,allowed,benign
NET-N-09329,2026-09-19T13:16:35Z,HR-WS-08,MGMT-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-09662,2026-09-19T13:18:05Z,MGMT-01,MGMT-01,ACME\\jsmith,Teams.exe,53,allowed,benign
NET-N-04590,2026-09-19T13:18:58Z,DC-01,DC-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-06844,2026-09-19T13:19:45Z,DC-01,198.51.100.20,SYSTEM,Teams.exe,445,allowed,benign
NET-N-05972,2026-09-19T13:20:52Z,PATCH-01,198.51.100.20,SYSTEM,agent.exe,443,allowed,benign
NET-N-04037,2026-09-19T13:21:45Z,FIN-WS-09,198.51.100.20,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-09225,2026-09-19T13:21:54Z,MGMT-01,198.51.100.20,ACME\\mgarcia,Teams.exe,443,allowed,benign
NET-N-05530,2026-09-19T13:23:49Z,MGMT-01,MGMT-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-05381,2026-09-19T13:24:49Z,HR-WS-22,198.51.100.20,ACME\\mgarcia,agent.exe,53,allowed,benign
NET-N-03667,2026-09-19T13:25:08Z,DC-01,MGMT-01,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-04448,2026-09-19T13:25:15Z,FIN-WS-09,MGMT-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-09130,2026-09-19T13:25:40Z,HR-WS-08,MGMT-01,SYSTEM,agent.exe,445,allowed,benign
