id,_time,host,user,item,target,source,provenance,classification
START-N-03514,2026-09-19T13:00:38Z,APP-06,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-08471,2026-09-19T13:02:07Z,DC-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-03210,2026-09-19T13:02:21Z,APP-06,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-04284,2026-09-19T13:02:31Z,APP-06,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-02020,2026-09-19T13:03:25Z,ENG-WS-17,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-02500,2026-09-19T13:04:16Z,HR-WS-08,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-06481,2026-09-19T13:04:30Z,FIN-WS-09,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-04203,2026-09-19T13:04:34Z,APP-06,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-02490,2026-09-19T13:04:41Z,ENG-WS-17,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-05185,2026-09-19T13:05:21Z,APP-06,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-02163,2026-09-19T13:05:34Z,ENG-WS-17,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-00650,2026-09-19T13:06:02Z,HR-WS-22,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-04934,2026-09-19T13:07:05Z,APP-06,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-08690,2026-09-19T13:07:54Z,ENG-WS-17,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-07287,2026-09-19T13:08:13Z,FIN-WS-09,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-09621,2026-09-19T13:08:13Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-02077,2026-09-19T13:08:22Z,MGMT-01,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-06287,2026-09-19T13:08:24Z,APP-06,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-06498,2026-09-19T13:08:29Z,PATCH-01,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-02867,2026-09-19T13:08:55Z,FIN-WS-09,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-03318,2026-09-19T13:11:00Z,HR-WS-22,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-06686,2026-09-19T13:11:08Z,DC-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-04274,2026-09-19T13:11:09Z,MGMT-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-02900,2026-09-19T13:11:21Z,PATCH-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-04970,2026-09-19T13:11:24Z,PATCH-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-00802,2026-09-19T13:12:05Z,DC-01,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-02503,2026-09-19T13:12:13Z,FIN-WS-09,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-03582,2026-09-19T13:12:40Z,ENG-WS-17,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-02161,2026-09-19T13:12:53Z,DC-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-03479,2026-09-19T13:12:58Z,PATCH-01,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-05784,2026-09-19T13:14:37Z,HR-WS-22,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-06555,2026-09-19T13:15:27Z,MGMT-01,SYSTEM,Teams,approved target,approved startup,approved,benign
