id,_time,host,user,action,path,process,classification
FILE-N-02033,2026-09-19T13:00:34Z,HR-WS-08,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-01911,2026-09-19T13:00:53Z,HR-WS-22,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-00135,2026-09-19T13:00:56Z,MGMT-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-03235,2026-09-19T13:01:02Z,PATCH-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-03971,2026-09-19T13:01:56Z,APP-06,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-09673,2026-09-19T13:02:28Z,HR-WS-22,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-04796,2026-09-19T13:03:24Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-06117,2026-09-19T13:04:39Z,ENG-WS-17,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-09386,2026-09-19T13:05:52Z,FIN-WS-09,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-01614,2026-09-19T13:05:53Z,FIN-WS-09,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-00586,2026-09-19T13:07:41Z,PATCH-01,SYSTEM,create,approved operational file,approved process,benign
FILE-N-06620,2026-09-19T13:07:48Z,MGMT-01,SYSTEM,read,approved operational file,approved process,benign
FILE-N-04919,2026-09-19T13:08:45Z,FIN-WS-09,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-02681,2026-09-19T13:09:06Z,HR-WS-08,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-06623,2026-09-19T13:09:11Z,ENG-WS-17,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-01980,2026-09-19T13:09:59Z,APP-06,SYSTEM,create,approved operational file,approved process,benign
FILE-N-01779,2026-09-19T13:10:13Z,PATCH-01,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-06302,2026-09-19T13:10:56Z,FIN-WS-09,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-02898,2026-09-19T13:10:59Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-02129,2026-09-19T13:11:12Z,ENG-WS-17,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-06749,2026-09-19T13:12:54Z,FIN-WS-09,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-04668,2026-09-19T13:13:20Z,MGMT-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-05133,2026-09-19T13:14:19Z,HR-WS-08,SYSTEM,create,approved operational file,approved process,benign
FILE-N-06046,2026-09-19T13:15:29Z,HR-WS-08,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-05275,2026-09-19T13:15:30Z,HR-WS-22,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-02410,2026-09-19T13:15:36Z,MGMT-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-07971,2026-09-19T13:15:46Z,PATCH-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-05711,2026-09-19T13:15:50Z,APP-06,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-05602,2026-09-19T13:17:13Z,PATCH-01,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-06895,2026-09-19T13:17:41Z,HR-WS-08,SYSTEM,read,approved operational file,approved process,benign
FILE-N-01756,2026-09-19T13:17:49Z,MGMT-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-08190,2026-09-19T13:18:50Z,FIN-WS-09,SYSTEM,read,approved operational file,approved process,benign
FILE-N-05598,2026-09-19T13:19:27Z,DC-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-02107,2026-09-19T13:20:31Z,APP-06,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-08705,2026-09-19T13:22:46Z,DC-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-05891,2026-09-19T13:24:50Z,FIN-WS-09,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-08876,2026-09-19T13:25:05Z,ENG-WS-17,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-00306,2026-09-19T13:25:09Z,APP-06,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-01098,2026-09-19T13:25:30Z,APP-06,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-03104,2026-09-19T13:26:02Z,FIN-WS-09,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-01588,2026-09-19T13:26:14Z,ENG-WS-17,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-09851,2026-09-19T13:26:48Z,HR-WS-22,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-07804,2026-09-19T13:28:55Z,MGMT-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-06791,2026-09-19T13:30:22Z,FIN-WS-09,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-07841,2026-09-19T13:30:36Z,DC-01,SYSTEM,create,approved operational file,approved process,benign
FILE-N-02353,2026-09-19T13:31:00Z,ENG-WS-17,ACME\\jsmith,read,approved operational file,approved process,benign
