id,_time,host,user,parent,process,command,classification
PROC-N-09369,2026-09-19T13:00:15Z,FIN-WS-09,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03921,2026-09-19T13:00:19Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08124,2026-09-19T13:01:23Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07868,2026-09-19T13:01:48Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02566,2026-09-19T13:03:30Z,FIN-WS-09,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03215,2026-09-19T13:03:34Z,HR-WS-22,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-00770,2026-09-19T13:04:18Z,APP-06,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09600,2026-09-19T13:05:19Z,HR-WS-22,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04986,2026-09-19T13:06:59Z,PATCH-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01809,2026-09-19T13:07:05Z,HR-WS-22,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03514,2026-09-19T13:07:25Z,ENG-WS-17,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04256,2026-09-19T13:07:30Z,DC-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02540,2026-09-19T13:07:32Z,DC-01,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05483,2026-09-19T13:08:30Z,DC-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04702,2026-09-19T13:09:01Z,HR-WS-22,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06033,2026-09-19T13:09:08Z,HR-WS-22,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00125,2026-09-19T13:09:14Z,HR-WS-22,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02766,2026-09-19T13:09:49Z,MGMT-01,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03623,2026-09-19T13:09:51Z,MGMT-01,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01578,2026-09-19T13:10:14Z,DC-01,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05606,2026-09-19T13:11:41Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07393,2026-09-19T13:12:25Z,HR-WS-22,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02630,2026-09-19T13:12:44Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05634,2026-09-19T13:13:20Z,HR-WS-08,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04867,2026-09-19T13:13:40Z,PATCH-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04407,2026-09-19T13:14:10Z,PATCH-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-05112,2026-09-19T13:14:22Z,HR-WS-08,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03993,2026-09-19T13:14:52Z,FIN-WS-09,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01616,2026-09-19T13:15:03Z,ENG-WS-17,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
