id,_time,host,actor,action,decision,classification
RESP-N-02774,2026-09-19T13:00:49Z,APP-06,SOC,routine triage,no incident linkage,response
RESP-N-04288,2026-09-19T13:01:24Z,FIN-WS-09,SOC,routine triage,no incident linkage,response
RESP-N-02459,2026-09-19T13:02:20Z,HR-WS-22,SOC,routine triage,no incident linkage,response
RESP-N-03932,2026-09-19T13:02:38Z,DC-01,SOC,routine triage,no incident linkage,response
RESP-N-01599,2026-09-19T13:02:53Z,MGMT-01,SOC,routine triage,no incident linkage,response
RESP-N-07171,2026-09-19T13:03:18Z,DC-01,SOC,routine triage,no incident linkage,response
RESP-N-02310,2026-09-19T13:03:32Z,FIN-WS-09,SOC,routine triage,no incident linkage,response
RESP-N-02221,2026-09-19T13:04:39Z,ENG-WS-17,SOC,routine triage,no incident linkage,response
RESP-N-07334,2026-09-19T13:05:09Z,FIN-WS-09,SOC,routine triage,no incident linkage,response
RESP-N-00110,2026-09-19T13:07:08Z,MGMT-01,SOC,routine triage,no incident linkage,response
RESP-N-04711,2026-09-19T13:07:30Z,HR-WS-08,SOC,routine triage,no incident linkage,response
RESP-N-07784,2026-09-19T13:07:43Z,ENG-WS-17,SOC,routine triage,no incident linkage,response
RESP-N-08314,2026-09-19T13:07:59Z,DC-01,SOC,routine triage,no incident linkage,response
RESP-N-08870,2026-09-19T13:08:25Z,DC-01,SOC,routine triage,no incident linkage,response
RESP-N-09809,2026-09-19T13:09:02Z,HR-WS-22,SOC,routine triage,no incident linkage,response
RESP-N-01888,2026-09-19T13:09:55Z,HR-WS-22,SOC,routine triage,no incident linkage,response
RESP-N-02749,2026-09-19T13:10:16Z,PATCH-01,SOC,routine triage,no incident linkage,response
RESP-N-01458,2026-09-19T13:10:37Z,FIN-WS-09,SOC,routine triage,no incident linkage,response
RESP-N-07856,2026-09-19T13:10:44Z,FIN-WS-09,SOC,routine triage,no incident linkage,response
RESP-N-01303,2026-09-19T13:11:15Z,ENG-WS-17,SOC,routine triage,no incident linkage,response
RESP-N-07105,2026-09-19T13:12:13Z,HR-WS-08,SOC,routine triage,no incident linkage,response
