id,_time,host,user,name,command,creator,run_as,provenance,classification
TASK-N-00765,2026-09-19T13:01:46Z,MGMT-01,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01525,2026-09-19T13:02:10Z,APP-06,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08602,2026-09-19T13:02:38Z,HR-WS-08,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-09070,2026-09-19T13:03:18Z,PATCH-01,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01588,2026-09-19T13:03:21Z,MGMT-01,ACME\\mgarcia,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06273,2026-09-19T13:03:37Z,FIN-WS-09,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08922,2026-09-19T13:03:39Z,PATCH-01,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06439,2026-09-19T13:04:22Z,APP-06,ACME\\jsmith,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03491,2026-09-19T13:05:31Z,APP-06,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01406,2026-09-19T13:05:52Z,ENG-WS-17,ACME\\lchen,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06145,2026-09-19T13:06:05Z,ENG-WS-17,ACME\\lchen,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-05337,2026-09-19T13:06:08Z,DC-01,SYSTEM,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08399,2026-09-19T13:07:12Z,DC-01,ACME\\mgarcia,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-04990,2026-09-19T13:08:13Z,APP-06,ACME\\mgarcia,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01374,2026-09-19T13:08:20Z,DC-01,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-00064,2026-09-19T13:08:48Z,PATCH-01,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-07849,2026-09-19T13:08:49Z,FIN-WS-09,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-02246,2026-09-19T13:10:02Z,HR-WS-08,ACME\\jsmith,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03479,2026-09-19T13:11:55Z,HR-WS-22,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08987,2026-09-19T13:11:58Z,DC-01,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03338,2026-09-19T13:12:08Z,DC-01,SYSTEM,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08614,2026-09-19T13:14:29Z,ENG-WS-17,ACME\\svc_patch,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06351,2026-09-19T13:15:10Z,APP-06,ACME\\lchen,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-09242,2026-09-19T13:16:13Z,ENG-WS-17,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-09872,2026-09-19T13:18:13Z,APP-06,ACME\\svc_patch,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-04577,2026-09-19T13:18:32Z,HR-WS-08,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-04934,2026-09-19T13:19:22Z,HR-WS-22,ACME\\jsmith,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-07426,2026-09-19T13:19:59Z,PATCH-01,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01318,2026-09-19T13:22:04Z,ENG-WS-17,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-08355,2026-09-19T13:23:03Z,HR-WS-22,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03573,2026-09-19T13:23:29Z,FIN-WS-09,SYSTEM,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03406,2026-09-19T13:24:58Z,FIN-WS-09,ACME\\mgarcia,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01784,2026-09-19T13:25:25Z,HR-WS-22,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-07615,2026-09-19T13:25:46Z,ENG-WS-17,ACME\\jsmith,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03926,2026-09-19T13:26:17Z,HR-WS-22,ACME\\jsmith,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06757,2026-09-19T13:26:38Z,PATCH-01,SYSTEM,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-07705,2026-09-19T13:27:40Z,HR-WS-22,ACME\\svc_patch,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-02382,2026-09-19T13:28:45Z,MGMT-01,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-06753,2026-09-19T13:28:48Z,HR-WS-08,ACME\\lchen,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-01184,2026-09-19T13:29:21Z,HR-WS-08,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03849,2026-09-19T13:29:28Z,DC-01,ACME\\lchen,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03208,2026-09-19T13:30:09Z,FIN-WS-09,ACME\\svc_patch,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03940,2026-09-19T13:30:35Z,ENG-WS-17,ACME\\svc_patch,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-02060,2026-09-19T13:31:10Z,HR-WS-08,ACME\\lchen,\\ACME\\Inventory,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-07306,2026-09-19T13:31:45Z,PATCH-01,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-02948,2026-09-19T13:32:09Z,HR-WS-08,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
TASK-N-03542,2026-09-19T13:32:37Z,DC-01,ACME\\mgarcia,\\Microsoft\\Windows\\Defrag\\ScheduledDefrag,approved binary,enterprise automation,SYSTEM,approved,benign
