id,_time,host,artifact,status,publisher,classification
TRUST-N-01373,2026-09-19T13:00:56Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-01424,2026-09-19T13:01:22Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-02705,2026-09-19T13:01:41Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05169,2026-09-19T13:02:37Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-03470,2026-09-19T13:02:50Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00737,2026-09-19T13:03:13Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-07354,2026-09-19T13:03:13Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-07600,2026-09-19T13:03:32Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-03631,2026-09-19T13:03:45Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-08458,2026-09-19T13:03:47Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-09012,2026-09-19T13:04:26Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-06470,2026-09-19T13:04:44Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-02857,2026-09-19T13:05:16Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-03011,2026-09-19T13:05:23Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-03339,2026-09-19T13:05:24Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-08782,2026-09-19T13:05:27Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05544,2026-09-19T13:05:43Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-05647,2026-09-19T13:05:55Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03825,2026-09-19T13:06:14Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-03333,2026-09-19T13:07:43Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-05821,2026-09-19T13:08:05Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-05562,2026-09-19T13:08:58Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-07433,2026-09-19T13:09:02Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-04417,2026-09-19T13:09:24Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-03367,2026-09-19T13:11:34Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-07388,2026-09-19T13:12:23Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-05873,2026-09-19T13:12:27Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-06867,2026-09-19T13:12:28Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-02006,2026-09-19T13:12:48Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-02717,2026-09-19T13:13:34Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00278,2026-09-19T13:14:15Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-09704,2026-09-19T13:14:37Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-06383,2026-09-19T13:16:18Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-07694,2026-09-19T13:17:08Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-00749,2026-09-19T13:19:15Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-03893,2026-09-19T13:19:31Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-02134,2026-09-19T13:19:48Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-04261,2026-09-19T13:20:28Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-06505,2026-09-19T13:21:27Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-06993,2026-09-19T13:21:40Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-07568,2026-09-19T13:23:19Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-09043,2026-09-19T13:24:46Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03327,2026-09-19T13:25:54Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-09500,2026-09-19T13:26:21Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-03582,2026-09-19T13:26:52Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-03792,2026-09-19T13:27:01Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00172,2026-09-19T13:27:25Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-03833,2026-09-19T13:27:41Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-05665,2026-09-19T13:27:42Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-07704,2026-09-19T13:28:04Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-02948,2026-09-19T13:28:18Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-00662,2026-09-19T13:28:26Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-08791,2026-09-19T13:29:07Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-05662,2026-09-19T13:29:42Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-00090,2026-09-19T13:30:25Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-00712,2026-09-19T13:30:29Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-06444,2026-09-19T13:30:33Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-01490,2026-09-19T13:30:36Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-09162,2026-09-19T13:31:36Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-03900,2026-09-19T13:32:10Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-02692,2026-09-19T13:32:20Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-04216,2026-09-19T13:32:32Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-06827,2026-09-19T13:32:43Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-07736,2026-09-19T13:33:16Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-06076,2026-09-19T13:34:34Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-02147,2026-09-19T13:35:17Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-03312,2026-09-19T13:35:22Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-06860,2026-09-19T13:35:47Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-03400,2026-09-19T13:35:51Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-04440,2026-09-19T13:36:14Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-07635,2026-09-19T13:36:22Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-07730,2026-09-19T13:36:27Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-00450,2026-09-19T13:37:30Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-04804,2026-09-19T13:37:59Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-03479,2026-09-19T13:38:28Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-06236,2026-09-19T13:38:36Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-06797,2026-09-19T13:39:50Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-01566,2026-09-19T13:40:30Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-07336,2026-09-19T13:41:10Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-04907,2026-09-19T13:41:39Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-03191,2026-09-19T13:42:09Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-06974,2026-09-19T13:42:16Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-08512,2026-09-19T13:43:23Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-01635,2026-09-19T13:43:55Z,HR-WS-22,known software,signed,Known Publisher,benign
